index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Additional_Info,Price
24,IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,5h 45m,1 stop,No info,8238.0
25,GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,5h 55m,1 stop,No info,7682.0
26,Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,2h 50m,non-stop,No info,4668.0
27,Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,2h 15m,non-stop,No info,3687.0
28,Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,2h 15m,non-stop,No info,3687.0
29,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,13h 25m,2 stops,No info,13227.0
30,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,4423.0
31,Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,22h,2 stops,In-flight meal not included,10919.0
32,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,5h 30m,1 stop,In-flight meal not included,12373.0
33,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,10h 25m,1 stop,No info,5894.0
34,SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,5h 15m,1 stop,No info,4649.0
35,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,6h 15m,1 stop,No info,19225.0
36,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,11h 55m,1 stop,No info,14924.0
37,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,11h 5m,1 stop,nan,9646.0
38,Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,8h 30m,1 stop,No info,8714.0
39,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,22h 5m,1 stop,In-flight meal not included,12373.0
40,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12h,1 stop,No info,13062.0
41,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
42,Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,2h 15m,non-stop,No info,4667.0
43,Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,16h 5m,1 stop,No info,6117.0
44,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19h 55m,2 stops,In-flight meal not included,11150.0
45,Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,3h 15m,non-stop,In-flight meal not included,7202.0
46,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,25h 20m,1 stop,No info,12121.0
47,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,2h 50m,non-stop,No info,4377.0
48,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,3h,non-stop,No info,3943.0
49,Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,2h 50m,non-stop,No info,4483.0
50,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,16h 15m,1 stop,No info,14231.0
51,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,15h 5m,2 stops,No info,17345.0
52,Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,2h 15m,non-stop,No info,7414.0
53,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,6h 30m,1 stop,No info,8073.0
54,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,25h 5m,1 stop,No info,12395.0
55,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,27h 20m,1 stop,No info,5117.0
56,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,10h 15m,1 stop,No info,10197.0
57,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,10h 30m,1 stop,No info,7191.0
58,Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,2h 15m,non-stop,No info,3687.0
59,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,10h 25m,1 stop,No info,5894.0
60,Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,2h 50m,non-stop,No info,5403.0
61,Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,1h 30m,non-stop,No info,3625.0
62,Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,13h 20m,2 stops,No info,10861.0
63,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,1h 25m,non-stop,No info,5678.0
64,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,26h 30m,1 stop,In-flight meal not included,9134.0
65,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,13h 30m,2 stops,No info,12819.0
66,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,2h 45m,non-stop,No info,7240.0
67,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,1h 30m,non-stop,No info,4049.0
68,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19h 5m,1 stop,In-flight meal not included,11507.0
69,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,2h 15m,non-stop,No check-in baggage included,3332.0
70,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,14h 50m,1 stop,nan,10844.0
71,Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,2h 40m,non-stop,No info,7229.0
72,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,22h 10m,1 stop,No info,13941.0
73,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,9h 35m,1 stop,No info,5894.0
74,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,10h,1 stop,No info,10197.0
75,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21h 20m,1 stop,In-flight meal not included,13712.0
76,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,18h 45m,2 stops,No info,13014.0
77,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,9h 15m,1 stop,No info,9646.0
78,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,11h 5m,1 stop,No info,10197.0
79,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,17h 30m,1 stop,No info,13817.0
80,Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,13h 20m,2 stops,No info,13748.0
81,Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,2h 35m,non-stop,No info,4880.0
82,IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,2h 25m,non-stop,No info,3540.0
83,SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,2h 40m,non-stop,No check-in baggage included,3257.0
84,Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,19:50,3h,non-stop,In-flight meal not included,6478.0
85,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,1h 25m,non-stop,No info,8040.0
86,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12h 15m,1 stop,No info,11507.0
87,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,7h 30m,1 stop,In-flight meal not included,10262.0
88,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,2h 45m,non-stop,No info,6121.0
89,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,8h 55m,2 stops,In-flight meal not included,13029.0
90,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,7h 10m,1 stop,No info,11421.0
91,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,14h 30m,1 stop,No info,7574.0
92,Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,30h 20m,2 stops,No info,11596.0
93,Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19h 55m,2 stops,No info,15129.0
94,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,15h,1 stop,No info,13555.0
95,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,12h 45m,1 stop,No info,9397.0
96,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,10h 10m,1 stop,No info,17024.0
97,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,15h 25m,1 stop,No info,10348.0
98,Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,16h 5m,1 stop,No info,12677.0
99,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,15:25,10h 10m,1 stop,No info,15147.0
100,Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,07:00,2h 40m,non-stop,No info,4668.0
101,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,11h 55m,1 stop,No info,15554.0
102,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,14h 5m,1 stop,In-flight meal not included,9663.0
103,Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,20h 15m,1 stop,No info,9443.0
104,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,05:15,2h 25m,non-stop,No info,3540.0
105,Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,23h 10m,2 stops,No info,10676.0
106,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16h,1 stop,No info,14388.0
107,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
108,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,16h 55m,1 stop,In-flight meal not included,10262.0
109,Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,3h 10m,non-stop,No info,6216.0
110,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,14h,1 stop,No info,14067.0
111,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,23h 50m,2 stops,No info,15129.0
112,Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,21h 40m,2 stops,No info,13376.0
113,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,10h 50m,1 stop,No info,17024.0
114,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,8h,1 stop,nan,13017.0
115,GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,8h 15m,1 stop,No info,6686.0
116,IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,5h 25m,1 stop,No info,5636.0
117,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,11h 50m,1 stop,No info,9486.0
118,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,27h 35m,1 stop,In-flight meal not included,10844.0
119,Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,8h 25m,2 stops,In-flight meal not included,15318.0
120,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,12:30,20h 55m,1 stop,No info,5117.0
121,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,8h 10m,1 stop,No info,7005.0
122,SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,22:20,2h 20m,non-stop,No info,3873.0
123,GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,2h 50m,non-stop,No info,3898.0
124,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12h 20m,1 stop,No info,14781.0
125,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12h 15m,1 stop,In-flight meal not included,8586.0
126,Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,23h 35m,2 stops,No info,10697.0
127,Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,16h 35m,2 stops,No info,11507.0
128,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:55,2h 50m,non-stop,No info,8855.0
129,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,25h 45m,1 stop,In-flight meal not included,10844.0
130,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,26h 10m,1 stop,No info,17024.0
131,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,28h 50m,1 stop,nan,9314.0
132,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,2h 45m,non-stop,No info,4777.0
133,Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,25h 15m,1 stop,No info,7662.0
134,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,9h 20m,1 stop,No info,6442.0
135,SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,4h 30m,1 stop,No info,5264.0
136,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,15h 25m,1 stop,In-flight meal not included,12898.0
137,Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,1h 30m,non-stop,No info,6092.0
138,SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,05:55,2h 40m,non-stop,No info,3311.0
139,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,9h 10m,1 stop,In-flight meal not included,6540.0
140,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,01:30,2h 45m,non-stop,No info,3419.0
141,Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,22h 35m,1 stop,In-flight meal not included,5177.0
142,Air India,18/04/2019,Delhi,Cochin,DEL → COK,18:05,3h 5m,non-stop,No info,8246.0
143,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,9h 30m,1 stop,No info,13587.0
144,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12h 10m,1 stop,In-flight meal not included,9663.0
145,IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,5h 5m,1 stop,No info,5073.0
146,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20h,1 stop,In-flight meal not included,9663.0
147,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,13h,1 stop,No info,14277.0
148,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,1h 30m,non-stop,No info,11507.0
149,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,9h 30m,1 stop,No info,13727.0
150,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16h,1 stop,In-flight meal not included,9663.0
151,IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,5h 45m,1 stop,No info,5775.0
152,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,24h 10m,1 stop,In-flight meal not included,10539.0
153,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,15:30,2h 35m,non-stop,No info,4804.0
154,Air Asia,12/06/2019,Banglore,Delhi,BLR → DEL,11:10,2h 45m,non-stop,No info,3383.0
155,IndiGo,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,4h 55m,1 stop,No info,8738.0
156,Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,05:15,25h 35m,1 stop,No info,7165.0
157,IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,6h 20m,1 stop,No info,6412.0
158,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,18:55,3h 5m,non-stop,No info,8016.0
159,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,18h 40m,1 stop,In-flight meal not included,11087.0
160,SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,09:45,2h 15m,non-stop,nan,3543.0
161,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12h 10m,1 stop,No info,12471.0
162,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,8h 25m,1 stop,No info,10197.0
163,Air India,3/06/2019,Banglore,Delhi,BLR → DEL,21:05,2h 50m,non-stop,No info,9443.0
164,IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5013.0
165,Air India,18/05/2019,Delhi,Cochin,DEL → COK,05:10,2h 50m,non-stop,No info,6934.0
166,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,12h 20m,1 stop,No info,10877.0
167,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,15:15,2h 55m,non-stop,No info,7229.0
168,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,9h 30m,1 stop,In-flight meal not included,10844.0
169,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,29h 20m,2 stops,No info,15129.0
170,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,00:30,2h 55m,non-stop,No info,3943.0
171,SpiceJet,6/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,5h 15m,1 stop,No info,5583.0
172,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,9h 5m,1 stop,No info,9646.0
173,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,10h 45m,1 stop,No info,7677.0
174,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,11h 40m,1 stop,No info,9555.0
175,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,01:30,2h 45m,non-stop,No info,4077.0
176,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,15:15,2h 55m,non-stop,No info,7229.0
177,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,10h,1 stop,No info,12192.0
178,Air India,12/04/2019,Banglore,Delhi,BLR → DEL,10:00,2h 45m,non-stop,nan,5911.0
179,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,9h 15m,1 stop,No info,14323.0
180,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,22h 55m,2 stops,No info,13014.0
181,Air India,6/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,28h 50m,2 stops,No info,13591.0
182,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,23:30,2h 50m,non-stop,No info,3943.0
183,Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,1h 30m,non-stop,In-flight meal not included,4995.0
184,Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,25h 40m,1 stop,No info,14641.0
185,Air India,12/04/2019,Kolkata,Banglore,CCU → BLR,20:45,2h 35m,non-stop,No info,4460.0
186,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,6h 15m,1 stop,No info,10191.0
187,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,17h 30m,1 stop,In-flight meal not included,13843.0
188,IndiGo,1/05/2019,Delhi,Cochin,DEL → LKO → COK,21:50,5h 45m,1 stop,No info,5054.0
189,Air Asia,1/05/2019,Kolkata,Banglore,CCU → BLR,10:20,2h 35m,non-stop,No info,4409.0
190,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,25h 30m,1 stop,No info,17024.0
191,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,13h 55m,1 stop,No info,13727.0
192,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,18:25,2h 55m,non-stop,No info,8855.0
193,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,10h 15m,1 stop,No info,12524.0
194,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,5h 30m,1 stop,In-flight meal not included,10844.0
195,SpiceJet,12/06/2019,Chennai,Kolkata,MAA → CCU,09:45,2h 15m,non-stop,No check-in baggage included,3543.0
196,Vistara,18/03/2019,Chennai,Kolkata,MAA → CCU,07:05,2h 15m,non-stop,No info,4842.0
197,IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,23:30,2h 50m,non-stop,No info,5054.0
198,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,9h 10m,1 stop,In-flight meal not included,10577.0
199,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,10h 25m,1 stop,No info,6979.0
200,Vistara,27/06/2019,Chennai,Kolkata,MAA → CCU,17:45,2h 20m,non-stop,No info,11982.0
201,SpiceJet,6/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,4h 30m,1 stop,No info,5264.0
202,Vistara,3/03/2019,Delhi,Cochin,DEL → COK,06:00,3h 10m,non-stop,No info,8001.0
203,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,27h 20m,1 stop,In-flight meal not included,10844.0
204,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,09:45,12h 35m,1 stop,No info,6601.0
205,Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:00,24h 15m,1 stop,No info,6587.0
206,SpiceJet,21/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,1h 20m,non-stop,No info,3173.0
207,Air India,9/05/2019,Banglore,Delhi,BLR → DEL,10:00,2h 45m,non-stop,No info,5228.0
208,Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,07:10,3h,non-stop,In-flight meal not included,5769.0
209,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,22:10,2h 50m,non-stop,nan,3359.0
210,GoAir,03/03/2019,Banglore,New Delhi,BLR → DEL,20:55,2h 55m,non-stop,No info,6722.0
211,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → COK,04:55,11h 15m,1 stop,No info,6171.0
212,Air India,21/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,14h 35m,2 stops,No info,12303.0
213,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,14h 5m,1 stop,No info,5684.0
214,Air India,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,15h 5m,1 stop,No info,8366.0
215,Air India,1/03/2019,Chennai,Kolkata,MAA → CCU,11:40,2h 15m,non-stop,No info,19630.0
216,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,15h,1 stop,In-flight meal not included,13502.0
217,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12h 55m,1 stop,No info,14781.0
218,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,9h,1 stop,No info,10197.0
219,Air India,1/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12h 15m,1 stop,No info,9929.0
220,Air India,9/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,27h 20m,1 stop,No info,4487.0
221,IndiGo,15/03/2019,Mumbai,Hyderabad,BOM → HYD,21:20,1h 25m,non-stop,No info,2754.0
222,SpiceJet,12/06/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,5h 30m,1 stop,No info,8224.0
223,Air India,9/03/2019,Delhi,Cochin,DEL → BLR → COK,20:30,11h 45m,1 stop,No info,8991.0
224,IndiGo,24/06/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5000.0
225,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,24h 55m,1 stop,nan,8529.0
226,Air India,3/03/2019,Delhi,Cochin,DEL → MAA → COK,06:05,27h 20m,1 stop,No info,14042.0
227,Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,In-flight meal not included,4030.0
228,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,17h 5m,1 stop,In-flight meal not included,10844.0
229,IndiGo,6/05/2019,Kolkata,Banglore,CCU → BLR,21:25,2h 40m,non-stop,No info,4804.0
