Designation,date_of_response,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_USD,Job_Category
Data Engineer,2020-11-17 00:00:00,MI,FT,8434367.0,US,US,L,100.0,101212.404,Data Engineering
Data Scientist,2020-07-08 00:00:00,MI,FT,6123510.0,GB,GB,S,100.0,73482.12,Data Science
Data Scientist,2020-11-21 00:00:00,MI,FT,8354798.0,US,US,L,100.0,100257.576,Data Science
Data Engineer,2020-01-09 00:00:00,MI,FT,5580925.0,FR,FR,L,50.0,66971.1,Data Engineering
Data Analyst,2020-06-19 00:00:00,EN,FT,7240825.0,US,US,L,100.0,86889.90000000001,Data Analytics
Data Engineer,2020-04-05 00:00:00,EN,FT,4355794.0,PK,DE,L,100.0,52269.528,Data Engineering
Principal Data Scientist,2020-11-23 00:00:00,SE,FT,11797054.0,DE,DE,M,100.0,141564.64800000002,Data Science
Data Scientist,2020-01-05 00:00:00,MI,FT,3085387.0,ES,ES,M,100.0,37024.644,Data Science
Data Scientist,2020-01-25 00:00:00,SE,FT,9548340.0,US,US,L,50.0,114580.08,Data Science
Data Scientist,2020-10-20 00:00:00,MI,FT,11008440.0,US,US,M,100.0,132101.28,Data Science
Data Engineer,2020-08-01 00:00:00,MI,FT,10407691.0,ES,US,M,100.0,124892.292,Data Engineering
Data Scientist,2020-10-25 00:00:00,EN,PT,1724191.0,IT,IT,S,50.0,20690.292,Data Science
Machine Learning Engineer,2020-03-26 00:00:00,SE,FT,3629801.0,HR,HR,S,100.0,43557.612,Machine Learning
Data Scientist,2020-10-13 00:00:00,EN,FT,4991076.0,DE,DE,S,50.0,59892.912,Data Science
Data Science Manager,2020-03-10 00:00:00,SE,FT,15134119.0,US,US,M,100.0,181609.428,Managerial
Data Scientist,2020-11-24 00:00:00,EN,FT,8354798.0,US,US,S,100.0,100257.576,Data Science
Data Scientist,2020-11-07 00:00:00,SE,FT,7259682.0,AT,AT,S,0.0,87116.18400000001,Data Science
Data Scientist,2020-07-03 00:00:00,MI,FT,3357594.0,FR,FR,S,50.0,40291.128,Data Science
BI Data Analyst,2021-04-19 00:00:00,EX,FT,11935425.0,IN,US,L,100.0,143225.1,Data Analytics
Head of Data,2021-05-30 00:00:00,EX,FT,18698833.0,US,US,L,100.0,224385.996,Managerial
3D Computer Vision Researcher,2021-05-23 00:00:00,MI,PT,430391.0,IN,IN,M,50.0,5164.692,Other
Data Analyst,2021-09-04 00:00:00,EN,FT,6365560.0,US,US,M,100.0,76386.72,Data Analytics
Data Engineer,2021-07-06 00:00:00,MI,FT,11139730.0,US,US,L,100.0,133676.76,Data Engineering
Applied Data Scientist,2021-09-30 00:00:00,MI,FT,4315691.0,GB,CA,L,50.0,51788.292,Data Science
Machine Learning Engineer,2021-01-15 00:00:00,MI,FT,3762205.0,ES,ES,S,100.0,45146.46,Machine Learning
Data Engineer,2021-01-24 00:00:00,MI,FT,2265821.0,PL,PL,L,100.0,27189.852,Data Engineering
Data Analyst,2021-09-05 00:00:00,EN,FT,4702717.0,FR,FR,M,50.0,56432.604,Data Analytics
Data Analytics Engineer,2021-01-13 00:00:00,MI,FT,8752645.0,US,US,L,100.0,105031.74,Data Analytics
Data Analyst,2021-01-29 00:00:00,SE,FT,6365560.0,BG,US,S,100.0,76386.72,Data Analytics
Data Science Consultant,2021-08-28 00:00:00,EN,FT,6113563.0,DE,DE,S,100.0,73362.75600000001,Other
Lead Data Analyst,2021-10-20 00:00:00,MI,FT,1560278.0,IN,IN,L,100.0,18723.336,Data Analytics
Lead Data Engineer,2021-07-08 00:00:00,SE,FT,21961182.0,US,US,L,0.0,263534.184,Data Engineering
AI Scientist,2021-10-13 00:00:00,EN,PT,954834.0,BR,US,S,100.0,11458.008,Machine Learning
Financial Data Analyst,2021-03-25 00:00:00,MI,FT,35806275.0,US,US,L,100.0,429675.3,Data Analytics
Computer Vision Software Engineer,2021-04-28 00:00:00,EN,FT,5569865.0,US,US,M,100.0,66838.38,Other
Computer Vision Software Engineer,2021-01-25 00:00:00,MI,FT,7618461.0,DE,US,S,100.0,91421.532,Other
Data Engineer,2021-10-09 00:00:00,SE,FT,11935425.0,US,US,L,100.0,143225.1,Data Engineering
BI Data Analyst,2021-08-02 00:00:00,MI,FT,2885111.0,HU,US,L,50.0,34621.332,Data Analytics
Data Analyst,2021-09-21 00:00:00,MI,FT,4933309.0,US,US,L,0.0,59199.708,Data Analytics
Research Scientist,2021-11-24 00:00:00,MI,FT,14914666.0,CA,CA,L,100.0,178975.992,Other
Data Engineer,2021-07-19 00:00:00,SE,FT,9150493.0,US,US,S,100.0,109805.916,Data Engineering
Data Engineer,2021-01-29 00:00:00,EN,FT,2421141.0,IN,IN,L,100.0,29053.692,Data Engineering
Director of Data Engineering,2021-07-24 00:00:00,SE,FT,9029229.0,GB,GB,M,100.0,108350.748,Data Engineering
Lead Data Engineer,2021-01-08 00:00:00,SE,FT,8208390.0,GB,GB,S,100.0,98500.68,Data Engineering
AI Scientist,2021-06-08 00:00:00,EN,PT,954834.0,PK,US,M,100.0,11458.008,Machine Learning
Machine Learning Scientist,2021-09-05 00:00:00,EN,FT,17903138.0,US,US,L,100.0,214837.656,Machine Learning
Data Scientist,2021-04-22 00:00:00,MI,FT,3978475.0,NG,NG,L,100.0,47741.7,Data Science
Data Science Engineer,2021-07-19 00:00:00,MI,FT,3197819.0,GR,GR,M,100.0,38373.828,Other
Data Analyst,2021-09-24 00:00:00,EN,FT,7161255.0,US,US,S,100.0,85935.06,Data Analytics
Data Engineer,2021-02-21 00:00:00,MI,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
Principal Data Engineer,2021-10-25 00:00:00,SE,FT,15913900.0,US,US,M,100.0,190966.8,Data Engineering
Data Analyst,2021-01-04 00:00:00,EN,FT,3978475.0,US,US,M,100.0,47741.7,Data Analytics
Applied Data Scientist,2021-06-18 00:00:00,EN,FT,8755589.0,GB,GB,L,0.0,105067.068,Data Science
Data Analyst,2021-06-07 00:00:00,EN,PT,823863.0,ES,ES,M,50.0,9886.356,Data Analytics
Data Scientist,2021-08-26 00:00:00,MI,FT,753205.0,IN,IN,S,0.0,9038.46,Data Science
Machine Learning Engineer,2021-11-12 00:00:00,EN,FT,1591390.0,IN,IN,S,100.0,19096.68,Machine Learning
Lead Data Scientist,2021-02-24 00:00:00,SE,FT,3228135.0,IN,IN,L,50.0,38737.62,Data Science
Data Scientist,2021-03-14 00:00:00,EN,FT,3950307.0,FR,FR,M,50.0,47403.684,Data Science
Data Scientist,2021-04-01 00:00:00,EN,FT,7956950.0,US,US,S,0.0,95483.4,Data Science
ML Engineer,2021-07-26 00:00:00,MI,FT,5069452.0,JP,JP,S,50.0,60833.424,Machine Learning
ML Engineer,2021-07-20 00:00:00,MI,FT,6155815.0,JP,JP,S,50.0,73869.78,Machine Learning
Principal Data Scientist,2021-07-09 00:00:00,SE,FT,17505290.0,US,US,L,0.0,210063.48,Data Science
Data Scientist,2021-08-26 00:00:00,EN,FT,6365560.0,US,US,M,100.0,76386.72,Data Science
Data Engineering Manager,2021-11-30 00:00:00,SE,FT,11935425.0,US,US,L,0.0,143225.1,Data Engineering
Data Scientist,2021-07-14 00:00:00,MI,FT,6564484.0,US,US,S,100.0,78773.808,Data Science
Machine Learning Engineer,2021-03-26 00:00:00,SE,FT,6583899.0,BE,BE,M,50.0,79006.788,Machine Learning
Research Scientist,2021-04-25 00:00:00,MI,FT,4984950.0,FR,FR,M,50.0,59819.4,Other
Data Engineering Manager,2021-06-25 00:00:00,SE,FT,12174134.0,US,US,L,100.0,146089.608,Data Engineering
Cloud Data Engineer,2021-01-24 00:00:00,SE,FT,12731120.0,BR,US,S,100.0,152773.44,Data Engineering
Data Scientist,2021-08-23 00:00:00,MI,FT,11935425.0,US,US,M,100.0,143225.1,Data Science
Data Scientist,2021-04-11 00:00:00,EN,FT,1066231.0,UA,UA,L,100.0,12794.772,Data Science
Data Science Engineer,2021-04-11 00:00:00,SE,FT,10122911.0,CA,CA,L,50.0,121474.932,Other
Applied Machine Learning Scientist,2021-04-15 00:00:00,MI,FT,33657899.0,US,US,L,50.0,403894.788,Machine Learning
Data Analytics Manager,2021-05-30 00:00:00,SE,FT,9548340.0,US,US,M,100.0,114580.08,Data Analytics
Machine Learning Engineer,2021-10-17 00:00:00,EN,FT,9946188.0,US,US,S,100.0,119354.256,Machine Learning
Head of Data Science,2021-04-08 00:00:00,EX,FT,6763408.0,RU,RU,M,0.0,81160.89600000001,Managerial
Data Science Consultant,2021-03-09 00:00:00,EN,FT,5079001.0,DE,DE,L,50.0,60948.012,Other
Director of Data Science,2021-09-01 00:00:00,EX,FT,10346104.0,DE,DE,M,50.0,124153.248,Managerial
Data Engineer,2021-09-15 00:00:00,EN,FT,6365560.0,US,US,L,100.0,76386.72,Data Engineering
Director of Data Science,2021-11-20 00:00:00,EX,FT,19892375.0,US,US,L,0.0,238708.5,Managerial
Data Architect,2021-06-01 00:00:00,MI,FT,11935425.0,US,US,L,100.0,143225.1,Data Engineering
Data Analyst,2021-03-18 00:00:00,EN,FT,4774170.0,US,US,S,100.0,57290.04,Data Analytics
Principal Data Scientist,2021-01-26 00:00:00,SE,FT,18698833.0,US,US,L,100.0,224385.996,Data Science
Research Scientist,2021-06-06 00:00:00,SE,FT,4834404.0,PT,PT,L,50.0,58012.848,Other
Data Scientist,2021-04-30 00:00:00,MI,FT,3185804.0,CL,CL,L,100.0,38229.648,Data Science
Machine Learning Engineer,2021-08-01 00:00:00,EN,FT,6445130.0,US,US,S,50.0,77341.56,Machine Learning
Data Scientist,2021-07-28 00:00:00,MI,FT,451875.0,IN,US,S,100.0,5422.5,Data Science
Data Scientist,2021-10-02 00:00:00,MI,FT,7219659.0,DE,DE,L,50.0,86635.908,Data Science
Finance Data Analyst,2021-11-05 00:00:00,SE,FT,4925034.0,GB,GB,L,50.0,59100.408,Data Analytics
Machine Learning Scientist,2021-02-04 00:00:00,MI,FL,954834.0,PK,PK,M,50.0,11458.008,Machine Learning
Data Engineer,2021-10-04 00:00:00,MI,FT,318278.0,IR,IR,M,100.0,3819.336,Data Engineering
Data Analytics Engineer,2021-09-04 00:00:00,SE,FT,3978475.0,VN,GB,M,100.0,47741.7,Data Analytics
Data Science Consultant,2021-08-09 00:00:00,EX,FT,5549256.0,FR,ES,S,100.0,66591.072,Other
Machine Learning Engineer,2021-08-13 00:00:00,EN,FT,1738116.0,CO,CO,M,50.0,20857.392,Machine Learning
Big Data Engineer,2021-03-15 00:00:00,MI,FT,1432251.0,MD,MD,S,0.0,17187.012,Data Engineering
Data Science Manager,2021-10-05 00:00:00,SE,FT,13845093.0,US,US,L,100.0,166141.116,Managerial
Research Scientist,2021-07-13 00:00:00,SE,FT,7647663.0,CA,CA,L,50.0,91771.956,Other
BI Data Analyst,2021-06-08 00:00:00,EN,FT,737768.0,KE,KE,S,100.0,8853.216,Data Analytics
Machine Learning Engineer,2021-11-17 00:00:00,SE,FT,1936881.0,IN,IN,L,100.0,23242.572,Machine Learning
Data Science Consultant,2021-05-20 00:00:00,EN,FT,7161255.0,US,US,S,100.0,85935.06,Other
Machine Learning Infrastructure Engineer,2021-06-21 00:00:00,SE,FT,15516053.0,US,US,M,100.0,186192.636,Data Engineering
Data Scientist,2021-08-21 00:00:00,MI,FT,3009716.0,ES,ES,L,100.0,36116.592,Data Science
Research Scientist,2021-02-09 00:00:00,SE,FT,3978475.0,FR,US,S,100.0,47741.7,Other
Data Scientist,2021-04-29 00:00:00,MI,FT,12731120.0,US,US,L,100.0,152773.44,Data Science
Data Scientist,2021-04-22 00:00:00,MI,FT,1026526.0,BR,BR,S,0.0,12318.312,Data Science
Machine Learning Engineer,2021-04-30 00:00:00,SE,FT,15913900.0,US,US,L,100.0,190966.8,Machine Learning
Data Engineer,2021-07-23 00:00:00,SE,FT,13128968.0,US,US,M,0.0,157547.616,Data Engineering
Research Scientist,2021-09-02 00:00:00,MI,FT,4514614.0,FR,FR,S,50.0,54175.368,Other
Data Engineer,2021-11-11 00:00:00,MI,FT,5253338.0,HK,GB,S,50.0,63040.056,Data Engineering
Big Data Engineer,2021-03-20 00:00:00,EN,FT,468028.0,IN,CH,L,0.0,5616.336,Data Engineering
Machine Learning Engineer,2021-06-01 00:00:00,EN,FT,1975154.0,DE,DE,M,50.0,23701.848,Machine Learning
Principal Data Engineer,2021-06-27 00:00:00,SE,FT,14720358.0,US,US,L,100.0,176644.296,Data Engineering
Data Scientist,2021-08-07 00:00:00,MI,FT,7219659.0,DE,DE,L,50.0,86635.908,Data Science
Machine Learning Engineer,2021-05-23 00:00:00,MI,FT,7054154.0,BE,BE,M,100.0,84649.848,Machine Learning
Data Analytics Manager,2021-07-01 00:00:00,SE,FT,11139730.0,US,US,L,100.0,133676.76,Data Analytics
Data Scientist,2021-07-13 00:00:00,MI,FT,9302789.0,GB,GB,L,50.0,111633.468,Data Science
Data Scientist,2021-07-18 00:00:00,MI,FT,2690086.0,IN,IN,M,0.0,32281.032,Data Science
Data Scientist,2021-01-20 00:00:00,MI,FT,4476262.0,GB,GB,L,50.0,53715.144,Data Science
Machine Learning Scientist,2021-08-26 00:00:00,SE,FT,17903138.0,US,CA,L,100.0,214837.656,Machine Learning
Data Scientist,2021-03-25 00:00:00,SE,FT,6981269.0,CA,CA,S,100.0,83775.228,Data Science
Data Scientist,2021-05-09 00:00:00,MI,FT,7054154.0,DE,DE,L,50.0,84649.848,Data Science
Data Analyst,2021-02-15 00:00:00,SE,FT,5711976.0,CA,CA,M,100.0,68543.712,Data Analytics
Director of Data Engineering,2021-09-18 00:00:00,SE,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
Data Analyst,2021-07-07 00:00:00,SE,FT,15913900.0,US,US,L,100.0,190966.8,Data Analytics
Research Scientist,2021-08-11 00:00:00,MI,FT,5077330.0,CA,CA,M,100.0,60927.96,Other
Data Scientist,2021-02-25 00:00:00,MI,FT,3724569.0,ES,ES,M,100.0,44694.828,Data Science
Data Scientist,2021-03-11 00:00:00,EN,FT,318278.0,VN,VN,M,0.0,3819.336,Data Science
Data Engineer,2021-02-07 00:00:00,EN,FT,1721645.0,IN,IN,M,50.0,20659.74,Data Engineering
Data Analyst,2021-09-15 00:00:00,MI,FT,6365560.0,US,US,L,100.0,76386.72,Data Analytics
Data Scientist,2021-03-05 00:00:00,SE,FT,13128968.0,US,US,L,100.0,157547.616,Data Science
AI Scientist,2021-06-26 00:00:00,EN,FT,1436468.0,IN,AS,S,100.0,17237.616,Machine Learning
Data Engineer,2021-10-26 00:00:00,MI,FT,5745873.0,GB,GB,L,50.0,68950.476,Data Engineering
Data Scientist,2021-03-17 00:00:00,EN,FT,2915665.0,FR,FR,L,50.0,34987.98,Data Science
Data Engineer,2021-01-19 00:00:00,SE,FT,7661111.0,GB,GB,L,50.0,91933.332,Data Engineering
Principal Data Analyst,2021-02-18 00:00:00,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Analytics
Data Scientist,2021-05-18 00:00:00,EN,FT,7161255.0,US,US,S,100.0,85935.06,Data Science
Data Scientist,2021-05-05 00:00:00,EN,FT,2259694.0,IN,IN,M,100.0,27116.328,Data Science
Data Analyst,2021-09-16 00:00:00,MI,FT,7399964.0,US,US,L,100.0,88799.568,Data Analytics
Data Engineer,2021-07-25 00:00:00,MI,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
Principal Data Scientist,2021-10-28 00:00:00,SE,FT,13826155.0,DE,DE,M,100.0,165913.86000000002,Data Science
Machine Learning Engineer,2021-07-18 00:00:00,SE,FT,14720358.0,US,US,L,50.0,176644.296,Machine Learning
Director of Data Science,2021-09-18 00:00:00,EX,FT,11286615.0,DE,DE,L,0.0,135439.38,Managerial
Data Analyst,2021-07-07 00:00:00,SE,FT,5079001.0,DE,DE,L,50.0,60948.012,Data Analytics
Data Scientist,2021-11-29 00:00:00,MI,FT,1345043.0,IN,IN,S,100.0,16140.516,Data Science
Machine Learning Engineer,2021-09-02 00:00:00,SE,FT,5272673.0,IN,IN,L,0.0,63272.076,Machine Learning
Lead Data Engineer,2021-05-10 00:00:00,SE,FT,12731120.0,PR,US,S,50.0,152773.44,Data Engineering
Data Engineer,2021-01-05 00:00:00,MI,FT,8893881.0,US,US,M,0.0,106726.572,Data Engineering
Data Engineer,2021-10-23 00:00:00,MI,FT,2229219.0,TR,TR,M,100.0,26750.628,Data Engineering
Data Engineer,2021-08-17 00:00:00,EN,FT,5173052.0,DE,DE,M,50.0,62076.624,Data Engineering
Computer Vision Engineer,2021-04-29 00:00:00,SE,FT,1504421.0,BR,BR,M,0.0,18053.052,Other
Data Science Consultant,2021-02-03 00:00:00,EN,FT,6113563.0,DE,DE,L,0.0,73362.75600000001,Other
Data Scientist,2021-02-07 00:00:00,SE,FT,6181277.0,FR,FR,M,50.0,74175.32400000001,Data Science
Data Scientist,2021-08-29 00:00:00,EN,FT,4615031.0,US,US,L,50.0,55380.372,Data Science
AI Scientist,2021-09-20 00:00:00,SE,FT,4376323.0,ES,ES,L,100.0,52515.876,Machine Learning
Data Scientist,2021-03-05 00:00:00,SE,FT,1604996.0,TR,TR,L,50.0,19259.952,Data Science
Business Data Analyst,2021-08-14 00:00:00,EN,FT,4702717.0,LU,LU,L,100.0,56432.604,Data Analytics
Research Scientist,2021-02-07 00:00:00,EN,FT,7956950.0,JE,CN,L,0.0,95483.4,Other
Staff Data Scientist,2021-04-13 00:00:00,SE,CT,8354798.0,US,US,M,100.0,100257.576,Data Science
Research Scientist,2021-04-16 00:00:00,MI,FT,5569785.0,CZ,CZ,L,50.0,66837.42,Other
Data Scientist,2021-03-18 00:00:00,MI,FT,8673076.0,US,US,L,50.0,104076.912,Data Science
Data Engineer,2022-07-19 00:00:00,SE,FT,10741883.0,US,US,M,100.0,128902.596,Data Engineering
Data Analyst,2022-11-05 00:00:00,SE,FT,9596082.0,US,US,M,100.0,115152.984,Data Analytics
Data Scientist,2022-06-18 00:00:00,MI,FT,10344035.0,US,US,M,0.0,124128.42,Data Science
Data Scientist,2022-08-23 00:00:00,MI,FT,7161255.0,US,US,M,0.0,85935.06,Data Science
Data Engineer,2022-06-27 00:00:00,MI,FT,11935425.0,US,US,M,100.0,143225.1,Data Engineering
Data Analyst,2022-04-12 00:00:00,SE,FT,8124046.0,US,US,M,100.0,97488.552,Data Analytics
Data Analyst,2022-04-16 00:00:00,SE,FT,6755451.0,US,US,M,100.0,81065.412,Data Analytics
Data Scientist,2022-06-23 00:00:00,SE,FT,10870785.0,US,US,M,100.0,130449.42,Data Science
Data Scientist,2022-10-03 00:00:00,SE,FT,7906026.0,US,US,M,100.0,94872.312,Data Science
Data Scientist,2022-08-29 00:00:00,SE,FT,8331086.0,GB,GB,M,0.0,99973.032,Data Science
Data Scientist,2022-10-07 00:00:00,SE,FT,11617147.0,US,US,M,100.0,139405.764,Data Science
Data Scientist,2022-04-08 00:00:00,SE,FT,9787049.0,US,US,M,100.0,117444.588,Data Science
Data Analyst,2022-01-16 00:00:00,SE,FT,7877381.0,US,US,M,0.0,94528.572,Data Analytics
Data Analyst,2022-03-01 00:00:00,MI,FT,8455055.0,US,US,M,0.0,101460.66,Data Analytics
Data Engineer,2022-11-17 00:00:00,EX,FT,19255819.0,US,US,M,100.0,231069.828,Data Engineering
Data Scientist,2022-03-08 00:00:00,MI,FT,5206869.0,GB,GB,M,0.0,62482.428,Data Science
Data Engineer,2022-02-23 00:00:00,MI,FT,6248275.0,GB,GB,M,0.0,74979.3,Data Engineering
Data Engineer,2022-07-06 00:00:00,MI,FT,4165543.0,GB,GB,M,0.0,49986.516,Data Engineering
Data Engineer,2022-06-05 00:00:00,EN,FT,3644840.0,GB,GB,M,100.0,43738.08,Data Engineering
Data Scientist,2022-04-22 00:00:00,SE,FT,9561071.0,US,US,M,100.0,114732.852,Data Science
Data Analyst,2022-10-06 00:00:00,SE,FT,7186717.0,US,US,M,100.0,86240.604,Data Analytics
Data Engineer,2022-07-01 00:00:00,SE,FT,14476875.0,US,US,M,0.0,173722.5,Data Engineering
Data Engineer,2022-09-04 00:00:00,SE,FT,17514043.0,US,US,M,0.0,210168.516,Data Engineering
Data Engineer,2022-02-17 00:00:00,SE,FT,12737486.0,US,US,M,0.0,152849.832,Data Engineering
Data Analyst,2022-09-17 00:00:00,EX,FT,10344035.0,US,US,M,100.0,124128.42,Data Analytics
Data Analyst,2022-01-16 00:00:00,EX,FT,8752645.0,US,US,M,100.0,105031.74,Data Analytics
Data Analyst,2022-01-15 00:00:00,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Analytics
Data Analyst,2022-07-07 00:00:00,SE,FT,7186717.0,US,US,M,100.0,86240.604,Data Analytics
Data Analyst,2022-08-08 00:00:00,SE,FT,8983397.0,US,US,M,100.0,107800.764,Data Analytics
Data Analyst,2022-08-06 00:00:00,SE,FT,7186717.0,US,US,M,100.0,86240.604,Data Analytics
Data Engineer,2022-08-18 00:00:00,SE,FT,13160795.0,US,US,M,100.0,157929.54,Data Engineering
Data Engineer,2022-03-17 00:00:00,SE,FT,10528636.0,US,US,M,100.0,126343.632,Data Engineering
Data Engineer,2022-09-28 00:00:00,SE,FT,19407001.0,US,US,M,100.0,232884.012,Data Engineering
Data Analyst,2022-02-07 00:00:00,SE,FT,8695355.0,US,US,M,100.0,104344.26,Data Analytics
Data Engineer,2022-06-12 00:00:00,SE,FT,7455662.0,US,US,M,100.0,89467.944,Data Engineering
Head of Data Science,2022-06-13 00:00:00,EX,FT,13357730.0,US,US,M,100.0,160292.76,Managerial
Analytics Engineer,2022-11-15 00:00:00,EX,FT,13924663.0,US,US,M,100.0,167095.956,Data Analytics
Data Engineer,2022-06-30 00:00:00,SE,FT,8657162.0,US,US,M,0.0,103885.944,Data Engineering
Data Scientist,2022-02-14 00:00:00,SE,FT,7602866.0,US,US,M,0.0,91234.392,Data Science
Data Engineer,2022-04-09 00:00:00,SE,FT,8991354.0,US,US,L,0.0,107896.248,Data Engineering
Data Analyst,2022-11-18 00:00:00,SE,FT,10741883.0,US,US,M,100.0,128902.596,Data Analytics
Data Science Manager,2022-09-29 00:00:00,SE,FT,10912241.0,US,US,M,100.0,130946.892,Managerial
Data Scientist,2022-06-24 00:00:00,SE,FT,9787049.0,US,US,M,100.0,117444.588,Data Science
Data Engineer,2022-02-12 00:00:00,SE,FT,6248275.0,GB,GB,M,0.0,74979.3,Data Engineering
Data Engineer,2022-04-20 00:00:00,SE,FT,5206869.0,GB,GB,M,0.0,62482.428,Data Engineering
Data Scientist,2022-08-20 00:00:00,SE,FT,11935425.0,US,US,M,0.0,143225.1,Data Science
Data Architect,2022-09-18 00:00:00,SE,FT,15309172.0,CA,CA,M,100.0,183710.064,Data Engineering
Data Architect,2022-04-20 00:00:00,SE,FT,7216954.0,CA,CA,M,100.0,86603.448,Data Engineering
Data Analyst,2022-01-11 00:00:00,SE,FT,10344035.0,CA,CA,M,100.0,124128.42,Data Analytics
Data Analyst,2022-08-02 00:00:00,SE,FT,4877610.0,CA,CA,M,100.0,58531.32,Data Analytics
Data Scientist,2022-04-14 00:00:00,SE,FT,11028333.0,US,US,M,100.0,132339.996,Data Science
Data Engineer,2022-02-15 00:00:00,SE,FT,10821452.0,US,US,M,0.0,129857.424,Data Engineering
Data Analyst,2022-06-25 00:00:00,MI,FT,4615031.0,US,US,S,0.0,55380.372,Data Analytics
Analytics Engineer,2022-10-14 00:00:00,EX,FT,10741883.0,US,US,M,100.0,128902.596,Data Analytics
Data Scientist,2022-09-02 00:00:00,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Science
Machine Learning Engineer,2022-03-02 00:00:00,SE,FT,15090356.0,US,US,M,0.0,181084.272,Machine Learning
Machine Learning Engineer,2022-02-20 00:00:00,SE,FT,13128649.0,US,US,M,0.0,157543.788,Machine Learning
ETL Developer,2022-07-24 00:00:00,MI,FT,4372901.0,GR,GR,M,0.0,52474.812,Data Engineering
Data Engineer,2022-07-27 00:00:00,SE,FT,13160795.0,US,US,M,100.0,157929.54,Data Engineering
Data Architect,2022-03-30 00:00:00,SE,FT,11760372.0,US,US,M,100.0,141124.464,Data Engineering
Data Engineer,2022-07-15 00:00:00,SE,FT,8081874.0,US,US,M,100.0,96982.488,Data Engineering
Data Analyst,2022-07-19 00:00:00,SE,FT,10254519.0,US,US,M,100.0,123054.228,Data Analytics
