index,max_depth,min_samples_leaf,learn_rate,accuracy
202.0,10.0,6.0,1.198657718,48.0
203.0,13.0,9.0,1.171946309,48.0
204.0,11.0,7.0,1.412348993,48.0
205.0,18.0,5.0,1.398993289,48.0
206.0,9.0,11.0,1.412348993,48.0
207.0,57.0,15.0,0.196979866,48.0
208.0,61.0,3.0,0.651073826,48.0
209.0,17.0,3.0,1.839731544,47.0
210.0,15.0,13.0,1.278791946,47.0
211.0,50.0,10.0,0.130201342,47.0
212.0,21.0,13.0,0.784630872,47.0
213.0,61.0,16.0,0.597651007,47.0
214.0,4.0,7.0,1.011677852,47.0
215.0,47.0,3.0,0.984966443,47.0
216.0,37.0,7.0,0.530872483,47.0
217.0,16.0,14.0,1.933221477,47.0
218.0,22.0,10.0,0.317181208,47.0
219.0,61.0,5.0,0.878120805,47.0
220.0,6.0,6.0,1.519194631,47.0
221.0,10.0,5.0,1.559261745,46.0
222.0,12.0,3.0,1.666107383,46.0
223.0,23.0,12.0,0.971610738,46.0
224.0,33.0,5.0,0.343892617,46.0
225.0,13.0,3.0,1.986644295,46.0
226.0,55.0,11.0,0.504161074,46.0
227.0,62.0,7.0,0.023355705,46.0
228.0,20.0,4.0,1.425704698,46.0
229.0,19.0,6.0,1.839731544,46.0
230.0,10.0,8.0,1.946577181,46.0
231.0,37.0,3.0,0.01,46.0
232.0,47.0,13.0,0.637718121,46.0
233.0,48.0,6.0,0.998322148,46.0
234.0,3.0,13.0,1.786308725,46.0
235.0,14.0,9.0,1.612684564,46.0
236.0,55.0,8.0,0.277114094,46.0
237.0,9.0,10.0,1.31885906,46.0
238.0,15.0,6.0,1.666107383,46.0
239.0,22.0,8.0,0.517516779,45.0
240.0,55.0,3.0,0.290469799,45.0
241.0,4.0,7.0,1.626040268,45.0
242.0,16.0,4.0,1.706174497,45.0
243.0,34.0,12.0,0.637718121,45.0
244.0,10.0,9.0,1.492483221,45.0
245.0,57.0,11.0,0.757919463,45.0
246.0,30.0,7.0,0.517516779,45.0
247.0,8.0,14.0,1.158590604,45.0
248.0,55.0,10.0,0.771275168,45.0
249.0,21.0,14.0,0.277114094,44.0
250.0,37.0,5.0,0.904832215,44.0
251.0,42.0,16.0,0.677785235,44.0
252.0,16.0,10.0,1.626040268,44.0
253.0,45.0,12.0,0.944899329,44.0
254.0,24.0,7.0,0.797986577,44.0
255.0,33.0,3.0,0.090134228,44.0
256.0,46.0,4.0,0.277114094,44.0
257.0,42.0,7.0,0.090134228,44.0
258.0,31.0,5.0,0.651073826,44.0
259.0,46.0,15.0,0.717852349,43.0
260.0,38.0,9.0,0.878120805,43.0
261.0,48.0,11.0,0.530872483,43.0
262.0,1.0,5.0,0.397315436,43.0
263.0,30.0,9.0,0.21033557,43.0
264.0,14.0,8.0,1.038389262,43.0
265.0,28.0,16.0,0.677785235,43.0
266.0,12.0,6.0,1.372281879,43.0
267.0,41.0,4.0,0.530872483,42.0
268.0,64.0,14.0,0.050067114,42.0
269.0,26.0,6.0,0.984966443,42.0
270.0,20.0,10.0,1.559261745,42.0
271.0,8.0,9.0,1.252080537,42.0
272.0,33.0,12.0,0.838053691,42.0
273.0,32.0,9.0,0.383959732,42.0
274.0,17.0,11.0,1.34557047,42.0
275.0,49.0,14.0,0.811342282,42.0
276.0,3.0,13.0,1.933221477,42.0
277.0,10.0,11.0,1.212013423,42.0
278.0,16.0,13.0,1.612684564,41.0
279.0,60.0,16.0,0.998322148,41.0
280.0,60.0,9.0,0.023355705,41.0
281.0,8.0,14.0,1.305503356,41.0
282.0,30.0,5.0,0.611006711,41.0
283.0,49.0,4.0,0.130201342,41.0
284.0,53.0,9.0,0.517516779,41.0
285.0,29.0,12.0,0.383959732,41.0
286.0,9.0,9.0,1.34557047,40.0
287.0,47.0,8.0,0.797986577,40.0
288.0,25.0,6.0,0.744563758,40.0
289.0,3.0,6.0,1.34557047,40.0
290.0,49.0,6.0,0.744563758,40.0
291.0,43.0,7.0,0.063422819,39.0
292.0,32.0,5.0,0.904832215,38.0
293.0,46.0,3.0,0.918187919,38.0
294.0,38.0,5.0,0.878120805,38.0
295.0,32.0,5.0,0.624362416,38.0
296.0,22.0,11.0,1.77295302,37.0
297.0,23.0,12.0,0.517516779,37.0
298.0,38.0,12.0,0.824697987,37.0
299.0,32.0,6.0,0.784630872,37.0
300.0,56.0,7.0,0.69114094,37.0
301.0,50.0,5.0,0.731208054,37.0
302.0,56.0,5.0,0.477449664,36.0
303.0,60.0,8.0,0.263758389,36.0
304.0,44.0,15.0,1.786308725,36.0
305.0,59.0,5.0,0.21033557,36.0
306.0,28.0,4.0,0.864765101,36.0
307.0,45.0,12.0,1.225369128,35.0
308.0,24.0,6.0,0.838053691,35.0
309.0,27.0,5.0,0.076778523,35.0
310.0,29.0,9.0,0.878120805,35.0
311.0,58.0,15.0,1.078456376,35.0
312.0,29.0,5.0,0.797986577,35.0
313.0,51.0,9.0,0.824697987,34.0
314.0,51.0,3.0,0.370604027,34.0
315.0,51.0,14.0,1.238724832,34.0
316.0,51.0,8.0,0.66442953,34.0
317.0,61.0,6.0,0.170268456,33.0
318.0,27.0,9.0,0.918187919,33.0
319.0,51.0,5.0,0.156912752,33.0
320.0,55.0,8.0,0.677785235,33.0
321.0,33.0,11.0,1.11852349,33.0
322.0,46.0,5.0,0.931543624,33.0
323.0,36.0,13.0,1.706174497,32.0
324.0,30.0,13.0,1.131879195,32.0
325.0,22.0,6.0,0.624362416,32.0
326.0,21.0,13.0,1.906510067,31.0
327.0,61.0,6.0,0.584295302,31.0
328.0,51.0,10.0,1.265436242,31.0
329.0,64.0,14.0,1.906510067,30.0
330.0,54.0,13.0,1.719530201,30.0
331.0,21.0,13.0,1.252080537,30.0
332.0,23.0,14.0,1.973288591,30.0
333.0,25.0,4.0,0.904832215,30.0
334.0,54.0,3.0,0.156912752,29.0
335.0,48.0,10.0,1.025033557,29.0
336.0,52.0,7.0,0.397315436,29.0
337.0,60.0,6.0,0.757919463,29.0
338.0,34.0,7.0,0.69114094,29.0
339.0,61.0,8.0,0.971610738,28.0
340.0,22.0,12.0,1.959932886,28.0
341.0,49.0,3.0,0.530872483,28.0
342.0,51.0,3.0,0.290469799,28.0
343.0,53.0,9.0,0.01,28.0
344.0,29.0,8.0,0.076778523,28.0
345.0,36.0,14.0,1.839731544,28.0
346.0,43.0,13.0,1.425704698,28.0
347.0,59.0,16.0,1.639395973,27.0
348.0,22.0,9.0,0.156912752,27.0
349.0,56.0,5.0,0.744563758,27.0
350.0,34.0,8.0,0.517516779,27.0
351.0,51.0,9.0,0.984966443,27.0
352.0,45.0,8.0,0.717852349,27.0
353.0,35.0,10.0,1.038389262,27.0
354.0,45.0,4.0,0.731208054,27.0
355.0,43.0,12.0,1.746241611,27.0
356.0,61.0,5.0,0.357248322,27.0
357.0,63.0,15.0,1.959932886,26.0
358.0,24.0,14.0,1.398993289,26.0
359.0,22.0,5.0,0.277114094,26.0
360.0,61.0,4.0,0.23704698,26.0
361.0,49.0,5.0,0.944899329,26.0
362.0,34.0,3.0,0.878120805,26.0
363.0,47.0,5.0,0.410671141,26.0
364.0,48.0,5.0,0.343892617,26.0
365.0,44.0,11.0,1.79966443,26.0
366.0,50.0,12.0,1.959932886,26.0
367.0,24.0,5.0,0.677785235,26.0
368.0,41.0,12.0,1.385637584,25.0
369.0,42.0,10.0,1.385637584,25.0
370.0,39.0,3.0,0.317181208,25.0
371.0,53.0,12.0,1.439060403,24.0
372.0,38.0,8.0,0.918187919,24.0
373.0,40.0,11.0,1.492483221,24.0
374.0,50.0,9.0,0.784630872,24.0
375.0,27.0,9.0,0.504161074,24.0
376.0,35.0,7.0,0.410671141,24.0
377.0,43.0,10.0,1.559261745,24.0
378.0,44.0,9.0,0.343892617,23.0
379.0,27.0,7.0,0.090134228,23.0
380.0,25.0,7.0,0.130201342,23.0
381.0,21.0,4.0,1.532550336,23.0
382.0,40.0,15.0,1.131879195,23.0
383.0,29.0,10.0,1.652751678,23.0
384.0,60.0,8.0,1.933221477,22.0
385.0,54.0,6.0,1.265436242,22.0
386.0,63.0,8.0,1.79966443,22.0
387.0,29.0,9.0,1.652751678,22.0
388.0,59.0,15.0,1.465771812,22.0
389.0,64.0,16.0,1.439060403,22.0
390.0,36.0,10.0,1.171946309,22.0
391.0,50.0,8.0,1.879798658,22.0
392.0,54.0,8.0,1.078456376,22.0
393.0,38.0,5.0,1.54590604,22.0
394.0,41.0,8.0,0.317181208,22.0
395.0,40.0,6.0,1.813020134,22.0
396.0,59.0,6.0,0.036711409,22.0
397.0,57.0,13.0,2.0,21.0
398.0,64.0,9.0,1.185302013,21.0
399.0,24.0,9.0,1.358926174,21.0
400.0,57.0,11.0,1.078456376,21.0
401.0,40.0,6.0,1.57261745,21.0
402.0,63.0,11.0,2.0,21.0
403.0,46.0,9.0,1.893154362,21.0
404.0,47.0,15.0,1.452416107,21.0
405.0,55.0,10.0,1.706174497,21.0
406.0,25.0,16.0,1.452416107,21.0
407.0,35.0,3.0,1.532550336,21.0
408.0,33.0,14.0,1.252080537,21.0
409.0,53.0,12.0,1.212013423,21.0
410.0,52.0,16.0,1.906510067,21.0
411.0,62.0,15.0,1.612684564,20.0
412.0,31.0,9.0,1.238724832,20.0
413.0,64.0,12.0,1.492483221,20.0
414.0,43.0,4.0,1.31885906,19.0
415.0,53.0,9.0,1.305503356,19.0
416.0,52.0,5.0,1.252080537,19.0
417.0,38.0,10.0,1.626040268,19.0
418.0,40.0,11.0,1.011677852,19.0
419.0,55.0,16.0,1.786308725,19.0
420.0,31.0,5.0,1.252080537,19.0
421.0,36.0,9.0,1.79966443,19.0
422.0,59.0,14.0,1.278791946,19.0
423.0,23.0,6.0,0.984966443,19.0
424.0,52.0,15.0,1.305503356,18.0
425.0,31.0,16.0,1.505838926,18.0
426.0,50.0,12.0,1.826375839,18.0
427.0,62.0,6.0,1.826375839,18.0
428.0,48.0,12.0,1.332214765,18.0
429.0,64.0,8.0,1.986644295,18.0
430.0,59.0,9.0,1.826375839,18.0
431.0,60.0,3.0,1.105167785,18.0
432.0,31.0,8.0,1.278791946,18.0
433.0,31.0,11.0,1.826375839,18.0
434.0,42.0,4.0,1.252080537,17.0
435.0,29.0,15.0,1.372281879,17.0
436.0,61.0,16.0,1.198657718,17.0
437.0,23.0,14.0,1.278791946,17.0
438.0,23.0,3.0,1.719530201,17.0
439.0,24.0,7.0,1.679463087,17.0
440.0,59.0,16.0,1.746241611,17.0
441.0,25.0,4.0,1.839731544,17.0
442.0,32.0,7.0,1.946577181,17.0
443.0,28.0,7.0,1.786308725,17.0
444.0,62.0,3.0,1.11852349,16.0
445.0,49.0,3.0,1.879798658,16.0
446.0,51.0,8.0,1.933221477,16.0
447.0,22.0,8.0,1.011677852,16.0
448.0,29.0,6.0,1.158590604,16.0
449.0,34.0,11.0,1.332214765,16.0
450.0,35.0,11.0,1.652751678,16.0
451.0,23.0,3.0,1.679463087,16.0
452.0,56.0,7.0,1.131879195,16.0
453.0,55.0,11.0,1.906510067,16.0
454.0,33.0,8.0,1.078456376,16.0
455.0,53.0,4.0,1.933221477,16.0
456.0,43.0,5.0,1.639395973,16.0
457.0,35.0,8.0,1.171946309,16.0
458.0,44.0,5.0,1.439060403,16.0
459.0,58.0,11.0,1.906510067,16.0
460.0,30.0,10.0,1.252080537,16.0
461.0,64.0,12.0,1.011677852,15.0
462.0,31.0,5.0,1.759597315,15.0
463.0,32.0,13.0,1.679463087,15.0
464.0,45.0,7.0,1.185302013,15.0
465.0,52.0,9.0,1.465771812,15.0
466.0,60.0,16.0,1.853087248,15.0
467.0,42.0,10.0,1.452416107,15.0
468.0,39.0,6.0,1.813020134,15.0
469.0,54.0,15.0,1.839731544,15.0
470.0,61.0,16.0,1.051744966,15.0
471.0,29.0,13.0,1.933221477,14.0
472.0,45.0,4.0,1.826375839,14.0
473.0,50.0,7.0,1.025033557,14.0
474.0,23.0,10.0,2.0,14.0
475.0,64.0,15.0,1.639395973,14.0
476.0,51.0,9.0,1.011677852,13.0
477.0,44.0,9.0,1.452416107,13.0
478.0,33.0,7.0,1.946577181,13.0
479.0,52.0,16.0,1.946577181,13.0
480.0,41.0,5.0,1.332214765,13.0
481.0,42.0,5.0,1.011677852,12.0
482.0,45.0,12.0,1.879798658,12.0
483.0,34.0,4.0,1.986644295,12.0
484.0,34.0,15.0,1.732885906,12.0
485.0,25.0,8.0,1.57261745,11.0
486.0,41.0,9.0,1.79966443,11.0
487.0,45.0,7.0,1.54590604,11.0
488.0,53.0,3.0,1.79966443,11.0
489.0,53.0,6.0,1.332214765,11.0
490.0,52.0,16.0,1.585973154,10.0
491.0,54.0,5.0,1.078456376,10.0
492.0,56.0,10.0,1.919865772,10.0
493.0,31.0,3.0,1.959932886,10.0
494.0,22.0,3.0,1.398993289,10.0
495.0,40.0,4.0,1.626040268,10.0
496.0,26.0,6.0,1.839731544,10.0
497.0,58.0,4.0,1.786308725,10.0
498.0,44.0,8.0,1.599328859,10.0
499.0,27.0,6.0,1.372281879,10.0
