film_id,title,long_description,rental_duration,rental_rate,length,replacement_cost,rating,release_year
100,BROOKLYN DESERT,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,7,4.99,161,21.99,R,2018
101,BROTHERHOOD BLANKET,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,3,0.99,73,26.99,R,2019
102,BUBBLE GROSSE,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,4,4.99,60,20.99,R,2018
103,BUCKET BROTHERHOOD,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,7,4.99,133,27.99,PG,2017
104,BUGSY SONG,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,4,2.99,119,17.99,G,2018
105,BULL SHAWSHANK,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,6,0.99,125,21.99,NC-17,2019
106,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,4,2.99,61,14.99,G,2019
107,BUNCH MINDS,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,4,2.99,63,13.99,G,2017
108,BUTCH PANTHER,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,6,0.99,67,19.99,PG-13,2017
109,BUTTERFLY CHOCOLAT,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,3,0.99,89,17.99,G,2017
110,CABIN FLASH,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,4,0.99,53,25.99,NC-17,2018
111,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,3,0.99,52,17.99,NC-17,2018
112,CALENDAR GUNFIGHT,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,4,4.99,120,22.99,NC-17,2017
113,CALIFORNIA BIRDS,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,4,4.99,75,19.99,NC-17,2017
114,CAMELOT VACATION,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,3,0.99,61,26.99,NC-17,2019
115,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,5,2.99,167,27.99,R,2017
116,CANDIDATE PERDITION,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,4,2.99,70,10.99,R,2019
117,CANDLES GRAPES,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,6,4.99,135,15.99,NC-17,2019
118,CANYON STOCK,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,7,0.99,85,26.99,R,2017
119,CAPER MOTIONS,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,6,0.99,176,22.99,G,2018
120,CARIBBEAN LIBERTY,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,3,4.99,92,16.99,NC-17,2017
121,CAROL TEXAS,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,4,2.99,151,15.99,PG,2019
122,CARRIE BUNCH,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,7,0.99,114,11.99,PG,2018
123,CASABLANCA SUPER,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,6,4.99,85,22.99,G,2017
124,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,3,4.99,163,16.99,PG-13,2018
125,CASSIDY WYOMING,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,5,2.99,61,19.99,NC-17,2019
126,CASUALTIES ENCINO,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,3,4.99,179,16.99,G,2017
127,CAT CONEHEADS,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,5,4.99,112,14.99,G,2019
128,CATCH AMISTAD,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,7,0.99,183,10.99,G,2019
129,CAUSE DATE,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,3,2.99,179,16.99,R,2019
130,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,7,0.99,110,24.99,PG-13,2017
131,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,5,4.99,152,12.99,PG,2018
132,CHAINSAW UPTOWN,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,6,0.99,114,25.99,PG,2018
133,CHAMBER ITALIAN,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,7,4.99,117,14.99,NC-17,2019
134,CHAMPION FLATLINERS,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,4,4.99,51,21.99,PG,2018
135,CHANCE RESURRECTION,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,3,2.99,70,22.99,R,2019
136,CHAPLIN LICENSE,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,7,2.99,146,26.99,NC-17,2019
137,CHARADE DUFFEL,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,3,2.99,66,21.99,PG,2018
185,COWBOY DOOM,A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon,3,2.99,146,10.99,PG,2017
138,CHARIOTS CONSPIRACY,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,5,2.99,71,29.99,R,2019
139,CHASING FIGHT,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,7,4.99,114,21.99,PG,2019
140,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,6,0.99,87,23.99,G,2018
141,CHICAGO NORTH,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,6,4.99,185,11.99,PG-13,2018
142,CHICKEN HELLFIGHTERS,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,3,0.99,122,24.99,PG,2018
143,CHILL LUCK,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,6,0.99,142,17.99,PG,2019
144,CHINATOWN GLADIATOR,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,7,4.99,61,24.99,PG,2018
145,CHISUM BEHAVIOR,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,5,4.99,124,25.99,G,2018
146,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,6,2.99,107,24.99,G,2019
147,CHOCOLAT HARRY,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,5,0.99,101,16.99,NC-17,2018
148,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,3,2.99,132,13.99,R,2017
149,CHRISTMAS MOONSHINE,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,7,0.99,150,21.99,NC-17,2017
150,CIDER DESIRE,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,7,2.99,101,9.99,PG,2019
151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,5,4.99,143,26.99,NC-17,2018
152,CIRCUS YOUTH,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,5,2.99,90,13.99,PG-13,2019
153,CITIZEN SHREK,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,7,0.99,165,18.99,G,2018
154,CLASH FREDDY,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,6,2.99,81,12.99,G,2018
155,CLEOPATRA DEVIL,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,6,0.99,150,26.99,PG-13,2017
156,CLERKS ANGELS,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,3,4.99,164,15.99,G,2017
157,CLOCKWORK PARADISE,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,7,0.99,143,29.99,PG-13,2018
158,CLONES PINOCCHIO,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,6,2.99,124,16.99,R,2017
159,CLOSER BANG,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,5,4.99,58,12.99,R,2017
160,CLUB GRAFFITI,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,4,0.99,65,12.99,PG-13,2018
161,CLUE GRAIL,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,6,4.99,70,27.99,NC-17,2017
162,CLUELESS BUCKET,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,4,2.99,95,13.99,R,2018
163,CLYDE THEORY,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,4,0.99,139,29.99,PG-13,2019
164,COAST RAINBOW,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,4,0.99,55,20.99,PG,2017
165,COLDBLOODED DARLING,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,7,4.99,70,27.99,G,2017
166,COLOR PHILADELPHIA,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,6,2.99,149,19.99,G,2019
167,COMA HEAD,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,6,4.99,109,10.99,NC-17,2019
168,COMANCHEROS ENEMY,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,5,0.99,67,23.99,R,2018
169,COMFORTS RUSH,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,3,2.99,76,19.99,NC-17,2018
170,COMMAND DARLING,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,5,4.99,120,28.99,PG-13,2019
171,COMMANDMENTS EXPRESS,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,6,4.99,59,13.99,R,2019
172,CONEHEADS SMOOCHY,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,7,4.99,112,12.99,NC-17,2019
173,CONFESSIONS MAGUIRE,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,7,4.99,65,25.99,PG-13,2017
174,CONFIDENTIAL INTERVIEW,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,6,4.99,180,13.99,NC-17,2019
175,CONFUSED CANDLES,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,3,2.99,122,27.99,PG-13,2018
176,CONGENIALITY QUEST,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,6,0.99,87,21.99,PG-13,2019
177,CONNECTICUT TRAMP,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,4,4.99,172,20.99,R,2019
178,CONNECTION MICROCOSMOS,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,6,0.99,115,25.99,G,2019
179,CONQUERER NUTS,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,4,4.99,173,14.99,G,2019
180,CONSPIRACY SPIRIT,A Awe-Inspiring Story of a Student And a Frisbee who must Conquer a Crocodile in An Abandoned Mine Shaft,4,2.99,184,27.99,PG-13,2019
181,CONTACT ANONYMOUS,A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India,7,2.99,166,10.99,PG-13,2019
182,CONTROL ANTHEM,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,7,4.99,185,9.99,G,2018
183,CONVERSATION DOWNHILL,A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention,4,4.99,112,14.99,R,2018
184,CORE SUIT,A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse,3,2.99,92,24.99,PG-13,2017
