time_id,day,month,quarter,year
2157,28,6,2,2018
2158,2,7,3,2018
2159,23,6,2,2017
2160,12,1,1,2018
2161,28,5,2,2018
2162,13,11,4,2017
2163,8,3,1,2017
2164,1,8,3,2018
2165,21,1,1,2017
2166,5,12,4,2017
2167,10,10,4,2017
2168,2,11,4,2017
2169,14,9,3,2017
2170,8,11,4,2017
2171,27,2,1,2017
2172,17,4,2,2018
2173,15,1,1,2017
2174,8,12,4,2018
2175,16,3,1,2017
2176,9,10,4,2018
2177,10,10,4,2017
2178,19,11,4,2017
2179,23,2,1,2017
2180,24,11,4,2017
2181,21,6,2,2017
2182,11,3,1,2018
2183,3,7,3,2017
2184,4,11,4,2018
2185,4,7,3,2018
2186,10,10,4,2018
2187,13,10,4,2018
2188,17,1,1,2017
2189,22,12,4,2018
2190,6,6,2,2017
2191,8,3,1,2018
2192,10,12,4,2017
2193,21,9,3,2018
2194,13,6,2,2017
2195,18,1,1,2018
2196,4,4,2,2017
2197,5,12,4,2017
2198,28,7,3,2017
2199,14,10,4,2018
2200,14,8,3,2018
2201,11,12,4,2017
2202,26,6,2,2018
2203,4,4,2,2018
2204,3,5,2,2017
2205,11,2,1,2018
2206,2,9,3,2018
2207,27,1,1,2017
2208,28,5,2,2017
2209,2,5,2,2017
2210,15,2,1,2018
2211,13,9,3,2018
2212,1,9,3,2017
2213,17,5,2,2018
2214,15,7,3,2017
2215,22,12,4,2018
2216,14,7,3,2018
2217,6,4,2,2017
2218,24,4,2,2017
2219,14,6,2,2017
2220,20,12,4,2017
2221,13,2,1,2018
2222,9,5,2,2018
2223,12,7,3,2017
2224,7,9,3,2017
2225,19,3,1,2017
2226,11,6,2,2017
2227,8,8,3,2017
2228,24,9,3,2017
2229,1,9,3,2018
2230,13,7,3,2018
2231,24,3,1,2017
2232,18,7,3,2017
2233,22,11,4,2018
2234,5,9,3,2017
2235,1,11,4,2017
2236,5,10,4,2017
2237,3,3,1,2017
2238,23,5,2,2018
2239,23,10,4,2018
2240,19,3,1,2018
2241,15,3,1,2017
2242,24,12,4,2017
2243,5,10,4,2018
2244,20,2,1,2018
2245,4,6,2,2018
2246,21,4,2,2018
2247,28,7,3,2017
2248,22,12,4,2018
2249,3,11,4,2018
2250,15,8,3,2018
2251,9,1,1,2017
2252,22,8,3,2018
2253,20,11,4,2018
2254,25,8,3,2017
2255,24,1,1,2018
2256,5,1,1,2017
2257,5,12,4,2017
2258,5,9,3,2017
2259,19,12,4,2017
2260,2,12,4,2017
2261,28,10,4,2018
2262,7,12,4,2018
2263,20,5,2,2018
2264,7,8,3,2018
2265,19,11,4,2018
2266,13,1,1,2018
2267,24,12,4,2017
2268,4,9,3,2017
2269,25,5,2,2018
2270,16,11,4,2018
2271,17,11,4,2018
2272,5,6,2,2018
2273,8,4,2,2018
2274,3,4,2,2017
2275,12,1,1,2017
2276,5,3,1,2018
2277,17,11,4,2018
2278,16,5,2,2018
2279,8,11,4,2017
2280,22,6,2,2017
2281,25,1,1,2017
2282,18,1,1,2018
2283,1,8,3,2018
2284,5,12,4,2017
2285,18,7,3,2017
2286,23,5,2,2017
2287,12,1,1,2017
2288,9,9,3,2017
2289,24,3,1,2018
2290,16,4,2,2017
2291,1,2,1,2017
2292,22,9,3,2018
2293,25,9,3,2018
2294,17,7,3,2017
2295,12,12,4,2018
2296,23,9,3,2018
2297,13,2,1,2017
2298,7,11,4,2017
2299,1,7,3,2017
2300,5,8,3,2018
2301,8,3,1,2018
2302,5,6,2,2017
2303,9,10,4,2018
2304,21,3,1,2017
2305,24,10,4,2018
2306,20,12,4,2018
2307,18,2,1,2017
2308,12,8,3,2017
2309,18,7,3,2018
2310,24,9,3,2018
2311,17,4,2,2017
2312,27,9,3,2018
2313,24,5,2,2018
2314,2,11,4,2018
2315,13,7,3,2018
2316,23,8,3,2017
2317,28,11,4,2018
2318,4,3,1,2018
2319,28,11,4,2017
2320,9,10,4,2017
2321,26,12,4,2017
2322,23,3,1,2018
2323,1,12,4,2017
2324,11,2,1,2017
2325,14,5,2,2017
2326,22,2,1,2018
2327,18,11,4,2017
2328,1,6,2,2017
2329,23,12,4,2017
2330,7,2,1,2018
2331,26,2,1,2018
2332,6,8,3,2017
2333,7,8,3,2018
2334,15,8,3,2017
2335,22,2,1,2018
2336,23,4,2,2018
2337,22,7,3,2017
2338,1,5,2,2017
2339,3,8,3,2017
2340,2,8,3,2018
2341,7,2,1,2018
2342,17,4,2,2018
2343,20,11,4,2018
2344,19,12,4,2018
2345,4,7,3,2017
2346,11,1,1,2018
2347,8,1,1,2018
2348,28,4,2,2017
2349,7,5,2,2017
2350,4,11,4,2017
2351,13,4,2,2018
2352,26,4,2,2017
2353,18,3,1,2017
2354,23,3,1,2017
2355,28,10,4,2018
2356,28,4,2,2017
2357,26,12,4,2017
2358,24,2,1,2018
2359,7,2,1,2018
2360,22,11,4,2017
2361,23,8,3,2018
2362,14,3,1,2018
2363,21,5,2,2018
2364,20,4,2,2017
2365,6,3,1,2017
2366,19,9,3,2017
2367,1,3,1,2017
2368,12,2,1,2017
2369,1,1,1,2018
2370,8,8,3,2017
2371,23,4,2,2017
2372,4,8,3,2018
2373,19,11,4,2017
2374,24,12,4,2017
2375,22,6,2,2018
2376,28,9,3,2018
2377,17,12,4,2018
2378,27,12,4,2017
2379,6,9,3,2017
2380,6,3,1,2018
2381,18,5,2,2018
2382,8,6,2,2017
2383,24,5,2,2018
2384,16,3,1,2017
2385,15,1,1,2018
2386,9,10,4,2017
2387,21,7,3,2018
2388,20,5,2,2017
2389,5,5,2,2018
2390,13,9,3,2018
2391,25,1,1,2018
2392,4,12,4,2018
2393,10,3,1,2018
2394,23,11,4,2018
2395,9,9,3,2017
2396,2,11,4,2017
2397,7,11,4,2017
2398,19,5,2,2018
2399,6,10,4,2017
2400,15,8,3,2018
2401,17,10,4,2017
2402,7,9,3,2018
2403,15,8,3,2018
2404,16,5,2,2017
2405,1,2,1,2018
2406,3,2,1,2018
2407,8,8,3,2017
2408,16,12,4,2017
2409,9,12,4,2018
2410,17,11,4,2018
2411,11,8,3,2018
2412,10,7,3,2017
2413,28,2,1,2017
2414,10,2,1,2017
2415,22,1,1,2017
2416,16,6,2,2017
2417,19,12,4,2017
2418,3,5,2,2018
2419,24,8,3,2018
2420,23,9,3,2017
2421,12,4,2,2018
2422,4,2,1,2018
2423,28,12,4,2017
2424,25,9,3,2018
2425,21,6,2,2017
2426,23,6,2,2018
2427,11,3,1,2018
2428,2,8,3,2018
2429,14,12,4,2018
2430,6,12,4,2018
2431,11,10,4,2018
2432,25,3,1,2018
2433,22,3,1,2017
2434,10,10,4,2018
2435,19,2,1,2017
2436,13,9,3,2017
2437,19,7,3,2018
2438,9,3,1,2018
2439,1,4,2,2017
2440,13,10,4,2018
2441,12,11,4,2018
2442,24,5,2,2017
2443,24,4,2,2017
2444,7,12,4,2017
2445,20,1,1,2018
2446,16,10,4,2018
2447,9,11,4,2018
2448,22,12,4,2018
2449,6,1,1,2017
2450,26,3,1,2017
2451,28,12,4,2018
2452,21,9,3,2018
2453,7,11,4,2018
2454,21,11,4,2018
2455,20,5,2,2017
2456,22,11,4,2018
2457,28,8,3,2018
2458,7,11,4,2017
2459,2,8,3,2018
2460,19,3,1,2017
2461,1,6,2,2017
2462,22,8,3,2017
2463,19,7,3,2017
2464,16,4,2,2018
2465,2,1,1,2017
2466,5,10,4,2018
2467,1,7,3,2018
2468,4,10,4,2017
2469,23,12,4,2018
2470,16,2,1,2018
2471,15,8,3,2017
2472,5,9,3,2018
2473,12,1,1,2018
2474,11,5,2,2017
2475,26,9,3,2017
2476,26,6,2,2018
2477,20,3,1,2017
2478,27,11,4,2017
2479,16,12,4,2017
2480,9,11,4,2018
2481,12,10,4,2018
2482,23,12,4,2018
2483,8,1,1,2018
2484,17,2,1,2018
2485,9,3,1,2018
2486,5,11,4,2018
2487,26,7,3,2018
2488,4,3,1,2018
2489,26,9,3,2018
2490,5,4,2,2017
2491,28,6,2,2018
2492,9,1,1,2018
2493,17,1,1,2017
2494,13,4,2,2017
2495,10,11,4,2017
2496,9,5,2,2018
2497,14,8,3,2017
2498,19,4,2,2018
2499,23,8,3,2017
2500,28,5,2,2018
2501,6,9,3,2018
2502,11,3,1,2017
2503,8,1,1,2018
2504,16,11,4,2018
2505,16,6,2,2017
2506,26,3,1,2018
2507,4,5,2,2017
2508,9,7,3,2017
2509,7,6,2,2017
2510,3,2,1,2017
2511,25,11,4,2018
2512,18,6,2,2017
2513,14,1,1,2018
2514,12,4,2,2017
2515,12,6,2,2017
2516,3,7,3,2017
2517,12,6,2,2018
2518,24,7,3,2018
2519,17,8,3,2017
2520,14,9,3,2017
2521,2,10,4,2018
2522,18,4,2,2018
2523,20,12,4,2017
2524,18,6,2,2017
2525,14,12,4,2018
2526,18,6,2,2017
2527,26,1,1,2017
2528,21,9,3,2018
2529,2,6,2,2018
2530,10,12,4,2017
2531,17,9,3,2017
2532,2,7,3,2017
2533,21,11,4,2018
2534,28,8,3,2017
2535,16,2,1,2018
2536,25,3,1,2018
2537,26,9,3,2018
2538,1,12,4,2017
2539,28,12,4,2017
2540,24,10,4,2018
2541,14,11,4,2018
2542,16,10,4,2017
2543,26,7,3,2017
2544,7,11,4,2017
2545,9,9,3,2018
2546,3,3,1,2017
2547,11,11,4,2017
2548,18,11,4,2018
2549,7,9,3,2018
2550,1,12,4,2018
2551,24,9,3,2017
2552,1,7,3,2017
2553,3,8,3,2017
2554,6,7,3,2018
2555,13,6,2,2018
2556,1,2,1,2018
2557,28,7,3,2017
2558,5,10,4,2018
2559,3,8,3,2017
2560,21,5,2,2017
2561,18,5,2,2018
2562,10,7,3,2017
2563,17,9,3,2018
2564,18,11,4,2018
2565,12,12,4,2018
2566,7,10,4,2017
2567,12,4,2,2017
2568,19,2,1,2017
2569,6,3,1,2017
2570,12,1,1,2018
2571,27,10,4,2018
2572,1,7,3,2018
2573,19,1,1,2018
2574,1,1,1,2018
2575,6,3,1,2017
2576,12,2,1,2017
2577,10,12,4,2017
2578,9,12,4,2018
2579,13,9,3,2018
2580,5,11,4,2017
2581,13,6,2,2018
2582,27,6,2,2017
2583,13,5,2,2018
2584,6,1,1,2017
2585,9,1,1,2018
2586,23,11,4,2017
2587,16,12,4,2018
2588,20,4,2,2017
2589,8,2,1,2018
2590,3,5,2,2017
2591,20,4,2,2018
2592,8,2,1,2018
2593,3,8,3,2017
2594,14,11,4,2017
2595,11,6,2,2018
2596,19,3,1,2017
2597,26,11,4,2018
2598,25,10,4,2017
2599,6,11,4,2017
2600,20,4,2,2018
2601,7,12,4,2017
2602,1,3,1,2017
2603,9,12,4,2017
2604,2,2,1,2017
2605,18,10,4,2017
2606,22,9,3,2018
2607,2,9,3,2018
2608,3,10,4,2017
2609,13,2,1,2018
2610,9,1,1,2017
2611,24,8,3,2017
2612,20,1,1,2018
2613,21,12,4,2018
2614,20,11,4,2018
2615,4,11,4,2017
2616,5,11,4,2018
2617,15,6,2,2018
2618,7,10,4,2018
2619,27,9,3,2017
2620,27,10,4,2018
2621,2,2,1,2017
2622,1,2,1,2018
2623,21,7,3,2018
2624,28,1,1,2018
2625,26,7,3,2018
2626,11,5,2,2017
2627,21,4,2,2018
2628,15,1,1,2018
2629,13,11,4,2017
2630,7,2,1,2018
2631,8,12,4,2018
2632,25,6,2,2017
2633,28,10,4,2017
2634,3,11,4,2018
2635,20,1,1,2018
2636,8,5,2,2017
2637,5,7,3,2018
2638,19,4,2,2017
2639,16,2,1,2017
2640,2,1,1,2018
2641,13,2,1,2017
2642,28,4,2,2017
2643,24,9,3,2017
2644,4,11,4,2017
2645,24,1,1,2017
2646,6,8,3,2017
2647,16,12,4,2017
2648,23,5,2,2018
2649,9,6,2,2018
2650,8,7,3,2018
2651,7,7,3,2018
2652,13,12,4,2017
2653,26,11,4,2017
2654,15,9,3,2018
2655,6,7,3,2017
2656,27,2,1,2017
2657,16,3,1,2017
2658,28,1,1,2017
2659,5,7,3,2017
2660,26,4,2,2017
2661,11,10,4,2017
2662,1,3,1,2018
2663,2,1,1,2017
2664,2,4,2,2018
2665,21,4,2,2017
2666,4,6,2,2017
2667,6,7,3,2017
2668,5,5,2,2017
2669,24,7,3,2018
2670,25,10,4,2018
2671,15,5,2,2017
2672,14,4,2,2018
2673,22,11,4,2018
2674,22,3,1,2018
2675,20,9,3,2018
2676,11,1,1,2018
2677,26,8,3,2017
2678,15,12,4,2018
2679,8,1,1,2018
2680,13,10,4,2017
2681,17,6,2,2018
2682,9,1,1,2018
2683,18,3,1,2018
2684,9,8,3,2017
2685,9,10,4,2018
2686,23,3,1,2018
2687,1,3,1,2017
2688,12,8,3,2017
2689,14,4,2,2017
2690,15,3,1,2018
2691,8,8,3,2018
2692,25,4,2,2018
2693,15,3,1,2018
2694,20,5,2,2018
2695,2,4,2,2017
2696,13,4,2,2017
2697,14,1,1,2017
2698,26,4,2,2017
2699,18,2,1,2017
2700,21,9,3,2018
2701,21,11,4,2017
2702,23,7,3,2017
2703,16,9,3,2018
2704,26,4,2,2018
2705,10,7,3,2018
2706,23,1,1,2018
2707,10,2,1,2018
2708,25,8,3,2017
2709,6,10,4,2017
2710,7,3,1,2017
2711,28,4,2,2018
2712,14,9,3,2018
2713,19,4,2,2018
2714,9,9,3,2017
2715,13,9,3,2017
2716,27,12,4,2017
2717,2,3,1,2017
2718,14,11,4,2018
2719,28,2,1,2018
2720,20,1,1,2017
2721,18,7,3,2017
2722,26,10,4,2018
2723,18,12,4,2017
2724,5,12,4,2017
2725,12,4,2,2017
2726,19,10,4,2018
2727,28,1,1,2018
2728,16,6,2,2017
2729,19,2,1,2018
2730,6,5,2,2017
2731,24,9,3,2018
2732,10,10,4,2018
2733,12,10,4,2018
2734,3,5,2,2017
2735,11,11,4,2017
2736,14,9,3,2018
2737,19,1,1,2017
2738,16,3,1,2017
2739,27,5,2,2018
2740,6,11,4,2018
2741,11,2,1,2018
2742,10,5,2,2018
2743,18,5,2,2018
2744,16,9,3,2017
2745,2,10,4,2018
2746,21,10,4,2017
2747,8,7,3,2018
2748,2,7,3,2018
2749,6,12,4,2018
2750,6,9,3,2018
2751,12,3,1,2018
2752,15,7,3,2017
2753,8,2,1,2018
2754,8,12,4,2018
2755,3,9,3,2018
2756,21,6,2,2018
2757,23,7,3,2018
2758,18,10,4,2018
2759,6,7,3,2017
2760,24,7,3,2017
2761,2,9,3,2017
2762,20,6,2,2017
2763,25,12,4,2018
2764,24,9,3,2018
2765,26,10,4,2017
2766,26,9,3,2018
2767,21,10,4,2017
2768,14,4,2,2017
2769,7,6,2,2017
2770,27,6,2,2018
2771,9,3,1,2017
2772,17,2,1,2017
2773,13,9,3,2017
2774,21,10,4,2017
2775,15,4,2,2018
2776,28,4,2,2017
2777,3,2,1,2017
2778,5,11,4,2017
2779,19,8,3,2018
2780,28,8,3,2017
2781,6,8,3,2017
2782,28,5,2,2018
2783,27,3,1,2017
2784,24,7,3,2017
2785,15,4,2,2018
2786,14,3,1,2017
2787,23,3,1,2018
2788,5,6,2,2018
2789,22,4,2,2018
2790,20,8,3,2017
2791,12,1,1,2018
2792,16,3,1,2018
2793,1,6,2,2017
2794,12,7,3,2018
2795,25,4,2,2017
2796,3,1,1,2017
2797,23,8,3,2018
2798,28,12,4,2018
2799,10,10,4,2017
2800,25,9,3,2017
2801,15,3,1,2018
2802,25,4,2,2018
2803,26,10,4,2017
2804,22,4,2,2018
2805,4,11,4,2018
2806,6,6,2,2018
2807,22,6,2,2018
2808,4,8,3,2017
2809,16,4,2,2018
2810,13,4,2,2017
2811,28,4,2,2018
2812,15,3,1,2018
2813,16,2,1,2018
2814,14,11,4,2018
2815,6,6,2,2018
2816,16,8,3,2018
2817,20,11,4,2017
2818,9,11,4,2018
2819,2,3,1,2017
2820,18,10,4,2017
2821,4,2,1,2017
2822,11,7,3,2017
2823,10,2,1,2017
2824,7,9,3,2018
2825,2,11,4,2017
2826,21,9,3,2017
2827,17,12,4,2018
2828,15,12,4,2017
2829,27,7,3,2018
2830,25,9,3,2017
2831,15,11,4,2018
2832,26,10,4,2018
2833,28,1,1,2017
2834,16,11,4,2018
2835,26,8,3,2018
2836,3,9,3,2017
2837,7,5,2,2018
2838,19,5,2,2018
2839,25,1,1,2018
2840,21,3,1,2017
2841,17,2,1,2018
2842,20,6,2,2018
2843,3,9,3,2018
2844,16,1,1,2017
2845,20,12,4,2018
2846,7,9,3,2017
2847,13,1,1,2017
2848,9,3,1,2018
2849,11,12,4,2017
2850,3,5,2,2018
2851,14,4,2,2018
2852,7,10,4,2017
2853,7,10,4,2018
2854,10,10,4,2018
2855,13,10,4,2017
2856,9,9,3,2018
2857,3,6,2,2018
2858,9,9,3,2018
2859,26,1,1,2018
2860,14,3,1,2018
2861,12,4,2,2018
2862,13,9,3,2018
2863,11,6,2,2017
2864,20,9,3,2018
2865,16,5,2,2017
2866,9,12,4,2018
2867,10,5,2,2018
2868,12,11,4,2018
2869,7,6,2,2018
2870,20,5,2,2017
2871,5,1,1,2018
2872,12,12,4,2017
2873,7,3,1,2018
2874,7,11,4,2017
2875,23,1,1,2017
2876,12,9,3,2018
2877,4,10,4,2018
2878,16,6,2,2017
2879,12,10,4,2017
2880,2,2,1,2017
2881,28,12,4,2017
2882,12,3,1,2017
2883,11,7,3,2017
2884,14,9,3,2018
2885,3,5,2,2017
2886,7,7,3,2017
2887,10,10,4,2018
2888,16,2,1,2017
2889,16,11,4,2017
2890,5,12,4,2017
2891,4,12,4,2018
2892,21,10,4,2017
2893,28,1,1,2018
2894,16,8,3,2017
2895,25,12,4,2018
2896,28,4,2,2018
2897,19,7,3,2018
2898,3,8,3,2018
2899,16,12,4,2017
2900,10,2,1,2018
2901,7,1,1,2017
2902,5,9,3,2017
2903,4,7,3,2017
2904,24,1,1,2017
2905,14,1,1,2018
2906,27,10,4,2018
2907,24,5,2,2018
2908,27,1,1,2017
2909,25,8,3,2018
2910,23,5,2,2018
2911,28,1,1,2018
2912,17,6,2,2017
2913,20,6,2,2017
2914,24,8,3,2018
2915,22,3,1,2017
2916,10,8,3,2018
2917,23,4,2,2017
2918,1,11,4,2017
2919,24,7,3,2018
2920,9,8,3,2017
2921,11,2,1,2017
2922,17,4,2,2018
2923,2,12,4,2017
2924,27,3,1,2018
2925,11,1,1,2017
2926,16,7,3,2018
2927,21,6,2,2018
2928,14,3,1,2017
2929,14,12,4,2018
2930,28,10,4,2018
2931,20,5,2,2017
2932,18,10,4,2018
2933,23,2,1,2017
2934,17,7,3,2017
2935,1,10,4,2017
2936,2,12,4,2018
2937,22,7,3,2018
2938,6,12,4,2017
2939,1,9,3,2017
2940,6,12,4,2017
2941,26,6,2,2017
2942,26,3,1,2018
2943,15,12,4,2018
2944,3,7,3,2017
2945,8,9,3,2018
2946,6,11,4,2018
2947,8,11,4,2017
2948,19,9,3,2017
2949,2,2,1,2017
2950,2,11,4,2017
2951,24,1,1,2018
2952,11,6,2,2017
2953,15,9,3,2018
2954,20,9,3,2018
2955,9,1,1,2017
2956,6,2,1,2017
2957,16,6,2,2017
2958,3,9,3,2017
2959,2,8,3,2018
2960,9,6,2,2017
2961,23,7,3,2018
2962,20,3,1,2018
2963,13,6,2,2017
2964,5,1,1,2018
2965,21,6,2,2018
2966,6,6,2,2017
2967,10,8,3,2017
2968,7,2,1,2018
2969,22,11,4,2017
2970,22,12,4,2018
2971,23,1,1,2017
2972,24,12,4,2018
2973,19,11,4,2017
2974,19,3,1,2017
2975,17,5,2,2017
2976,26,2,1,2017
2977,3,5,2,2018
2978,26,7,3,2018
2979,11,7,3,2018
2980,19,9,3,2017
2981,18,11,4,2018
2982,8,5,2,2017
2983,25,4,2,2017
2984,25,2,1,2017
2985,6,8,3,2017
2986,12,9,3,2018
2987,27,3,1,2018
2988,23,6,2,2018
2989,18,1,1,2017
2990,26,12,4,2017
2991,9,8,3,2018
2992,28,3,1,2018
2993,10,9,3,2018
2994,9,1,1,2017
2995,12,8,3,2017
2996,4,1,1,2018
2997,6,4,2,2017
2998,28,9,3,2018
2999,7,11,4,2017
3000,28,1,1,2018
3001,2,8,3,2017
3002,25,7,3,2017
3003,13,12,4,2017
3004,2,5,2,2018
3005,15,7,3,2017
3006,4,6,2,2018
3007,26,9,3,2018
3008,1,3,1,2018
3009,18,5,2,2017
3010,10,5,2,2018
3011,16,2,1,2018
3012,21,4,2,2017
3013,25,10,4,2018
3014,4,5,2,2018
3015,15,8,3,2017
3016,14,5,2,2018
3017,11,8,3,2018
3018,15,1,1,2018
3019,24,4,2,2017
3020,20,6,2,2017
3021,28,1,1,2018
3022,11,1,1,2017
3023,16,3,1,2018
3024,25,5,2,2017
3025,3,6,2,2017
3026,19,4,2,2018
3027,19,10,4,2017
3028,28,11,4,2018
3029,1,11,4,2018
3030,5,11,4,2018
3031,7,1,1,2017
3032,27,1,1,2018
3033,24,3,1,2018
3034,9,2,1,2018
3035,21,12,4,2018
3036,13,12,4,2017
3037,1,7,3,2018
3038,7,2,1,2017
3039,19,9,3,2017
3040,2,4,2,2017
3041,26,4,2,2017
3042,17,10,4,2018
3043,1,3,1,2017
3044,5,4,2,2017
3045,16,10,4,2017
3046,25,10,4,2018
3047,1,9,3,2017
3048,27,8,3,2017
3049,7,2,1,2018
3050,2,12,4,2018
3051,7,7,3,2017
3052,23,8,3,2017
3053,25,6,2,2017
3054,28,12,4,2018
3055,28,3,1,2017
3056,28,12,4,2018
3057,19,5,2,2018
3058,28,2,1,2018
3059,9,10,4,2018
3060,12,12,4,2018
3061,16,1,1,2018
3062,16,11,4,2018
3063,24,6,2,2018
3064,10,12,4,2017
3065,1,2,1,2017
3066,12,3,1,2018
3067,6,9,3,2018
3068,26,2,1,2018
3069,3,6,2,2018
3070,20,2,1,2018
3071,12,7,3,2017
3072,11,6,2,2017
3073,17,12,4,2017
3074,18,8,3,2018
3075,13,11,4,2018
3076,9,6,2,2017
3077,22,3,1,2018
3078,14,2,1,2018
3079,15,7,3,2017
3080,19,5,2,2018
3081,20,11,4,2017
3082,9,6,2,2018
3083,24,6,2,2017
3084,7,8,3,2018
3085,25,9,3,2018
3086,16,7,3,2017
3087,15,3,1,2017
3088,6,8,3,2017
3089,1,7,3,2018
3090,4,9,3,2017
3091,2,12,4,2018
3092,27,7,3,2017
3093,21,6,2,2018
3094,2,2,1,2018
3095,19,12,4,2018
3096,22,11,4,2018
3097,3,4,2,2017
3098,1,3,1,2017
3099,5,6,2,2017
3100,21,9,3,2017
3101,2,4,2,2018
3102,14,3,1,2018
3103,13,5,2,2018
3104,22,10,4,2017
3105,23,11,4,2018
3106,23,11,4,2017
3107,15,6,2,2017
3108,13,8,3,2017
3109,7,11,4,2018
3110,23,10,4,2018
3111,20,1,1,2017
3112,6,3,1,2018
3113,24,3,1,2018
3114,19,9,3,2018
3115,6,6,2,2018
3116,7,6,2,2018
3117,9,3,1,2018
3118,24,7,3,2017
3119,10,2,1,2018
3120,6,8,3,2018
3121,2,8,3,2018
3122,11,7,3,2017
3123,22,6,2,2018
3124,11,6,2,2017
3125,12,10,4,2017
3126,6,3,1,2017
3127,28,12,4,2018
3128,18,5,2,2017
3129,14,11,4,2017
3130,12,4,2,2017
3131,7,2,1,2017
3132,2,5,2,2017
3133,8,5,2,2018
3134,5,11,4,2018
3135,12,1,1,2017
3136,1,10,4,2018
3137,8,5,2,2018
3138,16,10,4,2017
3139,16,5,2,2018
3140,3,3,1,2017
3141,12,10,4,2017
3142,20,1,1,2017
3143,2,6,2,2018
3144,8,3,1,2017
3145,8,1,1,2017
3146,13,6,2,2018
3147,14,5,2,2017
3148,18,11,4,2018
3149,12,8,3,2018
3150,14,6,2,2018
3151,22,9,3,2017
3152,12,4,2,2017
3153,14,9,3,2017
3154,28,4,2,2018
3155,8,7,3,2018
3156,3,6,2,2018
3157,18,2,1,2017
3158,23,9,3,2017
3159,14,9,3,2018
3160,2,4,2,2017
3161,22,11,4,2017
3162,13,2,1,2018
3163,5,2,1,2017
