PlayerName,Age,Height_cm,Weight_kg,Country,College,DraftYear,DraftRound,DraftNumber
Denzel Valentine,24,198.12,96.3,USA,Michigan State,2016,2016,2016
Derrick Favors,26,208.28,119.25,USA,Georgia Tech,2010,2010,2010
Derrick Jones,21,200.66,90,USA,Nevada-Las Vegas,null,null,null
Derrick Rose,29,190.5,85.5,USA,Memphis,2008,2008,2008
Derrick Walton,23,185.42,83.25,USA,Michigan,null,null,null
Derrick White,23,193.04,85.5,USA,Colorado,2017,2017,2017
Derrick Williams,27,203.2,108,USA,Arizona,2011,2011,2011
Devin Booker,21,198.12,94.5,USA,Kentucky,2015,2015,2015
Devin Harris,35,190.5,83.25,USA,Wisconsin,2004,2004,2004
Devin Robinson,23,203.2,90,USA,Florida,null,null,null
Dewayne Dedmon,28,213.36,110.25,USA,Southern California,null,null,null
Deyonta Davis,21,210.82,106.65,USA,Michigan State,2016,2016,2016
Dillon Brooks,22,198.12,99,Canada,Oregon,2017,2017,2017
Dion Waiters,26,193.04,96.75,USA,Syracuse,2012,2012,2012
Dirk Nowitzki,40,213.36,110.25,Germany,None,1998,1998,1998
Domantas Sabonis,22,208.28,113.4,Lithuania,Gonzaga,2016,2016,2016
Donovan Mitchell,21,190.5,96.75,USA,Louisville,2017,2017,2017
Dorian Finney-Smith,25,203.2,99,USA,Florida,null,null,null
Doug McDermott,26,203.2,98.55,USA,Creighton,2014,2014,2014
Dragan Bender,20,215.9,101.25,Croatia,None,2016,2016,2016
Draymond Green,28,200.66,103.5,USA,Michigan State,2012,2012,2012
Dwayne Bacon,22,200.66,99.45,USA,Florida State,2017,2017,2017
Dwight Buycks,29,190.5,85.5,USA,Marquette,null,null,null
Dwight Howard,32,210.82,119.25,USA,None,2004,2004,2004
Dwight Powell,26,210.82,108,Canada,Stanford,2014,2014,2014
Dwyane Wade,36,193.04,99,USA,Marquette,2003,2003,2003
Ed Davis,29,208.28,110.25,USA,North Carolina,2010,2010,2010
Edmond Sumner,22,195.58,84.6,USA,Xavier,2017,2017,2017
Ekpe Udoh,31,208.28,110.25,USA,Baylor,2010,2010,2010
Elfrid Payton,24,193.04,83.25,USA,Louisiana-Lafayette,2014,2014,2014
Emeka Okafor,35,208.28,114.75,USA,Connecticut,2004,2004,2004
Enes Kanter,26,210.82,110.25,Turkey,Kentucky,2011,2011,2011
Eric Bledsoe,28,185.42,92.25,USA,Kentucky,2010,2010,2010
Eric Gordon,29,193.04,96.75,USA,Indiana,2008,2008,2008
Eric Moreland,26,208.28,107.1,USA,Oregon State,null,null,null
Erik McCree,24,203.2,101.25,USA,Louisiana Tech,null,null,null
Ersan Ilyasova,31,208.28,105.75,Turkey,None,2005,2005,2005
E'Twaun Moore,29,193.04,85.95,USA,Purdue,2011,2011,2011
Evan Fournier,25,200.66,92.25,France,None,2012,2012,2012
Evan Turner,29,200.66,99,USA,Ohio State,2010,2010,2010
Frank Kaminsky,25,213.36,108.9,USA,Wisconsin,2015,2015,2015
Frank Mason,24,180.34,85.5,USA,Kansas,2017,2017,2017
Frank Ntilikina,19,195.58,85.5,France,None,2017,2017,2017
Fred VanVleet,24,182.88,87.75,USA,Wichita State,null,null,null
Furkan Korkmaz,20,200.66,85.5,Turkey,None,2016,2016,2016
Garrett Temple,32,198.12,87.75,USA,Louisiana State,null,null,null
Gary Harris,23,193.04,94.5,USA,Michigan State,2014,2014,2014
Gary Payton,25,190.5,85.5,USA,Oregon State,null,null,null
George Hill,32,190.5,84.6,USA,Indiana Purdue-Indianapolis,2008,2008,2008
Georges Niang,25,198.12,103.95,USA,Iowa State,2016,2016,2016
Georgios Papagiannis,20,215.9,108,Greece,None,2016,2016,2016
Gerald Green,32,200.66,92.25,USA,None,2005,2005,2005
Gian Clavell,24,193.04,83.25,Puerto Rico,Colorado State,null,null,null
Giannis Antetokounmpo,23,210.82,99.9,Greece,None,2013,2013,2013
Glenn Robinson,24,200.66,96.75,USA,Michigan,2014,2014,2014
Goran Dragic,32,190.5,85.5,Slovenia,None,2008,2008,2008
Gordon Hayward,28,203.2,101.7,USA,Butler,2010,2010,2010
Gorgui Dieng,28,210.82,112.95,Senegal,Louisville,2013,2013,2013
Greg Monroe,28,210.82,119.25,USA,Georgetown,2010,2010,2010
Guerschon Yabusele,22,203.2,117,France,None,2016,2016,2016
Harrison Barnes,26,203.2,101.25,USA,North Carolina,2012,2012,2012
Hassan Whiteside,29,213.36,119.25,USA,Marshall,2010,2010,2010
Henry Ellenson,21,210.82,110.25,USA,Marquette,2016,2016,2016
Ian Clark,27,190.5,78.75,USA,Belmont,null,null,null
Ian Mahinmi,31,210.82,117.9,France,None,2005,2005,2005
Ike Anigbogu,19,208.28,117.9,USA,California-Los Angeles,2017,2017,2017
Iman Shumpert,28,195.58,99,USA,Georgia Tech,2011,2011,2011
Isaiah Canaan,27,182.88,90.45,USA,Murray State,2013,2013,2013
Isaiah Hicks,23,205.74,108.9,USA,North Carolina,null,null,null
Isaiah Taylor,23,190.5,76.5,USA,Texas,null,null,null
Isaiah Thomas,29,175.26,83.25,USA,Washington,2011,2011,2011
Isaiah Whitehead,23,193.04,95.85,USA,Seton Hall,2016,2016,2016
Ish Smith,29,182.88,78.75,USA,Wake Forest,null,null,null
Ivan Rabb,21,208.28,99,USA,California,2017,2017,2017
Ivica Zubac,21,215.9,108,Croatia,None,2016,2016,2016
J.J. Barea,34,182.88,83.25,Puerto Rico,Northeastern,null,null,null
J.J. Redick,34,193.04,90,USA,Duke,2006,2006,2006
J.R. Smith,32,198.12,101.25,USA,None,2004,2004,2004
Jabari Bird,23,198.12,89.1,USA,California,2017,2017,2017
Jabari Parker,23,203.2,112.5,USA,Duke,2014,2014,2014
Jack Cooley,27,208.28,123.3,USA,Notre Dame,null,null,null
Jacob Pullen,28,185.42,90,USA,Kansas State,null,null,null
Jacob Wiley,23,203.2,100.35,USA,Eastern Washington,null,null,null
Jae Crowder,27,198.12,105.75,USA,Marquette,2012,2012,2012
Jahlil Okafor,22,210.82,117,USA,Duke,2015,2015,2015
JaKarr Sampson,25,205.74,93.15,USA,St. John's (NY),null,null,null
Jake Layman,24,205.74,94.5,USA,Maryland,2016,2016,2016
Jakob Poeltl,22,213.36,103.5,Austria,Utah,2016,2016,2016
Jalen Jones,25,200.66,99,USA,Texas A&M,null,null,null
Jamal Crawford,38,195.58,83.25,USA,Michigan,2000,2000,2000
Jamal Murray,21,193.04,93.15,Canada,Kentucky,2016,2016,2016
Jameel Warney,24,203.2,117,USA,Stony Brook,null,null,null
Jameer Nelson,36,182.88,85.5,USA,Saint Joseph's,2004,2004,2004
Jamel Artis,25,200.66,95.85,USA,Pittsburgh,null,null,null
James Ennis,27,200.66,94.5,USA,Long Beach State,2013,2013,2013
James Harden,28,195.58,99,USA,Arizona State,2009,2009,2009
James Johnson,31,203.2,108,USA,Wake Forest,2009,2009,2009
James Michael McAdoo,25,205.74,103.5,USA,North Carolina,null,null,null
James Webb,24,205.74,90.9,USA,Boise State,null,null,null
James Young,22,198.12,96.75,USA,Kentucky,2014,2014,2014
Jamil Wilson,27,200.66,103.05,USA,Marquette,null,null,null
JaMychal Green,28,205.74,102.15,USA,Alabama,null,null,null
Jared Dudley,32,200.66,108,USA,Boston College,2007,2007,2007
Jarell Eddie,26,200.66,98.1,USA,Virginia Tech,null,null,null
Jarell Martin,24,208.28,107.55,USA,Louisiana State,2015,2015,2015
Jarrett Allen,20,210.82,105.3,USA,Texas,2017,2017,2017
Jarrett Jack,34,190.5,90,USA,Georgia Tech,2005,2005,2005
Jason Smith,32,213.36,108,USA,Colorado State,2007,2007,2007
Jason Terry,40,187.96,83.25,USA,Arizona,1999,1999,1999
JaVale McGee,30,213.36,121.5,USA,Nevada,2008,2008,2008
Jawun Evans,21,182.88,85.5,USA,Oklahoma State,2017,2017,2017
Jaylen Brown,21,200.66,101.25,USA,California,2016,2016,2016
Jaylen Morris,22,195.58,83.25,USA,Molloy,null,null,null
Jayson Tatum,20,203.2,92.25,USA,Duke,2017,2017,2017
Jeff Green,31,205.74,105.75,USA,Georgetown,2007,2007,2007
Jeff Teague,30,187.96,85.05,USA,Wake Forest,2009,2009,2009
Jeff Withey,28,213.36,103.5,USA,Kansas,2013,2013,2013
Jerami Grant,24,205.74,99,USA,Syracuse,2014,2014,2014
Jeremy Evans,30,205.74,90,USA,Western Kentucky,2010,2010,2010
Jeremy Lamb,26,195.58,83.25,USA,Connecticut,2012,2012,2012
Jeremy Lin,29,190.5,90,USA,Harvard,null,null,null
Jerian Grant,25,193.04,89.1,USA,Notre Dame,2015,2015,2015
Jerryd Bayless,29,190.5,90,USA,Arizona,2008,2008,2008
Jimmy Butler,28,203.2,106.2,USA,Marquette,2011,2011,2011
Joakim Noah,33,210.82,103.5,USA,Florida,2007,2007,2007
Jodie Meeks,30,193.04,94.5,USA,Kentucky,2009,2009,2009
Joe Harris,26,198.12,98.55,USA,Virginia,2014,2014,2014
Joe Ingles,30,203.2,101.7,Australia,None,null,null,null
Joe Johnson,37,200.66,108,USA,Arkansas,2001,2001,2001
Joe Young,26,187.96,83.25,USA,Oregon,2015,2015,2015
Joel Bolomboy,24,205.74,105.75,Ukraine,Weber State,2016,2016,2016
Joel Embiid,24,213.36,112.5,Cameroon,Kansas,2014,2014,2014
Joffrey Lauvergne,26,210.82,117,France,None,2013,2013,2013
John Collins,20,208.28,105.75,USA,Wake Forest,2017,2017,2017
John Henson,27,210.82,103.05,USA,North Carolina,2012,2012,2012
John Holland,29,195.58,92.25,USA,Boston U.,null,null,null
John Wall,27,193.04,94.5,USA,Kentucky,2010,2010,2010
Johnathan Motley,23,208.28,103.5,USA,Baylor,null,null,null
Johnny O'Bryant,25,205.74,115.65,USA,Louisiana State,2014,2014,2014
Jon Leuer,29,208.28,102.6,USA,Wisconsin,2011,2011,2011
Jonas Jerebko,31,208.28,103.95,Sweden,None,2009,2009,2009
Jonas Valanciunas,26,213.36,114.75,Lithuania,None,2011,2011,2011
Jonathan Gibson,30,187.96,83.25,USA,New Mexico State,null,null,null
Jonathan Isaac,20,208.28,94.5,USA,Florida State,2017,2017,2017
Jonathon Simmons,28,198.12,87.75,USA,Houston,null,null,null
Jordan Bell,23,205.74,100.8,USA,Oregon,2017,2017,2017
Jordan Clarkson,26,195.58,87.3,USA,Missouri,2014,2014,2014
Jordan Crawford,29,195.58,87.75,USA,Xavier,2010,2010,2010
Jordan Mickey,23,203.2,105.75,USA,Louisiana State,2015,2015,2015
Jose Calderon,36,190.5,90,Spain,None,null,null,null
Josh Gray,24,185.42,81,USA,None,null,null,null
Josh Hart,23,195.58,96.75,USA,Villanova,2017,2017,2017
Josh Huestis,26,200.66,103.5,USA,Stanford,2014,2014,2014
Josh Jackson,21,203.2,90,USA,Kansas,2017,2017,2017
Josh Magette,28,185.42,72,USA,Alabama-Huntsville,null,null,null
Josh McRoberts,31,208.28,108,USA,Duke,2007,2007,2007
Josh Richardson,24,198.12,90,USA,Tennessee,2015,2015,2015
Josh Smith,32,205.74,101.25,USA,None,2004,2004,2004
Jrue Holiday,28,193.04,92.25,USA,UCLA,2009,2009,2009
Juan Hernangomez,22,205.74,103.5,Spain,None,2016,2016,2016
Julius Randle,23,205.74,112.5,USA,Kentucky,2014,2014,2014
Julyan Stone,29,198.12,90,USA,Texas-El Paso,null,null,null
Justin Anderson,24,198.12,103.5,USA,Virginia,2015,2015,2015
Justin Holiday,29,198.12,83.25,USA,Washington,null,null,null
Justin Jackson,23,203.2,94.5,USA,North Carolina,2017,2017,2017
Justin Patton,21,213.36,106.2,USA,Creighton,2017,2017,2017
Justise Winslow,22,200.66,101.25,USA,Duke,2015,2015,2015
Jusuf Nurkic,23,213.36,126,Bosnia and Herzegovina,None,2014,2014,2014
Kadeem Allen,25,190.5,90,USA,Arizona,2017,2017,2017
Karl-Anthony Towns,22,213.36,111.6,USA,Kentucky,2015,2015,2015
Kawhi Leonard,27,200.66,103.5,USA,San Diego State,2011,2011,2011
Kay Felder,23,175.26,79.2,USA,None,2016,2016,2016
Kelly Olynyk,27,213.36,110.25,Canada,Gonzaga,2013,2013,2013
Kelly Oubre,22,200.66,92.25,USA,Kansas,2015,2015,2015
Kemba Walker,28,185.42,82.8,USA,Connecticut,2011,2011,2011
Kendrick Perkins,33,208.28,121.5,USA,None,2003,2003,2003
Kenneth Faried,28,203.2,102.6,USA,Morehead State,2011,2011,2011
Kent Bazemore,28,195.58,90.45,USA,Old Dominion,null,null,null
Kentavious Caldwell-Pope,25,195.58,92.25,USA,Georgia,2013,2013,2013
Kevin Durant,29,205.74,108,USA,Texas,2007,2007,2007
Kevin Love,29,208.28,112.95,USA,UCLA,2008,2008,2008
Kevon Looney,22,205.74,99,USA,UCLA,2015,2015,2015
Khem Birch,25,205.74,99,Canada,Nevada-Las Vegas,null,null,null
Khris Middleton,26,203.2,105.3,USA,Texas A&M,2012,2012,2012
Klay Thompson,28,200.66,96.75,USA,Washington State,2011,2011,2011
Kobi Simmons,20,193.04,76.5,USA,Arizona,null,null,null
Kosta Koufos,29,213.36,119.25,USA,Ohio State,2008,2008,2008
Kris Dunn,24,193.04,94.5,USA,Providence,2016,2016,2016
Kristaps Porzingis,22,220.98,108,Latvia,None,2015,2015,2015
Kyle Anderson,24,205.74,103.5,USA,UCLA,2014,2014,2014
Kyle Collinsworth,26,198.12,94.5,USA,Brigham Young,null,null,null
Kyle Korver,37,200.66,95.4,USA,Creighton,2003,2003,2003
Kyle Kuzma,22,205.74,99,USA,Utah,2017,2017,2017
Kyle Lowry,32,182.88,92.25,USA,Villanova,2006,2006,2006
Kyle O'Quinn,28,208.28,112.5,USA,Norfolk State,2012,2012,2012
Kyle Singler,30,203.2,102.6,USA,Duke,2011,2011,2011
Kyrie Irving,26,190.5,86.85,Australia,Duke,2011,2011,2011
LaMarcus Aldridge,32,210.82,117,USA,Texas,2006,2006,2006
Lance Stephenson,27,198.12,103.5,USA,Cincinnati,2010,2010,2010
Lance Thomas,30,203.2,105.75,USA,Duke,null,null,null
Langston Galloway,26,187.96,90,USA,Saint Joseph's,null,null,null
Larry Drew,28,187.96,81,USA,UCLA,null,null,null
Larry Nance,25,205.74,103.5,USA,Wyoming,2015,2015,2015
Lauri Markkanen,21,213.36,103.5,Finland,Arizona,2017,2017,2017
LeBron James,33,203.2,112.5,USA,None,2003,2003,2003
London Perrantes,23,187.96,85.5,USA,Virginia,null,null,null
Lonzo Ball,20,198.12,85.5,USA,California-Los Angeles,2017,2017,2017
Lorenzo Brown,27,195.58,85.05,USA,North Carolina State,2013,2013,2013
Lou Williams,31,185.42,78.75,USA,None,2005,2005,2005
Luc Mbah a Moute,31,203.2,103.5,Cameroon,UCLA,2008,2008,2008
Lucas Nogueira,25,213.36,99,Brazil,None,2013,2013,2013
Luis Montero,25,200.66,90,Dominican Republic,Westchester CC NY,null,null,null
Luke Babbitt,29,205.74,101.25,USA,Nevada,2010,2010,2010
Luke Kennard,22,195.58,90,USA,Duke,2017,2017,2017
Luke Kornet,22,215.9,112.5,USA,Vanderbilt,null,null,null
Luol Deng,33,205.74,99,United Kingdom,Duke,2004,2004,2004
Malachi Richardson,22,198.12,92.25,USA,Syracuse,2016,2016,2016
Malcolm Brogdon,25,195.58,96.75,USA,Virginia,2016,2016,2016
Malcolm Delaney,29,190.5,85.5,USA,Virginia Tech,null,null,null
Malcolm Miller,25,200.66,94.5,USA,Holy Cross,null,null,null
Malik Beasley,21,195.58,88.2,USA,Florida State,2016,2016,2016
Malik Monk,20,190.5,90,USA,Kentucky,2017,2017,2017
Mangok Mathiang,25,208.28,103.5,Australia,Louisville,null,null,null
Manu Ginobili,40,198.12,92.25,Argentina,None,1999,1999,1999
Marc Gasol,33,215.9,114.75,Spain,None,2007,2007,2007
Marcin Gortat,34,210.82,108,Poland,None,2005,2005,2005
Marco Belinelli,32,195.58,94.5,Italy,None,2007,2007,2007
Marcus Georges-Hunt,24,195.58,101.7,USA,Georgia Tech,null,null,null
Marcus Morris,28,205.74,105.75,USA,Kansas,2011,2011,2011
Marcus Paige,24,182.88,73.8,USA,North Carolina,2016,2016,2016
Marcus Smart,24,193.04,99,USA,Oklahoma State,2014,2014,2014
Mario Chalmers,32,187.96,85.5,USA,Kansas,2008,2008,2008
Mario Hezonja,23,203.2,98.1,Croatia,None,2015,2015,2015
Markel Brown,26,190.5,85.5,USA,Oklahoma State,2014,2014,2014
Markelle Fultz,20,193.04,90,USA,Washington,2017,2017,2017
Markieff Morris,28,208.28,110.25,USA,Kansas,2011,2011,2011
Marquese Chriss,20,208.28,108,USA,Washington,2016,2016,2016
Marquis Teague,25,187.96,85.05,USA,Kentucky,2012,2012,2012
Marreese Speights,30,208.28,114.75,USA,Florida,2008,2008,2008
Marshall Plumlee,25,213.36,112.5,USA,Duke,null,null,null
MarShon Brooks,29,195.58,90,USA,Providence,2011,2011,2011
Marvin Williams,32,205.74,106.65,USA,North Carolina,2005,2005,2005
Mason Plumlee,28,210.82,114.75,USA,Duke,2013,2013,2013
Matt Costello,24,208.28,108,USA,Michigan State,null,null,null
Matt Williams,24,195.58,94.5,USA,Central Florida,null,null,null
Matthew Dellavedova,27,193.04,89.1,Australia,Saint Mary's (CA),null,null,null
Maurice Harkless,25,205.74,99,USA,St. John's (NY),2012,2012,2012
Maxi Kleber,26,210.82,99,Germany,None,null,null,null
Meyers Leonard,26,215.9,114.75,USA,Illinois,2012,2012,2012
Michael Beasley,29,205.74,105.75,USA,Kansas State,2008,2008,2008
Michael Carter-Williams,26,198.12,85.5,USA,Syracuse,2013,2013,2013
Michael Kidd-Gilchrist,24,200.66,104.4,USA,Kentucky,2012,2012,2012
Mike Conley,30,185.42,78.75,USA,Ohio State,2007,2007,2007
Mike James,27,185.42,87.75,USA,Lamar,null,null,null
Mike Muscala,26,210.82,108,USA,Bucknell,2013,2013,2013
Mike Scott,29,203.2,106.65,USA,Virginia,2012,2012,2012
Miles Plumlee,29,210.82,112.05,USA,Duke,2012,2012,2012
Milos Teodosic,31,195.58,88.2,Serbia,None,null,null,null
Milton Doyle,24,193.04,81,USA,Loyola (Chicago),null,null,null
Mindaugas Kuzminskas,28,205.74,96.75,Lithuania,None,null,null,null
Mirza Teletovic,32,205.74,108.9,Bosnia and Herzegovina,None,null,null,null
Monte Morris,23,190.5,78.75,USA,Iowa State,2017,2017,2017
Montrezl Harrell,24,203.2,108,USA,Louisville,2015,2015,2015
Myke Henry,25,198.12,94.5,USA,None,null,null,null
Myles Turner,22,210.82,114.75,USA,Texas,2015,2015,2015
Nate Wolters,27,193.04,85.5,USA,South Dakota State,2013,2013,2013
Naz Mitrou-Long,24,193.04,98.1,Canada,Iowa State,null,null,null
Nemanja Bjelica,30,208.28,103.5,Serbia,None,2010,2010,2010
Nene Hilario,35,210.82,112.5,Brazil,None,2002,2002,2002
Nerlens Noel,24,210.82,99,USA,Kentucky,2013,2013,2013
Nick Collison,37,208.28,114.75,USA,Kansas,2003,2003,2003
Nick Young,33,200.66,94.5,USA,Southern California,2007,2007,2007
Nicolas Batum,29,203.2,90,France,None,2008,2008,2008
Nicolas Brussino,25,203.2,87.75,Argentina,None,null,null,null
Nigel Hayes,23,200.66,114.3,USA,Wisconsin,null,null,null
Nik Stauskas,24,198.12,92.25,Canada,Michigan,2014,2014,2014
Nikola Jokic,23,208.28,112.5,Serbia,None,2014,2014,2014
