index,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
67,Canada,CAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,69.061
68,Cayman Islands,CYM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,100.0
69,Central African Republic,CAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,20.1
70,Chad,TCD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,6.695
71,Channel Islands,CHI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,38.7
72,Chile,CHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,67.836
73,China,CHN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.203
74,Colombia,COL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,45.033
75,Comoros,COM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,12.550999999999998
76,Congo, Dem. Rep.,ZAR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.3
77,Congo, Rep.,COG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.601
78,Costa Rica,CRI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.254
79,Cote d'Ivoire,CIV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.679000000000002
80,Croatia,HRV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.154
81,Cuba,CUB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,58.401
82,Curacao,CUW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,74.71
83,Cyprus,CYP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,35.628
84,Czech Republic,CZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,59.548
85,Denmark,DNK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,73.687
86,Djibouti,DJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,50.325
87,Dominica,DMA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,37.846
88,Dominican Republic,DOM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.229
89,Ecuador,ECU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.878
90,Egypt, Arab Rep.,EGY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,37.864
91,El Salvador,SLV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,38.345
92,Equatorial Guinea,GNQ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,25.537
93,Eritrea,ERI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,9.751
94,Estonia,EST,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,57.533
95,Ethiopia,ETH,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,6.433
96,Faeroe Islands,FRO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,21.383000000000003
97,Fiji,FJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,29.681
98,Finland,FIN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,55.29
99,France,FRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,61.88
100,French Polynesia,PYF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,42.281000000000006
101,Gabon,GAB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.398
102,Gambia, The,GMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,12.129
103,Georgia,GEO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,43.069
104,Germany,DEU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,71.384
105,Ghana,GHA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,23.252
106,Greece,GRC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,55.93600000000001
107,Greenland,GRL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,58.534
108,Grenada,GRD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.332
109,Guam,GUM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,50.147
110,Guatemala,GTM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.121
111,Guinea,GIN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.472
112,Guinea-Bissau,GNB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,13.6
113,Guyana,GUY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,29.009
114,Haiti,HTI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,15.593
115,Honduras,HND,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.747
116,Hong Kong SAR, China,HKG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,85.2
117,Hungary,HUN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,55.911
118,Iceland,ISL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,80.3
119,India,IND,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.924
120,Indonesia,IDN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,14.586
121,Iran, Islamic Rep.,IRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.735
122,Iraq,IRQ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,42.899
123,Ireland,IRL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,45.822
124,Isle of Man,IMY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,55.123000000000005
125,Israel,ISR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,76.848
126,Italy,ITA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,59.361
127,Jamaica,JAM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.769
128,Japan,JPN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,63.272
129,Jordan,JOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,50.879
130,Kazakhstan,KAZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,44.198
131,Kenya,KEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,7.362
132,Kiribati,KIR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.29
133,Korea, Dem. Rep.,PRK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,40.195
134,Korea, Rep.,KOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,27.71
135,Kuwait,KWT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,74.893
136,Kyrgyz Republic,KGZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.181
137,Lao PDR,LAO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,7.946000000000001
138,Latvia,LVA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,52.867
139,Lebanon,LBN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,42.343
140,Lesotho,LSO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.512
141,Liberia,LBR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,18.632
142,Libya,LBY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,27.323
143,Liechtenstein,LIE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,20.437
144,Lithuania,LTU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,39.46
145,Luxembourg,LUX,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,69.556
146,Macao SAR, China,MAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,95.289
147,Macedonia, FYR,MKD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.02
148,Madagascar,MDG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.642
149,Malawi,MWI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,4.39
150,Malaysia,MYS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,26.598000000000003
151,Maldives,MDV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,11.173
152,Mali,MLI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,11.066
153,Malta,MLT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,90.129
154,Marshall Islands,MHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,35.584
155,Mauritania,MRT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,6.88
156,Mauritius,MUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.177
157,Mexico,MEX,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,50.753
158,Micronesia, Fed. Sts.,FSM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.312
159,Moldova,MDA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,23.424
160,Monaco,MCO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,100.0
161,Mongolia,MNG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,35.679
162,Montenegro,MNE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,18.788
163,Morocco,MAR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,29.357
164,Mozambique,MOZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,4.769
165,Myanmar,MMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,19.226
166,Namibia,NAM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.909000000000002
167,Nepal,NPL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.48
168,Netherlands,NLD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,59.752
169,New Caledonia,NCL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,37.36
170,New Zealand,NZL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,75.998
171,Nicaragua,NIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,39.581
172,Niger,NER,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,5.792999999999999
173,Nigeria,NGA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,15.41
174,Northern Mariana Islands,MNP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,51.219
175,Norway,NOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,49.92
176,Oman,OMN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.4
177,Pakistan,PAK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.104
178,Palau,PLW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,56.823
179,Panama,PAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,41.249
180,Papua New Guinea,PNG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.725
181,Paraguay,PRY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,35.569
182,Peru,PER,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,46.81100000000001
183,Philippines,PHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.297
184,Poland,POL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,47.892
185,Portugal,PRT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.955
186,Puerto Rico,PRI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,44.547
187,Qatar,QAT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,85.275
188,Romania,ROM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.209
189,Russian Federation,RUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,53.731
190,Rwanda,RWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,2.6
191,Samoa,WSM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,18.926
192,San Marino,SMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,48.9
193,Sao Tome and Principe,STP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.073
194,Saudi Arabia,SAU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.25
195,Senegal,SEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,23.0
196,Seychelles,SYC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,27.673
197,Sierra Leone,SLE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.352
198,Singapore,SGP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,100.0
199,Sint Maarten (Dutch part),SXM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,100.0
200,Slovak Republic,SVK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.464
201,Slovenia,SVN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,28.204
202,Solomon Islands,SLB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,5.768
203,Somalia,SOM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.312
204,South Africa,ZAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,46.619
205,South Sudan,SSD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,8.748
206,Spain,ESP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,56.567
207,Sri Lanka,LKA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.430999999999997
208,St. Kitts and Nevis,KNA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,27.644
209,St. Lucia,LCA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,21.46
210,St. Vincent and the Grenadines,VCT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,25.943
211,Sudan,SDN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.746
212,Suriname,SUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,47.26
213,Swaziland,SWZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.913
214,Sweden,SWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,72.49
215,Switzerland,CHE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,51.019
216,Syrian Arab Republic,SYR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,36.807
217,Tajikistan,TJK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.168
218,Tanzania,TZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,5.246
219,Thailand,THA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,19.672
220,Timor-Leste,TMP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.091
221,Togo,TGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.098
222,Tonga,TON,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.552
223,Trinidad and Tobago,TTO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.349
224,Tunisia,TUN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,37.511
225,Turkey,TUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.515
226,Turkmenistan,TKM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,46.412
227,Turks and Caicos Islands,TCA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,47.679
228,Tuvalu,TUV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,15.895
229,Uganda,UGA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,4.417
230,Ukraine,UKR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,46.792
231,United Arab Emirates,ARE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,73.5
232,United Kingdom,GBR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,78.444
233,United States,USA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,69.99600000000001
234,Uruguay,URY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,80.241
235,Uzbekistan,UZB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.978
236,Vanuatu,VUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.404000000000002
237,Venezuela, RB,VEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,61.613
238,Vietnam,VNM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,14.7
239,Virgin Islands (U.S.),VIR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,56.477
240,Yemen, Rep.,YEM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,9.1
241,Zambia,ZMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,18.145
242,Zimbabwe,ZWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,12.608
243,Arab World,ARB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,32.0290757076957
244,Caribbean small states,CSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,31.8190266061615
245,Central Europe and the Baltics,CEB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,45.206665319194
246,East Asia & Pacific (all income levels),EAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,23.122180800013105
247,East Asia & Pacific (developing only),EAP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,17.390940911178998
248,Euro area,EMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,62.57528533797751
249,Europe & Central Asia (all income levels),ECS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,55.91503920729179
250,Europe & Central Asia (developing only),ECA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,38.7597975326341
251,European Union,EUU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,61.6736073879095
252,Fragile and conflict affected situations,FCS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,18.3899159549082
253,Heavily indebted poor countries (HIPC),HPC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,12.5831425780975
254,High income,HIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,63.2470129357279
255,High income: nonOECD,NOC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,56.97676948275829
256,High income: OECD,OEC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,64.7785824675961
257,Latin America & Caribbean (all income levels),LCN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,50.0734541031726
258,Latin America & Caribbean (developing only),LAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,45.699941901605705
259,Least developed countries: UN classification,LDC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,9.86225911277725
260,Low & middle income,LMY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,21.7495240803848
261,Low income,LIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,11.7795234992824
262,Lower middle income,LMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,20.0426097610464
263,Middle East & North Africa (all income levels),MEA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,35.70806724630621
264,Middle East & North Africa (developing only),MNA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,34.5954743023342
265,Middle income,MIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,22.5529559777173
266,North America,NAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,70.31954523965689
267,OECD members,OED,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,62.9723559181036
268,Other small states,OSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,14.7855272193733
269,Pacific island small states,PSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,22.4738850771638
270,Small states,SST,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,21.483553759063696
271,South Asia,SAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,16.8669810943561
272,Sub-Saharan Africa (all income levels),SSF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,14.947589644669304
273,Sub-Saharan Africa (developing only),SSA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,14.932825955042698
274,Upper middle income,UMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,24.9002669330015
275,World,WLD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,34.0732352726371
276,Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,8.508
277,Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,30.943
278,Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,31.797
279,American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,66.641
280,Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,60.983
281,Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,10.798
282,Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,39.04
283,Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,74.217
284,Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,52.147
285,Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,50.761
286,Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,81.941
287,Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,64.814
288,Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1961,52.364
