index,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
4776,0.0944,['Lil Wayne'],0.669,144080.0,2.4013333333333335,0.7390000000000001,1.0,6BSilq6gFon3vk2x46IxEt,0.0,8.0,0.153,-5.332999999999998,1.0,Carter II,43.0,2005-01-01,0.245,89.59299999999998,0.486,2005.0
40139,0.12,['Wilson Pickett'],0.75,157160.0,2.619333333333333,0.444,0.0,78eSeO2ExsR4sLUHtdBCFm,3.69e-06,4.0,0.118,-8.63,1.0,In the Midnight Hour,50.0,2005-03-15,0.0403,111.919,0.8490000000000001,2005.0
36426,0.0182,['Poison'],0.57,223667.0,3.7277833333333334,0.973,0.0,1NW32mer4GFgDvDZ0idTUt,0.0,1.0,0.203,-2.7710000000000004,1.0,Nothin' But A Good Time - Remastered 2006,51.0,2009-01-01,0.0763,129.07299999999998,0.557,2009.0
30206,0.0614,["Whitey Morgan and the 78's"],0.6729999999999999,317507.0,5.291783333333333,0.6579999999999999,0.0,0FkCbt8AiKnj7HRrS2R2Hi,0.00851,2.0,0.0741,-7.101,1.0,Bad News,53.0,2010-10-12,0.0266,87.52799999999998,0.494,2010.0
12674,0.371,['Michael Jackson'],0.677,295667.0,4.927783333333333,0.741,0.0,4fK6bgzyKt4EIv3R1wrUtl,2.37e-06,10.0,0.103,-2.829,0.0,Whatever Happens,46.0,2001-10-29,0.0743,97.011,0.565,2001.0
37890,0.951,['Sufjan Stevens'],0.696,152480.0,2.541333333333333,0.269,0.0,0oEyXbHhtUBqKdKHewG8Cn,0.0262,5.0,0.11,-16.422,0.0,The Dress Looks Nice on You,50.0,2004-03-16,0.0329,127.798,0.7809999999999999,2004.0
7572,0.303,['Kendrick Lamar'],0.654,723573.0,12.05955,0.753,1.0,0sd6BRTa0O96tfEbFGhJF9,8.08e-05,11.0,0.13,-7.556,0.0,Sing About Me I'm Dying Of Thirst,46.0,2012,0.395,110.722,0.371,2012.0
15407,0.8859999999999999,['Johnny Depp' 'Alan Rickman'],0.292,267547.0,4.4591166666666675,0.198,0.0,4X4ZHPOgp5DLh3tYZD5YYU,0.0101,2.0,0.759,-14.947,0.0,Pretty Women,43.0,2007-12-17,0.0456,81.268,0.307,2007.0
10818,0.466,['A.B. Quintanilla III Y Los Kumbia Kings'],0.7190000000000001,221227.0,3.687116666666667,0.7390000000000001,0.0,0r6XPRVd532GeRg0adC8DH,0.0,9.0,0.272,-4.586,1.0,Desde Que No Estás Aquí,50.0,2003-01-01,0.221,176.209,0.8809999999999999,2003.0
22856,0.247,['DaBaby' 'Roddy Ricch'],0.746,181733.0,3.0288833333333334,0.69,1.0,7ytR5pFWmSjzHJIeQkgog4,0.0,11.0,0.101,-7.956,1.0,ROCKSTAR (feat. Roddy Ricch),99.0,2020-04-17,0.16399999999999998,89.977,0.4970000000000001,2020.0
41481,0.25,['Summer Walker'],0.555,193840.0,3.2306666666666666,0.507,1.0,7vxLj7MREliG5i5vSnqSVr,0.0,11.0,0.28300000000000003,-6.099,0.0,Body,66.0,2019-10-04,0.16699999999999998,137.875,0.339,2019.0
28039,0.26,['Kenny Chesney'],0.586,199587.0,3.32645,0.675,0.0,1EKiQ1InQXuodp4M1idrng,0.0,7.0,0.14400000000000002,-7.819,1.0,The Good Stuff,53.0,2009-05-19,0.0776,143.921,0.473,2009.0
28286,0.00262,['Calvin Harris' 'Ayah Marar'],0.725,247933.0,4.132216666666666,0.8740000000000001,0.0,1KtD0xaLAikgIt5tPbteZQ,0.000412,0.0,0.0958,-3.715,0.0,Thinking About You (feat. Ayah Marar),67.0,2012-10-29,0.0396,127.985,0.748,2012.0
27446,0.0556,['blink-182'],0.55,183787.0,3.0631166666666667,0.913,0.0,1e1krgHCTUGDhhIgsRVHJ0,0.00094,11.0,0.133,-6.501,1.0,Down,49.0,2003-01-01,0.0392,93.987,0.289,2003.0
21441,0.016,['Bubba Sparxxx' 'Ying Yang Twins' 'Mr. Collipark'],0.64,252653.0,4.210883333333333,0.62,1.0,0k6HUzaRHpQ3eEWr1C7Esh,0.0,1.0,0.0831,-5.931,1.0,Ms. New Booty,63.0,2005-01-01,0.416,129.37,0.609,2005.0
30758,0.606,['Kid Cudi' 'Travis Scott'],0.6729999999999999,285520.0,4.758666666666667,0.61,1.0,6WSBZroxQaO3FYEpT2ACFH,0.0177,4.0,0.116,-8.386000000000001,0.0,Baptized In Fire,63.0,2016-12-16,0.191,152.062,0.759,2016.0
1003,0.0809,['TobyMac'],0.507,266547.0,4.44245,0.77,0.0,5QZunYrvUrJs3Mzrjl7fKV,0.0,0.0,0.214,-5.018,1.0,City On Our Knees,48.0,2010-02-05,0.0424,155.945,0.482,2010.0
18851,0.995,['Edvard Grieg' 'Mikhail Pletnev'],0.366,166000.0,2.7666666666666666,0.00713,0.0,1Wy5fW4R9zU0wQcC7ufHxi,0.963,2.0,0.0705,-30.181,1.0,Lyric Pieces Book II Op.38: 1. Berceuse,39.0,2000-01-01,0.0526,67.461,0.036000000000000004,2000.0
40548,0.304,['Sweet Trip'],0.336,265280.0,4.421333333333333,0.397,0.0,62ocXa3rr5qUWI3GAhWnaH,0.0811,9.0,0.182,-8.913,1.0,Milk,48.0,2009-09-28,0.0292,149.001,0.259,2009.0
38359,0.0209,['Imran Khan'],0.727,232907.0,3.8817833333333334,0.7140000000000001,0.0,0l1i3nJ4aDMk0inxnvzYTz,0.0,2.0,0.153,-4.494,1.0,Amplifier,61.0,2009-07-27,0.0872,164.003,0.618,2009.0
36579,0.0368,['Selena Gomez'],0.7240000000000001,180827.0,3.0137833333333335,0.782,0.0,1oLcpJA9TfwwejiEM9C5gi,0.0,2.0,0.196,-7.407,0.0,Shake It Up - From "Shake It Up",50.0,2011-01-01,0.0334,128.01,0.797,2011.0
26939,0.139,['Post Malone'],0.569,246987.0,4.1164499999999995,0.777,1.0,09IOPhEh1OMe0HD9b36FJk,0.0,4.0,0.132,-4.041,0.0,Over Now,73.0,2018-04-27,0.0834,164.02700000000004,0.181,2018.0
40866,0.000371,['The Lacs'],0.5920000000000001,235533.0,3.92555,0.746,0.0,4UhXvpnh9q1ILBFAlHLB9r,0.0,2.0,0.284,-4.975,1.0,Keep It Redneck,51.0,2013-08-20,0.0548,165.97299999999996,0.49,2013.0
35762,0.000109,['The Rasmus'],0.6,257920.0,4.298666666666667,0.7959999999999999,0.0,1fr92Vupmcs2vgLMFVQ7rd,5.2e-05,2.0,0.484,-4.481,1.0,In the Shadows,68.0,2003-03-24,0.0275,105.991,0.75,2003.0
24233,0.0382,['Taylor Swift'],0.602,327893.0,5.464883333333333,0.609,0.0,1q3RiD1tIWUpGsNFADMlvl,0.0002,0.0,0.127,-7.803,1.0,All Too Well,61.0,2012-10-22,0.0243,93.06,0.337,2012.0
1063,0.18600000000000005,['Taylor Swift'],0.552,302253.0,5.0375499999999995,0.608,0.0,3kfgJql90tzgoxByioAMXR,0.0,1.0,0.125,-5.29,0.0,Innocent,47.0,2010-10-25,0.0259,134.05,0.17,2010.0
26776,0.00583,['Keala Settle' 'The Greatest Showman Ensemble'],0.284,234707.0,3.911783333333333,0.7040000000000001,0.0,45aBsnKRWUzhwbcqOJLwfe,0.000115,2.0,0.0424,-7.276,1.0,This Is Me,76.0,2017-12-08,0.18600000000000005,191.702,0.1,2017.0
23571,0.134,['Dixie Chicks'],0.425,237297.0,3.9549499999999997,0.5539999999999999,0.0,6LCEyZZHFF4ebF1Mike1s5,8.56e-05,6.0,0.0963,-4.145,1.0,Not Ready to Make Nice,64.0,2006-04-07,0.0298,83.917,0.28800000000000003,2006.0
10613,0.0058,['Gorillaz' 'Ed Case'],0.81,269867.0,4.4977833333333335,0.6709999999999999,0.0,4YGOaSgYTpAkXT6NGQWGoN,0.00131,11.0,0.0692,-4.959,1.0,Clint Eastwood,38.0,2001,0.0503,130.001,0.909,2001.0
30619,0.607,['Bas' 'J. Cole'],0.8140000000000001,216907.0,3.6151166666666668,0.619,1.0,2pUrFLAbWbUqZnnSgJ2u5I,0.0,11.0,0.0829,-7.82,0.0,My Nigga Just Made Bail,56.0,2014-04-29,0.218,124.073,0.625,2014.0
6883,0.000697,['Opeth'],0.292,629480.0,10.491333333333333,0.818,0.0,0ppdt8zRZOHIKh4ZDB0Zp9,0.00192,9.0,0.0544,-6.227,0.0,Ghost of Perdition,50.0,2005-08-30,0.0413,93.924,0.19,2005.0
15120,0.0413,['Molotov'],0.773,248693.0,4.1448833333333335,0.863,1.0,6JyiKXAFeheQ8NEk94GxA0,3.1e-06,1.0,0.0742,-5.84,0.0,Marciano (I Turned Into A Martian),54.0,2004-01-01,0.0491,109.008,0.29600000000000004,2004.0
26811,0.007859999999999999,['League of Legends' 'Against The Current'],0.498,235000.0,3.9166666666666665,0.598,0.0,1FpVJ7HpZInE2GvhVE2TwT,0.0,4.0,0.111,-6.638,0.0,Legends Never Die,78.0,2017-09-15,0.0377,140.078,0.0573,2017.0
31698,0.0122,['Britney Spears'],0.7509999999999999,213893.0,3.5648833333333334,0.937,0.0,2TxLSV0AqZTYQQL9QCX0D4,0.0,10.0,0.0639,-4.436,0.0,My Prerogative,46.0,2004,0.108,111.029,0.662,2004.0
7454,0.127,['JAY-Z' 'Kanye West'],0.7879999999999999,219333.0,3.65555,0.8590000000000001,1.0,7fQmDkqrrj13kxv4Vle3AM,0.0,1.0,0.348,-5.5420000000000025,1.0,Ni**as In Paris,45.0,2011-08-08,0.315,140.02700000000002,0.769,2011.0
24300,0.103,['Justin Timberlake' 'JAY-Z'],0.795,326280.0,5.438,0.596,1.0,6vt0I1cw1YmAIKDJvHVIM5,0.0,11.0,0.16399999999999998,-3.799,0.0,Suit & Tie (feat. Jay-Z),66.0,2013-03-15,0.219,101.985,0.35700000000000004,2013.0
31701,0.954,['Andrew Lloyd Webber' 'Gerard Butler' 'Jennifer Ellison' 'Emmy Rossum'],0.29600000000000004,163667.0,2.7277833333333334,0.0401,0.0,5o0xOQhYxr3KqYn4cRE6Ed,0.0,10.0,0.134,-24.38300000000001,1.0,Angel Of Music,52.0,2004-12-10,0.0431,101.583,0.28800000000000003,2004.0
6681,0.078,['Brownside'],0.64,319907.0,5.331783333333333,0.6970000000000001,1.0,4BvUVVOc6iZHpKljZor96F,0.0,6.0,0.297,-9.785,0.0,Eastside Drama,39.0,2003,0.35200000000000004,177.61,0.723,2003.0
9226,0.7809999999999999,['The Grouch'],0.515,195493.0,3.2582166666666668,0.6990000000000001,1.0,4hc5yIdhhXdQlh2RHI8hMC,0.0,1.0,0.185,-5.839,1.0,Breath,42.0,2008-04-08,0.527,87.96,0.75,2008.0
30425,0.0409,['Future'],0.596,248360.0,4.139333333333334,0.574,1.0,4U8hMes3PqpsLJBeMXD71p,0.0,6.0,0.147,-9.373,0.0,Turn On The Lights,55.0,2012-11-27,0.212,131.075,0.439,2012.0
12265,0.00613,['PRETTYMUCH'],0.645,179689.0,2.9948166666666665,0.753,0.0,4vlL7HTI5eVGBYOb1w7Goi,0.0,5.0,0.0685,-4.9289999999999985,0.0,Would You Mind,61.0,2017-07-21,0.122,115.792,0.498,2017.0
19197,0.0442,['Usher'],0.831,165667.0,2.7611166666666667,0.586,0.0,5ivOsplYSO0erChGQcnANS,0.0,1.0,0.0495,-6.362,1.0,Take Your Hand,41.0,2004-03-23,0.217,95.775,0.933,2004.0
19816,0.932,['Alexandre Desplat'],0.294,182200.0,3.0366666666666666,0.204,0.0,3yHrZ0f21yKyzG0ox65nB0,0.954,0.0,0.104,-19.13,1.0,Obliviate,41.0,2010-11-23,0.0505,149.74,0.0368,2010.0
28095,0.57,['SOJA' 'Rebelution'],0.7959999999999999,288863.0,4.814383333333334,0.401,0.0,2yVhdgjCt0T2keTR1YlKEp,0.0,2.0,0.0983,-9.696,1.0,Here I Am,61.0,2010-05-05,0.0459,147.81,0.818,2010.0
32613,0.28800000000000003,['bo en'],0.6459999999999999,152250.0,2.5375,0.6709999999999999,0.0,2pxftVTI1ACfpvcryvebxd,0.0024,2.0,0.118,-8.499,0.0,Every Day,58.0,2013-09-06,0.0497,91.507,0.586,2013.0
27663,0.0125,['Christina Aguilera'],0.6859999999999999,194213.0,3.236883333333333,0.789,0.0,5lUTzPuiloBHm1qEaJcJfF,0.0147,8.0,0.142,-4.713,0.0,Candyman,65.0,2006-08-14,0.23,172.976,0.72,2006.0
23056,0.0231,['Ice Cube'],0.743,232787.0,3.8797833333333336,0.6509999999999999,1.0,67ncYmW29pNJJY2yXuLPwT,0.00388,10.0,0.0851,-6.269,0.0,You Know How We Do It,65.0,2001-12-04,0.0343,92.876,0.5429999999999999,2001.0
10675,0.000426,['The Supermen Lovers' 'Mani Hoffman'],0.7390000000000001,234400.0,3.9066666666666667,0.679,0.0,4UfupbARPxljVkBmuZlJnY,0.0187,0.0,0.389,-5.079,1.0,Starlight (Radio Edit),62.0,2001-01-01,0.0374,127.489,0.7879999999999999,2001.0
39535,0.00618,['Young Dolph'],0.823,170109.0,2.83515,0.51,1.0,4XVoOlgRCYC8yssdOBmLPF,0.0,1.0,0.103,-7.153,1.0,Sunshine,65.0,2020-04-24,0.126,143.97,0.267,2020.0
12097,0.987,['Aisha Badru'],0.484,152960.0,2.5493333333333337,0.149,0.0,6sFLeTTehG9M2nmZ3jKJ1p,0.00811,0.0,0.111,-14.991,1.0,Waiting Around - Acoustic,58.0,2015-03-10,0.0372,144.589,0.123,2015.0
21598,0.134,['Chris Brown'],0.662,252120.0,4.202,0.693,0.0,5Lgcn7u07bHuqbOtXkN62u,0.0,3.0,0.145,-4.298,1.0,With You,72.0,2007-11-06,0.0698,86.009,0.655,2007.0
38174,0.00152,['Fall Out Boy'],0.378,195093.0,3.25155,0.961,0.0,6t87wHYpHlTwOctOS6GKXa,4.87e-06,2.0,0.189,-3.069,1.0,G.I.N.A.S.F.S.,50.0,2007-01-01,0.0892,178.06400000000005,0.727,2007.0
16737,0.642,['OutKast'],0.52,69720.0,1.162,0.28,1.0,7LkwNlnMYYGOCqW1igUgqR,3.79e-05,6.0,0.188,-15.879,1.0,Intro,37.0,2000-10-31,0.268,85.43700000000003,0.649,2000.0
19364,0.00439,['Volován'],0.5820000000000001,237760.0,3.9626666666666663,0.962,0.0,7on4qNO1Iu5EX61mD80Cgv,4.28e-05,10.0,0.313,-2.906,1.0,Monitor,60.0,2006-01-01,0.0392,126.003,0.379,2006.0
14685,0.185,['Matchbox Twenty'],0.438,273907.0,4.5651166666666665,0.56,0.0,4irfl7MbuIPJB0OU8mPs88,0.0,6.0,0.2,-7.309,0.0,Leave,37.0,2000-05-23,0.0336,81.22,0.4920000000000001,2000.0
22725,0.08800000000000001,['6ix9ine' 'Nicki Minaj' 'Murda Beatz'],0.931,179405.0,2.990083333333333,0.387,1.0,2l8nEO0vsTRCRnGqQty6qx,0.0,1.0,0.136,-9.127,1.0,FEFE,81.0,2018-11-27,0.412,125.978,0.376,2018.0
31629,0.664,['Hunter Foster'],0.366,217747.0,3.629116666666667,0.404,0.0,41J1DXb77mOmXT0iUyq41I,0.0,9.0,0.0733,-7.947,1.0,Suddenly Seymour,50.0,2003-10-21,0.041,99.009,0.341,2003.0
16816,0.972,['Howard Shore'],0.091,206027.0,3.433783333333333,0.0619,0.0,3wlNmUeoHnM1jcOcXxC6qI,0.912,0.0,0.105,-23.247,1.0,Rivendell,43.0,2001,0.0439,86.93,0.0364,2001.0
6324,0.236,['Phil Vassar'],0.552,208880.0,3.481333333333333,0.831,0.0,1lhPhB8fdto7hvqCWljRm1,0.0,10.0,0.0907,-4.819,1.0,That's When I Love You,38.0,2000-02-21,0.0402,111.061,0.604,2000.0
4933,0.122,['Feist'],0.728,228360.0,3.806,0.51,0.0,5FFQbvn7055P1DvgJDdCBP,0.0319,4.0,0.127,-8.388,0.0,My Moon My Man,42.0,2007-01-01,0.0656,124.36,0.482,2007.0
8260,0.309,['Quando Rondo'],0.612,178013.0,2.9668833333333335,0.708,1.0,31sPCnzgurJnFNcvcgWNjq,0.0,2.0,0.0851,-4.592,0.0,Imperfect Flower,61.0,2019-05-10,0.469,151.194,0.321,2019.0
19167,0.664,['The Rolling Stones'],0.447,251427.0,4.19045,0.782,0.0,5dF7oCXvh7dFNt345OOClw,0.00958,10.0,0.3720000000000001,-7.744,1.0,She's A Rainbow - (Original Single Mono Version),42.0,2004-07-12,0.0355,108.948,0.488,2004.0
21181,0.000563,['The Strokes'],0.486,219754.0,3.6625666666666663,0.6659999999999999,0.0,57Xjny5yNzAcsxnusKmAfA,0.789,9.0,0.101,-5.084,1.0,Reptilia,73.0,2003-10-28,0.033,157.99200000000005,0.741,2003.0
14206,0.36,['Banda MS de Sergio Lizárraga'],0.7340000000000001,147733.0,2.462216666666667,0.442,0.0,4SfAYd9hmXBG1IrtoCbvhp,0.0,2.0,0.0481,-5.614,0.0,Por Que Al Conocerte,58.0,2016-02-05,0.0504,145.095,0.964,2016.0
14846,0.155,['El Halcon De La Sierra'],0.843,198160.0,3.3026666666666666,0.607,0.0,7dQ0qT6Lb3bmYe7RFeznGm,2.53e-06,5.0,0.084,-6.6560000000000015,0.0,Aquel Amor,39.0,2001-01-01,0.058,114.243,0.8640000000000001,2001.0
15313,0.0302,['Evans Blue'],0.305,227227.0,3.787116666666667,0.962,0.0,527wk6N2gIvnfNjpeKfkfb,0.0,6.0,0.281,-5.2,1.0,Beg,40.0,2006-01-01,0.363,192.068,0.375,2006.0
8666,0.202,['Nirvana'],0.685,149720.0,2.4953333333333334,0.505,0.0,696yLrZ15KT1oMjXW6zGb4,0.256,6.0,0.326,-9.002,1.0,Dumb,45.0,2002-10-29,0.0272,113.789,0.885,2002.0
5080,0.00034700000000000003,['Shinedown'],0.449,226640.0,3.777333333333333,0.956,0.0,5FuBPXQZyBXvlnra6Bv3SR,0.0,9.0,0.325,-4.011,0.0,If You Only Knew,44.0,2008-06-24,0.0398,97.011,0.321,2008.0
15364,0.94,['Benjamin Britten' 'Royal Philharmonic Orchestra' 'Robin Stapleton'],0.218,1050893.0,17.514883333333334,0.117,0.0,0w4LgJ5G1Xz5jLS3HX8oyq,0.861,0.0,0.15,-18.585,1.0,Young Person's Guide To The Orchestra,47.0,2007-08-03,0.0489,77.009,0.0599,2007.0
3211,0.00615,['Dizzee Rascal' 'Armand Van Helden'],0.624,177573.0,2.95955,0.977,0.0,6ddQ5KCkvCggk3j6KdA0zL,0.0,11.0,0.253,-3.34,0.0,Bonkers,65.0,2011-01-01,0.22,126.129,0.74,2011.0
11319,0.0883,['Girl Talk'],0.845,192184.0,3.2030666666666665,0.764,1.0,5WuLqgolua3xAHxOfBdxsA,2.8000000000000013e-05,1.0,0.309,-7.247000000000001,1.0,No Pause,43.0,2008-09-23,0.156,105.008,0.596,2008.0
41553,0.00131,['I Prevail'],0.503,206147.0,3.435783333333333,0.568,1.0,4bE3cBcwAe7T5SklvbkiYZ,0.00144,4.0,0.0856,-7.182,0.0,Breaking Down,65.0,2019-03-29,0.0341,126.935,0.0705,2019.0
38691,0.053,['Sidewalk Prophets'],0.479,237199.0,3.953316666666667,0.893,0.0,6QbbxQtijqLfUV90Vlm1Xh,0.0,3.0,0.0791,-4.134,1.0,Live Like That,51.0,2012-03-26,0.0476,124.062,0.398,2012.0
15027,0.000607,['Funeral For A Friend'],0.478,217693.0,3.628216666666667,0.7879999999999999,0.0,6GZRgyUAO1QbqEmMxH1WsH,0.0,4.0,0.194,-4.053,1.0,Juneau,36.0,2003,0.0325,103.218,0.29100000000000004,2003.0
13086,0.303,['John Legend' 'Miri Ben-Ari'],0.68,275067.0,4.58445,0.632,0.0,4v7GPlf49Mki23eSh3XXwd,3.84e-05,10.0,0.304,-5.971,0.0,Live It Up (feat. Miri Ben-Ari),45.0,2005-12-06,0.0398,77.993,0.637,2005.0
12740,0.0151,['Rivermaya'],0.5589999999999999,418613.0,6.976883333333333,0.86,0.0,0OUkcGdLQ7wbmfB7M5po7L,0.000402,9.0,0.307,-5.369,1.0,Umaaraw Umuulan,56.0,2001-10-25,0.0336,134.536,0.614,2001.0
17539,0.00579,['Ricky Martin' 'Christina Aguilera'],0.635,252707.0,4.211783333333333,0.8540000000000001,0.0,45cVyfWuMAg8RNxmkcpmy9,0.0083,10.0,0.0623,-5.02,0.0,Nobody Wants to Be Lonely (with Christina Aguilera),52.0,2008,0.0612,100.851,0.59,2008.0
18166,0.0349,['Big Sean' 'E-40'],0.823,284387.0,4.7397833333333335,0.733,1.0,4qo0aBXSAj5WaXzpKzcXWj,0.0,1.0,0.324,-5.474,1.0,I Don't Fuck With You,57.0,2015-02-24,0.0628,97.972,0.397,2015.0
23404,0.00981,['Kanye West'],0.7040000000000001,322800.0,5.38,0.792,1.0,1Vp4St7JcXaUoJcIahtf3L,0.0,2.0,0.365,-4.831,1.0,The New Workout Plan,60.0,2004-02-10,0.198,118.022,0.6459999999999999,2004.0
40295,0.946,['Stanley Turrentine'],0.505,295200.0,4.92,0.159,0.0,7ysmJhXFQtiBQlk6EZ6sks,0.0127,7.0,0.212,-11.235,0.0,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,53.0,2007-01-01,0.0336,59.385,0.196,2007.0
7020,0.0531,["Girls' Generation"],0.6990000000000001,267320.0,4.455333333333333,0.908,0.0,24Gy6lVtCd8nOL2vzZiFyV,0.0,7.0,0.116,-2.108,1.0,Into the New World,54.0,2007-08-02,0.0334,108.023,0.6,2007.0
7315,0.05,['Raheem DeVaughn'],0.706,254119.0,4.235316666666667,0.8059999999999999,0.0,5GIp3XwoMW9bbdUvGB2ydO,0.0,2.0,0.0663,-5.881,1.0,I Don't Care,47.0,2010-02-26,0.0653,106.016,0.395,2010.0
32662,0.0647,['Taylor Swift'],0.647,219200.0,3.6533333333333333,0.8,0.0,3fthfkkvy9av3q3uAGVf7U,0.0,7.0,0.334,-5.384,1.0,Shake It Off,57.0,2014-10-27,0.165,160.078,0.942,2014.0
625,0.993,['Ashana'],0.141,536187.0,8.93645,0.007259999999999998,0.0,3JQaDnn7sdtInlniHQAIWV,0.581,4.0,0.101,-16.518,0.0,The Embrace,52.0,2006-01-01,0.0471,70.586,0.0368,2006.0
19694,0.189,['Hopsin'],0.853,251307.0,4.18845,0.54,1.0,4PLld5k4rnlDya1Sw0fhG9,0.0,6.0,0.18,-6.1160000000000005,0.0,Pans in the Kitchen,42.0,2009-10-27,0.195,95.475,0.481,2009.0
16477,0.667,['Jessie Reyez' 'Daniel Caesar'],0.506,192827.0,3.213783333333333,0.412,1.0,0qynxleiY0wavOijAW9trC,0.0,7.0,0.0983,-5.64,1.0,Figures a Reprise,62.0,2018-03-26,0.13699999999999998,173.115,0.195,2018.0
37966,0.0016300000000000002,['Jeezy'],0.384,254133.0,4.23555,0.8370000000000001,1.0,1sFv3iuZdBeY1jzclqWawE,0.0,5.0,0.0715,-8.009,0.0,Standing Ovation,45.0,2005,0.306,144.023,0.165,2005.0
38478,0.0958,['Kenny Chesney'],0.721,159587.0,2.659783333333333,0.72,0.0,22ejspKqayOvA7eCzUjFlk,2.79e-06,8.0,0.0984,-6.544,1.0,Coastal,48.0,2010-09-28,0.0282,111.957,0.726,2010.0
6803,0.865,['Parokya Ni Edgar'],0.768,242827.0,4.047116666666667,0.312,0.0,1ycpU8beNm9bXKvy7s25Jl,1.09e-05,7.0,0.0963,-8.267999999999999,1.0,Gitara,59.0,2005,0.034,113.469,0.633,2005.0
31598,0.0625,['The Strokes'],0.308,186038.0,3.1006333333333336,0.971,0.0,6lnnaGN20kl0jEYJSxCgU9,0.938,4.0,0.0806,-3.23,1.0,You Talk Way Too Much,51.0,2003-10-28,0.0344,128.204,0.659,2003.0
529,0.7020000000000001,['MYMP'],0.726,253013.0,4.2168833333333335,0.542,0.0,6C2nrsOlb3jOUGcJAmPrTA,0.0,7.0,0.0962,-7.952000000000001,1.0,Tell Me Where It Hurts,60.0,2005-03-10,0.042,89.583,0.396,2005.0
27618,0.0217,['Z-Ro'],0.758,265213.0,4.420216666666667,0.843,1.0,338VhnERUjSnXmIFGuxonu,2.44e-05,6.0,0.412,-3.564,1.0,Mo City Don,51.0,2005,0.266,98.037,0.378,2005.0
36018,0.4920000000000001,['Hale'],0.5579999999999999,291358.0,4.855966666666666,0.5529999999999999,0.0,0HZ3OUVrGHxttD2EuHqRm3,0.0,4.0,0.116,-6.669,1.0,The Day You Said Goodnight,65.0,2005,0.0323,134.263,0.251,2005.0
26734,9.97e-05,['I Prevail'],0.505,229773.0,3.82955,0.964,0.0,6WaYiQUPel70HUaCZj5eND,2.85e-06,7.0,0.113,-3.673,1.0,Scars,67.0,2016-10-21,0.0718,138.02100000000002,0.5710000000000001,2016.0
15,0.000442,['Agent Orange'],0.506,126990.0,2.1165,0.941,0.0,7LQyIbPLk22Qem2rNmitCL,7.08e-06,10.0,0.0819,-6.812,0.0,Bloodstains,43.0,2000,0.16399999999999998,105.195,0.403,2000.0
