Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
SpiceJet,24/03/2019,Banglore,nan,BLR → DEL,05:45,08:35,non-stop,No check-in baggage included,3527.0,2.833333333333333h
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,3943.0,2.833333333333333h
Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,4667.0,2.25h
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,1 stop,No info,6117.0,16.083333333333332h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,2 stops,In-flight meal not included,11150.0,19.916666666666668h
Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,In-flight meal not included,7202.0,3.25h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,1 stop,No info,12121.0,25.33333333333333h
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,non-stop,No info,4377.0,2.833333333333333h
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,non-stop,No info,3943.0,3.0h
Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,non-stop,No info,4483.0,2.833333333333333h
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,1 stop,No info,14231.0,16.25h
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,2 stops,No info,17345.0,15.083333333333334h
Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,non-stop,No info,7414.0,2.25h
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,1 stop,No info,8073.0,6.5h
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,1 stop,No info,12395.0,25.08333333333333h
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,nan,21:50,1 stop,nan,8366.0,12.416666666666666h
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,1 stop,No info,5117.0,27.33333333333333h
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,1 stop,No info,nan,10.25h
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,1 stop,No info,7191.0,10.5h
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,non-stop,No info,3687.0,2.25h
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,1 stop,No info,5894.0,10.416666666666666h
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,non-stop,No info,5403.0,2.833333333333333h
Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,non-stop,No info,3625.0,1.5h
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,2 stops,No info,10861.0,13.333333333333334h
IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,nan,No info,6297.0,2.25h
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,non-stop,No info,5678.0,1.4166666666666667h
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,1 stop,In-flight meal not included,9134.0,26.5h
Multiple carriers,24/06/2019,Delhi,Cochin,nan,11:40,19:00,1 stop,In-flight meal not included,10791.0,7.333333333333333h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,2 stops,No info,12819.0,13.5h
nan,21/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,1 stop,No info,6893.0,5.0h
Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,non-stop,No info,7240.0,2.75h
nan,3/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,non-stop,No info,3898.0,2.833333333333333h
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,non-stop,No info,4049.0,1.5h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,1 stop,In-flight meal not included,nan,19.08333333333333h
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,non-stop,No check-in baggage included,3332.0,2.25h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,1 stop,nan,10844.0,14.833333333333334h
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,non-stop,No info,7229.0,2.6666666666666665h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,1 stop,No info,13941.0,22.166666666666668h
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,1 stop,No info,5894.0,9.583333333333334h
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,1 stop,No info,10197.0,10.0h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,1 stop,In-flight meal not included,13712.0,21.33333333333333h
IndiGo,nan,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,1 stop,No info,5636.0,5.416666666666667h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,2 stops,No info,13014.0,18.75h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,1 stop,In-flight meal not included,7064.0,nanh
Jet Airways,24/05/2019,Kolkata,nan,CCU → DEL → BLR,20:25,14:25 25 May,1 stop,In-flight meal not included,10703.0,18.0h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,1 stop,No info,9646.0,9.25h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,1 stop,No info,nan,11.083333333333334h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,1 stop,No info,13817.0,17.5h
Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,2 stops,No info,13748.0,13.333333333333334h
Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,non-stop,No info,4880.0,2.583333333333333h
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,non-stop,No info,3540.0,2.4166666666666665h
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,non-stop,No check-in baggage included,3257.0,2.6666666666666665h
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,non-stop,In-flight meal not included,6478.0,3.0h
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,non-stop,No info,8040.0,1.4166666666666667h
Jet Airways,12/06/2019,Delhi,Cochin,nan,20:00,nan,2 stops,No info,14300.0,16.583333333333332h
Jet Airways,15/05/2019,Kolkata,nan,CCU → BOM → BLR,08:25,20:45,1 stop,nan,nan,12.333333333333334h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,1 stop,No info,nan,12.25h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,1 stop,In-flight meal not included,10262.0,7.5h
Air India,12/05/2019,nan,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,1 stop,No info,6528.0,24.0h
Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,non-stop,No info,6121.0,2.75h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,2 stops,In-flight meal not included,13029.0,8.916666666666666h
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,1 stop,No info,11421.0,7.166666666666667h
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,1 stop,No info,7574.0,14.5h
Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,2 stops,No info,11596.0,30.33333333333333h
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,2 stops,No info,15129.0,19.916666666666668h
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,1 stop,No info,13555.0,15.0h
nan,12/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,non-stop,No info,5780.0,2.9166666666666665h
Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,1 stop,No info,9397.0,12.75h
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,1 stop,No info,17024.0,10.166666666666666h
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,1 stop,No info,5281.0,nanh
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,1 stop,No info,10348.0,15.416666666666666h
Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,1 stop,No info,12677.0,16.083333333333332h
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,1 stop,No info,15147.0,10.166666666666666h
Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,non-stop,No info,4668.0,2.6666666666666665h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,1 stop,No info,15554.0,11.916666666666666h
SpiceJet,9/04/2019,Banglore,Delhi,BLR → DEL,nan,08:35,non-stop,nan,3971.0,2.6666666666666665h
Air India,3/05/2019,Mumbai,Hyderabad,BOM → HYD,15:00,nan,non-stop,No info,3100.0,1.4166666666666667h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,1 stop,In-flight meal not included,9663.0,14.083333333333334h
Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,1 stop,No info,nan,20.25h
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,non-stop,No info,3540.0,2.4166666666666665h
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,2 stops,No info,10676.0,23.166666666666668h
Jet Airways,12/06/2019,nan,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,1 stop,No info,13044.0,18.166666666666668h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,1 stop,No info,14388.0,16.0h
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,3943.0,2.833333333333333h
IndiGo,nan,Chennai,Kolkata,MAA → CCU,14:45,17:05,non-stop,No info,3597.0,2.333333333333333h
Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,nan,19:50,1 stop,No info,5932.0,8.0h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,1 stop,In-flight meal not included,10262.0,16.916666666666668h
Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,non-stop,No info,6216.0,3.1666666666666665h
IndiGo,15/06/2019,Kolkata,nan,CCU → BLR,20:25,23:10,non-stop,No info,4804.0,2.75h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,1 stop,No info,14067.0,14.0h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,2 stops,No info,15129.0,23.83333333333333h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,2 stops,No info,13376.0,21.666666666666668h
Air India,nan,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,2 stops,No info,10441.0,21.25h
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,nan,In-flight meal not included,4030.0,2.75h
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,1 stop,No info,17024.0,10.833333333333334h
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,1 stop,nan,13017.0,8.0h
GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,1 stop,No info,6686.0,8.25h
IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,1 stop,No info,5636.0,5.416666666666667h
IndiGo,9/06/2019,Delhi,Cochin,nan,07:35,16:10,1 stop,No info,6442.0,8.583333333333334h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,1 stop,No info,9486.0,11.833333333333334h
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,1 stop,In-flight meal not included,10844.0,27.58333333333333h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,2 stops,In-flight meal not included,15318.0,8.416666666666666h
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,1 stop,No info,5117.0,20.916666666666668h
nan,24/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,1 stop,No info,6147.0,4.833333333333333h
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,1 stop,No info,7005.0,8.166666666666666h
SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,non-stop,No info,3873.0,2.333333333333333h
nan,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,2 stops,In-flight meal not included,9270.0,24.416666666666668h
GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,non-stop,No info,3898.0,2.833333333333333h
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,1 stop,No info,14781.0,12.333333333333334h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,1 stop,In-flight meal not included,8586.0,12.25h
Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,2 stops,No info,10697.0,23.58333333333333h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,2 stops,No info,nan,16.583333333333332h
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,non-stop,No info,8855.0,2.833333333333333h
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,1 stop,In-flight meal not included,10844.0,25.75h
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,1 stop,No info,17024.0,26.166666666666668h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,1 stop,nan,9314.0,28.83333333333333h
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,non-stop,No info,4777.0,2.75h
Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,1 stop,No info,7662.0,25.25h
IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,1 stop,No info,6442.0,9.333333333333334h
SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,1 stop,No info,5264.0,4.5h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 May,1 stop,In-flight meal not included,12898.0,15.416666666666666h
Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,non-stop,No info,6092.0,1.5h
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,non-stop,No info,3311.0,2.6666666666666665h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 28 Mar,1 stop,In-flight meal not included,6540.0,9.166666666666666h
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,non-stop,No info,3419.0,2.75h
Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,1 stop,In-flight meal not included,5177.0,22.58333333333333h
Air India,18/04/2019,Delhi,Cochin,DEL → COK,18:05,21:10,non-stop,No info,8246.0,3.083333333333333h
Jet Airways,nan,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,1 stop,No info,14676.0,11.5h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,1 stop,No info,13587.0,9.5h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 07 May,1 stop,In-flight meal not included,9663.0,12.166666666666666h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 13 Jun,1 stop,No info,13044.0,nanh
IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,1 stop,No info,5073.0,5.083333333333333h
Vistara,21/05/2019,Kolkata,nan,CCU → DEL → BLR,17:00,18:50 22 May,1 stop,No info,9345.0,25.83333333333333h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 07 May,1 stop,In-flight meal not included,9663.0,20.0h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,1 stop,No info,14277.0,13.0h
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,nan,04:25 02 Jun,1 stop,nan,10262.0,18.416666666666668h
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,No info,nan,1.5h
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,1 stop,No info,13727.0,9.5h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,1 stop,In-flight meal not included,9663.0,16.0h
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,nan,No info,nan,2.333333333333333h
nan,24/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,1 stop,No info,4812.0,4.5h
IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 28 Jun,1 stop,No info,5775.0,5.75h
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,1 stop,In-flight meal not included,10539.0,24.166666666666668h
IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,4804.0,2.583333333333333h
Air Asia,12/06/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,non-stop,No info,3383.0,2.75h
IndiGo,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,1 stop,No info,8738.0,4.916666666666667h
Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 28 Mar,1 stop,No info,7165.0,25.58333333333333h
IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,1 stop,No info,6412.0,6.333333333333333h
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,non-stop,No info,8016.0,3.083333333333333h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,15:15 13 Mar,1 stop,In-flight meal not included,11087.0,18.666666666666668h
SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,non-stop,nan,3543.0,2.25h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 13 Jun,1 stop,No info,12471.0,12.166666666666666h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,nan,1 stop,In-flight meal not included,10262.0,19.416666666666668h
Air India,18/03/2019,Banglore,New Delhi,nan,13:20,16:10,non-stop,No info,4441.0,2.833333333333333h
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,1 stop,No info,nan,8.416666666666666h
GoAir,24/03/2019,Kolkata,nan,CCU → BOM → BLR,22:25,07:40 25 Mar,1 stop,nan,10091.0,9.25h
Air India,3/06/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,non-stop,No info,nan,2.833333333333333h
IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,05:35,08:50,non-stop,No info,5013.0,3.25h
Air India,18/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,non-stop,No info,6934.0,2.833333333333333h
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,1 stop,No info,10877.0,12.333333333333334h
Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,7229.0,2.9166666666666665h
IndiGo,27/03/2019,nan,Cochin,DEL → BOM → COK,16:00,01:35 28 Mar,1 stop,No info,7048.0,9.583333333333334h
Vistara,27/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,nan,No info,4878.0,2.583333333333333h
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,1 stop,In-flight meal not included,10844.0,9.5h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 20 May,2 stops,No info,15129.0,29.33333333333333h
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,non-stop,No info,3943.0,2.9166666666666665h
SpiceJet,6/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,1 stop,No info,5583.0,5.25h
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,1 stop,No info,9646.0,9.083333333333334h
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,1 stop,No info,7677.0,10.75h
