Toy_Type,Durability_Score
Recreational,71.2
Recreational,89.5
Educational,75.4
Recreational,83.9
Recreational,79.9
Recreational,74.5
Recreational,67.7
Educational,77.8
Recreational,82.0
Recreational,72.0
Educational,77.4
Educational,76.6
Educational,76.5
Educational,85.4
Educational,85.9
Recreational,68.6
Educational,82.0
Recreational,76.0
Recreational,90.3
Recreational,82.2
Recreational,87.3
Educational,81.3
Educational,80.1
Educational,81.8
Educational,80.9
Educational,83.6
Recreational,83.3
Educational,87.4
Educational,72.4
Educational,75.9
Recreational,77.8
Educational,84.8
Recreational,89.8
Educational,77.5
Recreational,77.5
Recreational,89.1
Recreational,76.4
Educational,87.6
Recreational,87.6
Educational,80.9
Educational,72.9
Educational,73.9
Recreational,85.0
Educational,82.7
Recreational,85.8
Recreational,101.4
Recreational,84.4
Recreational,77.0
Educational,84.9
Recreational,85.2
Educational,71.1
Recreational,74.3
Recreational,79.5
Educational,81.1
Educational,90.4
Educational,83.2
Educational,82.6
Educational,87.7
Educational,72.2
Recreational,84.6
Educational,77.6
Recreational,71.9
Recreational,78.3
Recreational,75.7
Recreational,77.2
Recreational,87.5
Educational,74.8
Recreational,81.9
Educational,88.5
Recreational,82.9
Educational,78.5
Recreational,82.8
Educational,73.3
Recreational,74.3
Recreational,70.0
Educational,78.9
Educational,81.5
Recreational,73.1
Recreational,71.0
Educational,81.9
Recreational,69.9
Educational,82.7
Educational,76.3
Recreational,74.7
Educational,81.7
Educational,92.9
Educational,83.9
Recreational,97.2
Educational,78.0
Educational,71.0
Educational,81.3
Recreational,95.2
Recreational,78.1
Educational,83.4
Recreational,69.2
Recreational,79.1
Recreational,97.1
Recreational,82.9
Educational,78.7
Recreational,91.2
Educational,83.2
Recreational,73.1
Recreational,75.5
Recreational,74.0
Recreational,80.1
Educational,80.9
Recreational,78.3
Recreational,73.5
Educational,71.9
Educational,75.7
Recreational,77.7
Educational,85.5
Educational,81.4
Recreational,86.0
Educational,82.5
Educational,76.1
Educational,79.7
Educational,77.0
Recreational,65.2
Recreational,74.0
Educational,81.5
Educational,79.9
Educational,85.8
Recreational,71.3
Recreational,77.2
Educational,81.0
Recreational,86.5
Educational,77.9
Educational,77.1
Recreational,82.7
Educational,81.2
Educational,78.4
Educational,82.6
Recreational,74.7
Recreational,60.9
Educational,72.2
Recreational,72.2
Recreational,77.5
Recreational,76.7
Recreational,90.3
Educational,89.2
Educational,79.0
Recreational,73.7
Recreational,91.6
Recreational,69.0
Recreational,77.5
Educational,87.8
Recreational,90.7
Recreational,71.7
Recreational,69.6
Recreational,89.7
Educational,86.5
Educational,71.2
Recreational,74.5
Recreational,85.3
Recreational,73.2
Recreational,86.2
Educational,85.4
Educational,83.1
Recreational,70.4
Educational,72.0
Recreational,78.7
Recreational,78.5
Recreational,81.2
Recreational,77.5
Recreational,87.3
Recreational,79.9
Educational,83.1
Educational,67.6
Educational,76.9
Educational,77.6
Recreational,80.6
Recreational,75.1
Recreational,84.2
Educational,74.7
Recreational,82.0
Educational,81.0
Educational,66.9
Educational,84.7
Educational,76.2
Recreational,91.0
Recreational,84.7
Recreational,83.7
Educational,81.5
Educational,77.0
Recreational,78.9
Recreational,90.5
Educational,82.9
Recreational,82.1
Educational,70.4
Educational,84.1
Recreational,92.2
Educational,83.8
Recreational,78.4
Recreational,79.6
Recreational,80.0
Educational,77.1
Recreational,81.7
Educational,72.8
Educational,82.6
Educational,81.6
Recreational,76.8
Recreational,79.6
Educational,77.8
Recreational,71.4
Educational,81.9
Recreational,83.2
Educational,78.3
Educational,79.6
Recreational,77.9
Recreational,76.0
Recreational,71.4
Educational,88.0
Educational,83.5
Recreational,82.3
Recreational,88.7
Educational,73.3
Recreational,86.7
Recreational,88.7
Recreational,88.2
Educational,78.1
Educational,78.4
Recreational,83.1
Recreational,75.1
Educational,77.1
Educational,75.1
Educational,80.5
Recreational,74.6
Recreational,85.3
Recreational,79.0
Educational,76.1
Recreational,76.8
Recreational,73.6
Educational,81.7
Recreational,78.1
Educational,84.6
Educational,82.2
Recreational,81.8
Recreational,78.8
Recreational,84.2
Educational,90.6
Recreational,90.5
Educational,81.6
Recreational,77.3
Educational,78.2
Educational,74.8
Recreational,83.1
Educational,80.5
Educational,76.5
Educational,82.3
Educational,74.2
Educational,77.2
Educational,75.7
Educational,81.2
Recreational,82.6
Recreational,67.3
Recreational,68.0
Recreational,73.3
Recreational,73.0
Educational,76.8
Recreational,89.7
Recreational,77.8
Educational,84.7
Educational,76.1
Educational,83.8
Recreational,71.7
Recreational,80.6
Educational,76.8
Recreational,66.7
Educational,82.5
Recreational,69.8
Recreational,82.6
Educational,85.3
Recreational,78.4
Educational,77.2
Recreational,74.2
Educational,89.4
Educational,81.9
Recreational,82.0
Educational,80.9
Educational,76.4
Recreational,64.7
Educational,75.4
Educational,70.7
Recreational,80.0
Recreational,74.4
Educational,81.6
Educational,83.1
Educational,83.1
Educational,81.0
Educational,78.4
Educational,80.1
Educational,77.7
Educational,87.3
Educational,75.5
Recreational,79.4
Recreational,76.8
Educational,88.8
Recreational,67.9
Recreational,85.4
Educational,80.8
Recreational,88.8
Recreational,84.4
Recreational,74.2
Recreational,70.5
Recreational,88.7
Recreational,77.5
Recreational,86.0
Educational,71.4
Educational,85.8
Educational,80.3
Educational,77.1
Recreational,82.1
Recreational,79.1
Educational,68.9
Educational,86.2
Recreational,82.8
Educational,79.8
Educational,80.4
Educational,78.7
Recreational,93.5
Educational,83.2
Educational,80.1
Recreational,94.5
Educational,78.5
Educational,82.9
Recreational,71.6
Educational,79.9
Recreational,73.4
Recreational,79.4
Recreational,78.4
Recreational,76.9
Educational,80.1
Educational,80.6
Educational,82.0
Recreational,82.4
Educational,87.7
Recreational,82.0
Educational,85.3
Recreational,84.5
Recreational,83.2
Educational,75.2
Recreational,77.2
Educational,73.0
Recreational,77.9
Recreational,96.1
Educational,79.1
Recreational,76.7
Educational,83.2
Educational,72.7
Recreational,76.4
Educational,95.4
Educational,75.5
Educational,88.4
Recreational,79.0
Recreational,62.0
Educational,77.2
Recreational,81.0
Recreational,77.1
Recreational,72.0
Recreational,69.0
Educational,75.9
Educational,74.9
Recreational,69.2
Educational,71.7
Educational,86.2
Educational,77.6
Recreational,80.3
Recreational,82.9
Recreational,86.2
Recreational,79.9
Educational,77.3
Educational,77.5
Recreational,67.8
Recreational,79.9
Educational,73.9
Recreational,77.4
Recreational,74.3
Educational,81.0
Recreational,82.8
Recreational,78.8
Educational,79.9
Educational,81.1
Recreational,86.6
Recreational,78.4
Educational,79.8
Educational,85.3
Recreational,85.1
Recreational,80.4
Recreational,77.2
Recreational,65.0
Recreational,86.3
Educational,82.0
Recreational,91.8
Educational,77.6
Educational,79.3
Recreational,89.3
Recreational,81.0
Educational,71.5
Recreational,84.2
Recreational,67.4
Recreational,88.6
Recreational,77.4
Educational,80.9
Educational,76.0
Educational,76.9
Recreational,69.7
Recreational,84.1
Recreational,76.9
Recreational,90.9
Educational,73.7
Recreational,81.2
Recreational,75.2
Educational,81.3
Educational,78.9
Recreational,78.6
Educational,78.3
Recreational,76.5
Recreational,75.3
Recreational,58.7
Recreational,84.5
Recreational,97.1
Educational,77.8
Educational,81.8
Recreational,66.8
Recreational,77.7
Educational,73.5
Recreational,62.0
Educational,83.4
Recreational,79.9
Recreational,81.2
Recreational,86.1
Recreational,80.2
Recreational,88.2
Recreational,77.5
Recreational,78.8
Educational,88.9
Recreational,78.2
Recreational,74.2
Recreational,75.6
Educational,83.1
Recreational,81.0
Recreational,93.5
Recreational,81.3
Educational,84.9
Recreational,63.9
Recreational,73.1
Recreational,81.3
Recreational,75.7
Educational,91.4
Educational,77.3
Recreational,81.2
Educational,77.0
Recreational,77.8
Recreational,66.2
Recreational,80.3
Recreational,76.6
Recreational,78.7
Educational,84.7
Recreational,69.7
Educational,77.7
Recreational,85.5
Educational,76.7
Educational,77.3
Recreational,81.1
Educational,79.0
Educational,72.8
Educational,77.9
Recreational,73.8
Educational,76.3
Recreational,75.1
Recreational,74.9
Educational,81.1
Recreational,91.6
Recreational,89.5
Educational,80.9
Educational,86.3
Recreational,72.5
Educational,81.6
Recreational,80.2
Recreational,76.4
Educational,76.2
Recreational,87.5
Educational,78.7
Recreational,77.3
Educational,77.6
Recreational,68.1
Recreational,81.8
Recreational,70.2
Recreational,82.4
Educational,82.5
Recreational,75.1
Educational,69.6
Educational,78.7
Educational,77.8
Educational,74.4
Educational,76.7
Educational,90.7
Recreational,83.1
Recreational,86.2
Recreational,93.4
Recreational,70.7
Educational,84.1
Recreational,74.5
Educational,84.6
Educational,86.8
Educational,75.4
Educational,85.5
Recreational,76.4
Recreational,72.7
Recreational,82.1
Recreational,82.6
Recreational,83.9
Educational,78.8
Recreational,73.4
Recreational,83.3
Educational,81.5
Educational,81.1
Recreational,90.3
Recreational,58.9
Recreational,69.5
Educational,82.4
Educational,79.0
Educational,84.8
Educational,69.8
Recreational,86.2
Educational,81.0
Recreational,85.6
Educational,76.9
Recreational,82.9
Educational,78.1
Educational,72.4
Recreational,82.5
Recreational,88.1
Recreational,75.8
Educational,76.7
Educational,76.4
Educational,85.5
Recreational,82.1
Educational,79.6
Recreational,79.4
Educational,81.9
Educational,72.4
Educational,79.8
Educational,80.5
Recreational,71.8
Recreational,75.8
Educational,83.7
Recreational,70.8
Educational,77.3
Educational,79.4
Educational,87.3
Recreational,85.3
Educational,78.8
Recreational,78.7
Educational,70.2
Recreational,80.6
Educational,76.2
Educational,84.0
Recreational,74.9
Recreational,75.9
Educational,91.5
Recreational,96.5
Educational,82.6
Recreational,78.4
Educational,81.6
Recreational,83.9
Educational,81.6
Educational,75.4
Educational,77.6
Educational,83.3
Recreational,94.2
Educational,73.1
Educational,78.9
Recreational,81.8
Recreational,78.1
Educational,79.7
Recreational,65.9
Educational,74.5
Recreational,65.8
Educational,75.5
Educational,84.8
Educational,84.9
Educational,81.8
Educational,83.7
Educational,84.6
Educational,77.4
Recreational,79.4
Recreational,87.5
Educational,73.6
Recreational,72.1
Educational,87.0
Educational,79.5
Educational,78.2
Educational,73.5
Educational,89.1
Educational,76.8
Recreational,77.7
Educational,75.0
Recreational,86.5
Recreational,82.3
Educational,81.9
Educational,83.1
Educational,76.9
Educational,85.3
Recreational,83.0
Recreational,87.0
Educational,75.8
Recreational,80.0
Recreational,81.6
Recreational,83.4
Recreational,75.9
Educational,81.5
Educational,84.4
Educational,75.7
Recreational,81.6
Recreational,77.7
Educational,73.0
Educational,84.3
Recreational,80.7
Recreational,78.5
Recreational,87.3
Recreational,87.2
Recreational,73.7
Recreational,88.8
Educational,84.2
Educational,81.6
Recreational,84.7
Recreational,90.5
Educational,75.1
Educational,73.6
Educational,77.0
Educational,74.9
Recreational,74.3
Educational,73.0
Educational,83.1
Educational,89.4
Recreational,70.4
Educational,80.2
Recreational,84.1
Educational,75.1
Educational,84.1
Educational,78.6
Educational,77.6
Educational,85.4
Educational,76.5
Recreational,86.3
Recreational,71.5
Educational,84.1
Educational,81.8
Educational,78.0
Recreational,88.6
Educational,84.1
Educational,77.7
Recreational,85.0
Recreational,77.8
Recreational,85.5
Educational,81.3
Educational,82.5
Recreational,76.3
Educational,73.4
Recreational,68.4
Recreational,87.4
Recreational,94.0
Recreational,94.1
Recreational,86.6
Educational,83.7
Educational,84.4
Recreational,81.2
Recreational,66.8
Educational,83.2
Recreational,75.0
Educational,79.5
Educational,74.9
Educational,80.7
Recreational,85.5
Educational,90.9
Recreational,63.9
Recreational,90.3
Recreational,69.4
Recreational,80.1
Recreational,73.4
Recreational,78.0
Educational,75.0
Recreational,81.0
Recreational,83.1
Recreational,81.7
Educational,85.9
Educational,82.2
Recreational,93.4
Educational,74.6
Educational,76.1
Educational,83.4
Recreational,77.4
Recreational,79.5
Educational,84.1
Recreational,77.8
Educational,80.1
Educational,81.9
Educational,83.6
Educational,76.4
Educational,69.9
Recreational,74.3
Recreational,88.5
Educational,83.5
Educational,79.2
Recreational,86.0
Recreational,78.1
Recreational,79.1
Educational,81.3
Educational,87.9
Recreational,77.5
Educational,75.9
Recreational,78.0
Educational,77.4
Educational,73.8
Recreational,83.9
Recreational,77.8
Recreational,81.0
Recreational,85.0
Recreational,75.1
Recreational,87.9
Recreational,78.2
Recreational,78.2
Recreational,79.4
Recreational,78.4
Recreational,82.9
Educational,77.3
Recreational,71.3
Educational,73.8
Recreational,88.6
Educational,72.3
Educational,76.5
Recreational,78.2
Educational,78.8
Recreational,83.1
Recreational,84.3
Educational,79.4
Recreational,89.6
Educational,80.9
Recreational,85.1
Educational,81.1
Educational,77.4
Recreational,70.5
Educational,73.4
Educational,81.2
Recreational,80.2
Educational,72.9
Recreational,79.1
Educational,66.7
Educational,77.6
Recreational,81.3
Recreational,78.3
Educational,82.1
Educational,81.2
Educational,82.6
Educational,81.3
Educational,78.8
Recreational,69.1
Recreational,76.8
Educational,83.2
Recreational,90.2
Educational,75.1
Recreational,79.2
Recreational,76.2
Educational,82.8
Recreational,79.5
Recreational,78.5
Recreational,81.1
Recreational,91.0
Educational,73.3
Educational,78.4
Recreational,82.5
Recreational,78.1
Educational,83.5
Educational,77.2
Recreational,88.9
Educational,78.4
Recreational,74.1
Educational,81.4
Recreational,92.4
Recreational,93.1
Educational,75.6
Recreational,89.3
Recreational,84.2
Recreational,68.6
Recreational,78.8
Recreational,82.4
Educational,78.2
Recreational,78.8
Educational,82.5
Educational,70.6
Recreational,74.4
Recreational,87.3
Educational,73.8
Recreational,78.9
Recreational,75.6
Recreational,84.0
Educational,81.1
Educational,73.1
Educational,85.2
Recreational,91.2
Educational,79.7
Recreational,76.3
Recreational,88.0
Recreational,79.3
Recreational,81.5
Recreational,76.3
Recreational,79.3
Recreational,80.4
Educational,84.8
Educational,84.1
Educational,85.5
Educational,81.0
Educational,76.2
Recreational,83.0
Recreational,72.9
Educational,87.9
Educational,81.1
Educational,82.1
Recreational,77.3
Recreational,74.3
Educational,78.0
Educational,86.0
Educational,81.7
Educational,75.7
Educational,77.4
Recreational,76.8
Educational,87.3
Educational,78.5
Recreational,85.0
Educational,79.4
Educational,76.9
Recreational,75.7
Recreational,88.4
Recreational,80.8
Recreational,80.4
Educational,84.1
Educational,84.3
Recreational,76.2
Recreational,90.3
Recreational,90.7
Recreational,81.4
Educational,81.4
Recreational,89.4
Educational,79.7
Recreational,81.2
Educational,79.8
Educational,82.9
Recreational,77.4
Educational,92.8
Educational,84.1
Recreational,79.8
Educational,84.1
Recreational,74.2
Recreational,74.4
Recreational,91.1
Recreational,71.9
Recreational,70.6
Recreational,58.6
Educational,86.9
Recreational,82.2
Recreational,86.8
Educational,84.4
Recreational,68.0
Recreational,76.4
Recreational,67.8
Educational,83.0
Educational,76.6
Recreational,75.2
Educational,80.4
Educational,82.8
Educational,76.7
Recreational,93.4
Recreational,77.0
Recreational,66.4
Educational,71.7
Recreational,85.3
Educational,79.8
Recreational,85.8
Recreational,60.1
Educational,89.3
Educational,83.5
Recreational,75.2
Educational,75.1
Recreational,82.6
Educational,79.0
Educational,84.8
Recreational,81.1
Educational,82.8
Recreational,78.7
Educational,82.7
Educational,75.3
Recreational,85.7
Educational,75.7
Educational,83.3
Educational,85.2
Educational,80.6
Recreational,74.8
Educational,75.4
Educational,80.3
Recreational,59.1
Educational,81.9
Educational,81.2
Educational,77.4
Educational,85.7
Recreational,74.6
Educational,75.5
Educational,86.4
Educational,78.0
Recreational,81.6
Educational,77.8
Educational,83.6
Educational,83.1
Educational,85.2
Recreational,81.7
Educational,81.7
Educational,77.4
Educational,80.3
Recreational,65.2
Recreational,79.3
Recreational,78.4
Educational,78.7
Educational,76.9
Recreational,79.8
Educational,80.2
Recreational,74.2
Recreational,77.4
Educational,75.8
Educational,81.0
Educational,73.6
Recreational,79.9
Educational,87.2
Recreational,74.5
Educational,88.2
Educational,76.5
Educational,92.2
Educational,79.9
Recreational,84.3
Educational,85.8
Educational,91.6
Recreational,83.1
Educational,79.4
Recreational,74.7
Educational,77.4
Educational,76.3
Educational,82.1
Educational,80.3
Educational,80.2
Educational,77.7
Educational,79.2
Recreational,83.3
Recreational,78.3
Educational,80.3
Educational,79.1
Recreational,84.6
Educational,80.0
Educational,83.3
Educational,75.8
Educational,80.0
Educational,77.1
Recreational,86.9
Educational,78.2
Educational,89.2
Educational,69.6
Recreational,81.3
Recreational,80.4
Recreational,75.6
Recreational,74.3
Educational,79.2
Recreational,76.5
Educational,86.5
Recreational,79.0
Recreational,76.6
Educational,92.3
Recreational,83.5
Educational,90.5
Recreational,71.7
Recreational,74.0
Educational,74.6
Educational,81.0
Recreational,85.8
Educational,73.9
Recreational,83.7
Recreational,90.8
Educational,80.8
Educational,80.3
Educational,80.2
Recreational,82.6
Educational,85.8
Educational,82.1
Educational,83.8
Educational,80.5
Educational,76.0
Educational,78.7
Recreational,83.2
Recreational,69.6
Recreational,81.9
Educational,82.7
Recreational,71.8
Educational,76.4
Recreational,84.7
Recreational,72.1
Recreational,79.5
Educational,71.7
Educational,79.5
Recreational,76.1
Recreational,75.5
Educational,76.0
Recreational,90.2
Recreational,79.5
Recreational,80.3
Recreational,74.7
Educational,87.8
Educational,90.3
Recreational,87.0
Recreational,68.5
Educational,77.5
Educational,76.5
Educational,85.3
Educational,82.4
Educational,82.4
Recreational,87.0
Educational,75.0
Educational,87.6
Educational,81.6
Educational,83.8
Recreational,88.3
Recreational,86.2
Recreational,77.9
Recreational,86.6
Educational,79.7
Recreational,72.0
Educational,92.3
Educational,74.0
Educational,82.4
Recreational,85.4
Recreational,76.9
Recreational,82.0
Recreational,76.8
Recreational,73.7
Recreational,77.2
Educational,81.2
Educational,89.2
Educational,90.1
Educational,78.9
Recreational,86.6
Recreational,78.4
Educational,79.9
Recreational,69.3
Recreational,74.4
Recreational,67.7
Recreational,82.2
Recreational,84.7
Educational,77.9
Recreational,73.3
Educational,85.7
Educational,72.8
Recreational,87.4
Educational,71.2
Educational,80.4
Recreational,74.4
Recreational,72.1
Recreational,77.9
Recreational,74.1
Educational,80.4
Recreational,82.1
Recreational,95.8
Recreational,79.2
Educational,83.2
Recreational,79.2
Educational,77.2
Educational,82.0
Recreational,66.6
Educational,83.3
Educational,75.1
Recreational,76.9
Educational,75.1
Recreational,76.9
Recreational,79.1
Educational,82.4
Educational,71.4
Educational,88.8
Educational,74.6
Educational,76.7
Educational,77.2
Educational,82.6
Educational,78.8
Recreational,76.0
Recreational,69.1
Educational,83.6
Recreational,77.8
Educational,74.0
Educational,82.0
Educational,83.8
Recreational,96.9
Educational,78.4
Recreational,79.5
Educational,80.0
Educational,87.7
Recreational,85.3
Recreational,78.7
Recreational,74.8
Educational,76.0
Educational,89.8
Recreational,72.8
Recreational,79.8
Recreational,79.5
Educational,77.0
Recreational,89.3
Educational,80.6
Educational,87.7
Recreational,83.4
Recreational,82.5
Educational,80.2
Educational,77.0
Recreational,79.6
Recreational,88.7
Recreational,75.0
Educational,83.6
Recreational,84.3
Educational,73.8
Educational,71.5
Educational,73.4
Recreational,92.6
Educational,83.8
Recreational,77.6
Recreational,82.6
Recreational,68.9
Recreational,93.6
Recreational,85.2
Recreational,68.9
Recreational,68.1
Educational,87.5
Educational,89.3
Educational,88.4
Educational,80.9
Educational,80.6
Educational,72.5
Recreational,68.1
Recreational,85.7
Recreational,75.7
Educational,77.3
Recreational,72.2
Educational,77.6
Recreational,89.6
Educational,79.9
Recreational,92.1
Educational,79.5
Educational,86.4
Educational,89.4
Recreational,80.6
Recreational,84.9
Educational,81.0
Educational,87.3
Educational,81.7
Recreational,87.1
Educational,77.7
Educational,93.2
Educational,80.5
Educational,85.2
Educational,79.9
Educational,76.4
Recreational,74.5
Recreational,94.8
Recreational,75.3
Educational,82.6
Recreational,73.8
Educational,73.7
Recreational,81.0
Educational,79.4
Educational,83.1
Recreational,71.3
Educational,85.7
Educational,83.4
Educational,82.4
Recreational,84.9
Recreational,82.8
Educational,85.1
Educational,80.6
Educational,75.6
Educational,84.2
Educational,85.2
Recreational,79.3
Educational,74.9
Educational,74.4
Recreational,64.1
Educational,81.7
Educational,73.0
Recreational,95.0
Educational,86.8
Educational,81.7
Recreational,84.3
Recreational,78.6
Recreational,87.0
Recreational,87.1
Educational,86.0
Educational,83.1
Educational,74.2
Educational,81.7
Recreational,79.2
Recreational,75.3
Recreational,77.1
Recreational,80.0
Educational,75.0
Recreational,63.8
Recreational,70.4
Educational,87.0
Educational,74.6
Recreational,90.6
Recreational,79.7
Recreational,75.9
Educational,73.9
Recreational,81.8
Recreational,79.3
Educational,80.1
Recreational,66.1
Recreational,77.2
Recreational,76.4
Recreational,78.9
Educational,76.0
Recreational,75.6
Recreational,81.5
Recreational,91.1
Recreational,72.2
Educational,83.1
Educational,78.8
Educational,80.7
Recreational,82.0
Recreational,71.0
Educational,71.4
Educational,70.8
Educational,99.3
Recreational,79.9
Recreational,72.8
Educational,82.5
Recreational,74.5
Recreational,78.6
Educational,80.3
Recreational,92.0
Recreational,80.7
Recreational,87.3
Recreational,94.0
Educational,77.1
Educational,79.1
Recreational,83.7
Recreational,86.6
Recreational,73.4
Recreational,85.9
Educational,75.5
Recreational,71.5
Recreational,67.9
Educational,79.7
Educational,81.4
Recreational,78.8
Recreational,73.3
Educational,76.7
Recreational,77.0
Recreational,90.4
Recreational,88.1
Educational,90.7
Educational,80.3
Educational,81.4
Recreational,71.6
Recreational,77.3
Recreational,81.4
Educational,87.8
Educational,78.8
Educational,78.6
Educational,72.0
Recreational,81.8
Educational,78.2
Educational,86.7
Educational,80.8
Educational,80.1
Recreational,83.3
Recreational,77.3
Educational,80.4
Recreational,92.3
Educational,79.7
Recreational,83.5
Educational,83.4
Educational,76.1
Educational,81.2
Educational,79.2
Educational,87.5
Recreational,80.3
Educational,83.0
Educational,77.2
Educational,75.0
Educational,77.1
Educational,84.4
Recreational,80.5
Recreational,78.8
Educational,82.6
Educational,84.2
Recreational,86.4
Recreational,78.3
Recreational,92.3
Recreational,80.2
Recreational,80.5
Recreational,74.9
Recreational,82.0
Educational,73.1
Recreational,75.7
Educational,79.2
Educational,77.3
Recreational,71.8
Recreational,90.0
Recreational,87.8
Educational,72.1
Recreational,89.8
Recreational,76.7
Recreational,85.7
Educational,83.9
Recreational,72.0
Recreational,80.8
Recreational,85.2
Educational,81.4
Educational,79.3
Educational,76.6
Recreational,80.4
Educational,74.4
Recreational,76.0
Recreational,68.7
Educational,83.3
Educational,79.3
Recreational,76.4
Recreational,71.5
Recreational,75.9
Recreational,85.7
Recreational,83.5
Recreational,65.0
Recreational,82.1
Educational,87.2
Recreational,83.6
Educational,74.6
Recreational,85.7
Educational,77.0
Educational,79.1
Recreational,82.8
Recreational,74.7
Recreational,68.1
Recreational,93.4
