id,weight
120.0,71.33
327.0,71.33
298.0,71.5
64.0,71.5
313.0,71.51
138.0,71.51
34.0,71.58
75.0,71.58
166.0,71.58
312.0,71.6
175.0,71.62
293.0,71.8
239.0,71.82
191.0,71.85
352.0,71.86
243.0,71.93
376.0,71.98
489.0,72.05
296.0,72.2
86.0,72.32
251.0,72.34
55.0,72.45
388.0,72.6
212.0,72.63
451.0,72.64
373.0,72.67
164.0,72.71
91.0,72.75
423.0,72.77
334.0,72.8
59.0,72.8
67.0,73.03
54.0,73.25
253.0,73.26
203.0,73.43
47.0,73.46
428.0,73.47
202.0,73.66
225.0,73.71
311.0,73.79
479.0,73.96
211.0,74.08
118.0,74.14
326.0,74.26
162.0,74.27
272.0,74.31
418.0,74.43
394.0,74.44
399.0,74.9
256.0,75.14
306.0,75.22
413.0,75.22
314.0,75.44
141.0,75.46
397.0,75.83
65.0,75.85
473.0,75.93
425.0,75.95
122.0,76.22
270.0,76.53
372.0,76.61
177.0,76.63
20.0,76.73
351.0,76.8
82.0,76.82
491.0,76.84
434.0,77.02
3.0,77.18
494.0,77.18
361.0,77.26
71.0,77.3
135.0,77.4
416.0,77.41
73.0,77.52
6.0,77.63
282.0,77.69
436.0,78.03
266.0,78.06
474.0,78.16
488.0,78.5
421.0,79.04
248.0,79.12
393.0,79.65
31.0,79.82
156.0,79.93
387.0,80.01
106.0,80.09
167.0,80.17
460.0,80.72
420.0,81.49
323.0,81.74
252.0,81.98
284.0,82.06
234.0,82.15
374.0,82.23
378.0,82.52
125.0,82.52
220.0,83.52
113.0,84.71
179.0,86.76
478.0,89.63
209.0,95.82
