ProductID,PreservationMethod,FoodType,NutrientRetention,ShelfLife
124,Drying,Fruit,87.62,88.71
125,Freezing,Meat,54.56,131.56
126,Drying,Vegetable,77.48,54.03
127,Drying,Fruit,67.55,100.43
128,Freezing,Vegetable,91.85,99.21
129,Canning,Meat,71.3,124.45
130,Freezing,Vegetable,94.59,40.86
131,Freezing,Fruit,61.66,161.81
132,Freezing,Fruit,94.02,48.23
133,Drying,Fruit,79.59,48.97
134,Drying,Meat,88.86,71.31
135,Drying,Vegetable,95.32,38.13
136,Drying,Fruit,50.57,118.74
137,Canning,Fruit,91.14,88.39
138,Drying,Fruit,61.88,134.92
139,Freezing,Fruit,93.43,46.83
140,Canning,Vegetable,50.61,180.98
141,Freezing,Meat,94.56,73.28
142,Drying,Fruit,62.65,181.92
143,Freezing,Vegetable,58.31,100.95
144,Drying,Meat,99.79,92.53
145,Drying,Meat,52.27,98.71
146,Canning,Fruit,63.87,106.08
147,Canning,Vegetable,61.47,113.81
148,Freezing,Fruit,63.0,145.55
149,Drying,Fruit,63.99,141.25
150,Freezing,Fruit,56.66,78.57
151,Canning,Vegetable,70.83,185.85
152,Freezing,Vegetable,54.14,181.24
153,Drying,Fruit,58.24,128.57
154,Canning,Fruit,74.02,267.5
155,Drying,Fruit,87.48,57.18
156,Drying,Meat,78.45,28.02
157,Freezing,Meat,56.69,69.93
158,Drying,Vegetable,84.59,66.05
159,Freezing,Vegetable,95.66,79.07
160,Freezing,Fruit,87.85,56.23
161,Freezing,Vegetable,60.25,109.42
162,Freezing,Fruit,60.36,202.31
163,Canning,Meat,55.68,158.42
164,Canning,Vegetable,88.62,68.07
165,Freezing,Vegetable,98.4,37.35
166,Drying,Fruit,79.5,58.2
167,Drying,Meat,89.23,78.12
168,Drying,Meat,95.16,81.41
169,Canning,Vegetable,80.4,70.19
170,Drying,Meat,54.55,162.54
171,Freezing,Vegetable,72.55,248.88
172,Canning,Meat,76.18,70.69
173,Freezing,Vegetable,96.33,71.56
174,Freezing,Vegetable,81.04,49.65
175,Canning,Meat,78.98,47.97
176,Drying,Fruit,73.01,192.2
177,Drying,Vegetable,84.88,39.22
178,Freezing,Meat,93.72,71.57
179,Canning,Fruit,59.61,77.51
180,Freezing,Vegetable,63.93,104.44
181,Freezing,Vegetable,56.03,130.49
182,Canning,Vegetable,68.21,165.99
183,Freezing,Meat,51.97,164.14
184,Freezing,Vegetable,54.09,180.67
185,Drying,Fruit,50.13,166.8
186,Freezing,Meat,59.23,101.45
187,Drying,Vegetable,61.81,189.24
188,Canning,Vegetable,87.37,29.1
189,Drying,Meat,84.36,89.42
190,Drying,Meat,51.52,171.3
191,Canning,Meat,69.86,101.78
192,Drying,Fruit,59.11,152.62
193,Freezing,Meat,54.46,136.78
194,Freezing,Fruit,67.15,158.55
195,Canning,Meat,82.44,60.32
196,Drying,Vegetable,79.34,77.03
197,Freezing,Meat,68.94,139.72
198,Canning,Vegetable,62.22,150.61
199,Canning,Fruit,96.68,29.66
200,Freezing,Vegetable,68.27,163.51
201,Canning,Meat,54.39,172.67
202,Drying,Fruit,54.01,134.22
203,Freezing,Meat,94.83,77.61
204,Drying,Meat,90.85,48.34
205,Canning,Meat,91.04,86.18
206,Drying,Vegetable,64.0,197.45
207,Canning,Vegetable,66.18,148.41
208,Freezing,Fruit,76.49,71.64
209,Canning,Vegetable,79.06,34.7
210,Freezing,Meat,79.69,50.39
211,Canning,Fruit,53.17,192.76
212,Freezing,Vegetable,54.39,83.77
213,Freezing,Fruit,55.83,131.73
214,Canning,Meat,89.71,35.53
215,Freezing,Vegetable,87.3,58.29
