mon,dom,dow,carrier,flight,org,depart,duration,delay,km
2,26,3,B6,51,JFK,13.5,185,0,1728
6,2,3,UA,245,ORD,8.98,149,31,1429
6,22,2,UA,10,SFO,11.38,354,89,4162
4,18,0,US,258,SFO,19.42,115,-8,1048
2,14,5,AA,1243,ORD,9.17,270,-14,2770
6,18,5,UA,111,ORD,11.53,251,36,2808
0,18,5,B6,121,JFK,8,185,22,1519
1,22,5,UA,405,LGA,10.5,271,None,2606
8,7,0,OH,6919,LGA,10.25,164,-12,1342
1,14,4,OO,5944,ORD,15.5,119,-1,896
8,22,1,UA,1204,ORD,18.73,82,21,663
6,27,0,US,2136,LGA,17,76,265,298
8,16,2,OH,6693,LGA,10.17,147,30,1041
5,24,2,OO,5716,SFO,20.38,42,-3,126
6,10,4,B6,87,JFK,13.75,325,48,3201
3,16,3,US,17,JFK,17.92,350,353,3465
4,3,6,B6,117,JFK,7,186,49,1902
3,5,6,US,1571,ORD,16.42,132,0,1091
2,10,1,UA,128,ORD,8,116,3,1091
6,8,2,OO,6108,ORD,17.08,72,90,481
8,16,2,AA,1101,ORD,18.75,155,None,1489
8,25,4,UA,472,SMF,6.05,234,2,2866
10,17,1,OO,6703,ORD,21.23,103,39,790
8,10,3,AA,2463,ORD,7.5,85,-12,649
7,6,3,UA,145,ORD,12.63,264,-1,2971
6,17,4,UA,892,SFO,10.2,354,35,4162
0,25,5,OO,5872,ORD,15.97,99,None,705
1,19,2,AA,613,JFK,18.58,210,73,1754
11,22,1,AA,1031,ORD,19.08,205,30,1989
1,7,4,AA,775,LGA,8.5,195,16,1765
2,18,2,AA,2293,ORD,17.75,165,66,1574
1,6,3,AA,730,ORD,12.5,180,None,1902
5,20,5,UA,527,ORD,9.85,274,-13,2943
0,9,3,AA,874,ORD,19.42,130,27,1395
1,10,0,OH,5166,LGA,20.25,141,96,941
1,6,3,OO,5496,SFO,21.42,66,12,307
7,22,5,OO,6059,ORD,10.85,132,21,1188
5,26,4,US,58,SMF,20.67,83,30,639
2,28,5,WN,1745,SFO,19.5,90,50,719
2,15,6,AA,1268,SMF,11.83,195,8,2303
3,10,4,UA,34,OGG,12.53,290,77,3763
3,27,0,UA,1506,SFO,18.17,117,-12,1048
4,17,6,B6,165,JFK,19.58,379,-19,3949
7,5,2,B6,608,JFK,22.42,91,20,441
2,22,6,UA,676,ORD,10,128,65,1180
7,2,6,OO,5548,SFO,18.3,93,35,529
3,4,5,OO,5738,SFO,21.75,118,4,744
7,9,6,AA,1972,ORD,16.42,115,28,1041
8,30,2,B6,377,LGA,13.08,175,35,1732
1,3,0,AA,1417,ORD,14.5,240,88,2438
0,9,3,HA,30,OGG,15.83,325,-47,4249
11,22,1,OO,6371,ORD,10.58,180,35,1630
3,2,3,OH,5659,JFK,16.17,135,19,684
11,27,6,OO,6001,ORD,14.88,95,91,669
6,19,6,UA,428,ORD,13.13,81,None,509
2,4,2,OH,5103,JFK,9.33,96,-36,430
9,29,3,WN,938,SMF,19.25,85,-2,650
1,23,6,AA,2328,ORD,11.08,105,-13,985
1,22,5,UA,722,ORD,17.83,111,16,948
5,16,1,OO,5790,SFO,16.78,58,50,246
7,16,6,UA,332,SMF,13.37,238,1,2866
3,2,3,UA,299,SFO,9,70,-7,525
10,4,2,OH,6419,LGA,9,131,-11,694
7,29,5,US,2140,LGA,19,74,18,298
5,29,0,OO,5819,ORD,8.28,99,-7,750
4,14,3,UA,245,ORD,9,159,41,1429
3,15,2,OO,5409,SJC,13.98,98,-11,496
7,25,1,UA,1163,SFO,13.85,89,35,542
4,19,1,UA,896,ORD,16.77,119,3,975
4,5,1,UA,506,SFO,20.73,116,-1,1093
4,27,2,OH,5570,LGA,19.52,122,257,742
2,3,1,AA,1757,LGA,12.92,170,None,1427
4,9,5,UA,544,SFO,16.42,99,42,885
4,19,1,AA,33,JFK,7.75,360,3,3983
8,9,2,US,1483,SFO,13.75,276,None,3627
8,25,4,UA,734,ORD,14.15,80,35,663
0,5,6,WN,3764,SMF,14.5,75,84,626
1,2,6,UA,331,ORD,9.75,274,23,2770
6,2,3,AA,133,JFK,15.92,350,18,3983
1,2,6,B6,72,JFK,16.25,70,76,336
2,16,0,OH,5545,JFK,13.42,139,86,948
11,15,1,WN,2795,SFO,14.83,80,None,542
10,29,6,UA,1497,ORD,9.72,144,30,1347
7,24,0,OH,5307,JFK,12.92,101,24,547
4,8,4,UA,1142,ORD,13.63,92,-8,761
4,23,5,UA,1498,ORD,8.48,181,18,1902
5,25,3,B6,1107,JFK,17.25,124,-16,686
1,4,1,OO,5557,SFO,9.17,43,6,124
6,19,6,AA,1438,TUS,12,210,59,2313
9,8,3,AA,1048,ORD,8.5,175,19,1926
0,2,3,B6,47,JFK,19.83,205,33,1720
7,15,5,UA,530,ORD,7.58,86,-6,538
1,9,6,UA,1159,ORD,20.92,122,-9,1260
10,23,0,UA,1528,ORD,19.33,187,-4,1926
10,19,3,OO,5985,ORD,18.97,77,-25,520
6,11,5,UA,548,SFO,13,118,22,964
3,20,0,UA,350,ORD,13.17,116,16,1033
11,1,1,AA,1462,ORD,8.33,125,53,1157
2,20,4,WN,812,SJC,9.17,75,-3,550
8,23,2,OH,6464,JFK,16.17,90,2,296
10,17,1,UA,253,ORD,18.95,157,-18,1429
2,13,4,OO,5479,SFO,12.42,75,115,383
2,23,0,B6,27,JFK,13.67,173,24,1654
10,19,3,OO,5836,ORD,8.18,51,-5,253
2,27,4,UA,454,ORD,10.68,117,109,975
9,23,4,WN,1999,SFO,17.58,145,-20,1556
7,18,1,AA,876,ORD,6.92,135,-8,1395
10,20,4,OO,6356,SFO,21.07,102,52,964
1,18,1,UA,534,ORD,13.17,132,59,1395
4,29,4,OO,6226,ORD,14.53,104,6,940
6,25,5,OO,5480,SFO,16.78,80,12,402
4,27,2,OO,6380,SFO,10.58,93,-7,840
1,8,5,AA,337,LGA,15.67,165,None,1180
4,12,1,UA,59,SFO,8.92,323,117,3809
8,20,6,AA,759,LGA,15.17,240,-17,2235
11,20,6,UA,1560,ORD,9.42,159,31,1629
8,25,4,OH,6673,JFK,12.42,87,33,343
10,22,6,B6,916,ORD,16.08,147,41,1191
8,8,1,AA,354,ORD,16.92,140,None,1180
0,27,0,AA,350,ORD,18.25,130,0,1180
1,6,3,OO,5950,ORD,10.97,76,None,378
8,25,4,UA,692,ORD,20.4,125,100,1180
11,22,1,AA,647,JFK,11.33,200,43,1754
4,9,5,B6,165,JFK,19.58,379,29,3949
2,1,6,B6,937,ORD,17.58,265,-19,2792
11,24,3,UA,11,JFK,11.42,397,53,4162
2,17,1,AA,1521,ORD,19.5,230,29,2313
0,6,0,OO,5939,ORD,21.5,57,None,257
0,9,3,UA,1568,ORD,19.2,156,66,1629
3,11,5,OO,5826,ORD,10.58,43,22,108
1,21,4,AA,2200,SMF,6,195,15,2303
7,11,1,UA,222,SFO,9.08,319,0,3893
7,24,0,OH,5621,JFK,20,102,19,296
1,12,2,UA,432,ORD,13.67,108,38,964
4,22,4,UA,982,ORD,17.83,118,30,948
11,27,6,OH,6786,JFK,20.42,184,None,1191
0,13,0,B6,1604,JFK,12.08,76,-19,441
5,17,2,OH,5687,JFK,7.25,175,-14,1191
10,7,5,UA,466,SFO,16.7,148,8,1556
11,8,1,WN,3232,SFO,11.58,90,None,719
0,10,4,AA,179,JFK,8.75,395,17,4162
9,14,2,UA,472,SMF,6,236,0,2866
2,27,4,US,1630,SFO,9,290,-25,3695
0,28,1,US,2185,LGA,18,81,-14,344
10,23,0,OH,6377,JFK,14.83,105,-32,463
7,20,3,OH,5495,JFK,19.25,132,93,686
9,23,4,OO,5761,SFO,20.3,88,94,507
5,18,3,WN,3514,SMF,6.25,80,-5,600
2,27,4,AA,1659,ORD,21.08,85,232,649
8,9,2,UA,570,ORD,14.32,79,30,509
7,20,3,AA,1551,LGA,19.92,140,41,1230
11,20,6,UA,1164,SFO,22.35,88,38,719
7,6,3,OO,5857,ORD,22.17,55,-20,209
7,23,6,UA,479,SFO,19.28,118,-1,1093
11,1,1,AA,1797,ORD,12.42,70,163,415
2,28,5,AA,337,LGA,15.67,165,68,1180
6,30,3,B6,29,JFK,20.5,190,74,1617
2,14,5,AA,2495,ORD,9.67,85,171,649
7,4,1,UA,508,ORD,18.75,125,-5,1228
6,21,1,AA,1787,JFK,15.67,175,42,1617
3,3,4,B6,79,JFK,21.67,172,85,1519
6,23,3,WN,526,SMF,18,75,-3,626
3,17,4,AA,386,ORD,8.75,125,-13,1180
1,22,5,UA,1514,ORD,19.17,179,19,1902
6,3,4,UA,736,SFO,20.62,142,-3,1556
3,25,5,AA,413,ORD,11.67,255,67,2778
9,3,5,OO,6350,SFO,11.63,80,36,584
6,18,5,UA,182,ORD,13.22,127,None,975
4,24,6,OO,6015,ORD,9.75,108,21,896
10,8,6,OO,5978,ORD,6.7,104,-2,1053
1,22,5,OH,5263,LGA,15.98,96,None,470
5,17,2,B6,133,JFK,10.33,187,1,1728
7,8,5,B6,68,JFK,9.83,83,11,336
9,16,4,UA,1580,SFO,8.15,95,11,666
7,6,3,UA,638,ORD,9.02,126,137,1157
9,13,1,AA,1771,ORD,15.58,125,-16,975
0,19,6,UA,23,JFK,8.63,386,None,3983
7,6,3,AA,1787,JFK,15.67,175,-3,1617
7,25,1,OO,3912,SFO,13,108,21,964
3,15,2,WN,3415,SFO,12.67,85,-22,542
2,31,1,B6,202,JFK,17.17,101,53,484
2,17,1,B6,1002,JFK,7,78,8,301
11,22,1,OH,6799,JFK,12,173,33,1191
6,26,6,B6,97,JFK,20.08,272,85,2617
5,9,1,AA,2482,ORD,10.67,65,64,415
5,9,1,US,514,SJC,13.83,84,-5,621
9,6,1,B6,604,JFK,12.5,72,0,441
5,20,5,UA,518,ORD,16.3,86,34,663
7,4,1,UA,638,ORD,9.02,126,401,1157
3,14,1,HA,180,OGG,12.08,31,38,135
9,25,6,B6,148,JFK,21,99,252,430
7,15,5,UA,653,ORD,20.58,271,46,2943
6,18,5,UA,1568,ORD,18.7,160,44,1629
8,14,0,B6,87,JFK,17,328,42,3201
6,8,2,UA,675,ORD,19.93,169,21,1675
9,28,2,B6,197,JFK,9.75,341,25,3618
6,9,3,OH,5495,JFK,19.25,132,28,686
7,24,0,B6,87,JFK,13.75,325,0,3201
5,7,6,AA,2393,LGA,16,165,8,1225
0,28,1,OO,5460,SFO,11.53,79,21,402
8,24,3,B6,908,ORD,11.75,160,-35,1191
0,4,5,OO,6011,ORD,10.97,78,-5,520
1,7,4,AA,2426,SJC,18.42,190,-11,2314
4,24,6,OH,5232,ORD,9.58,141,39,1191
6,11,5,UA,528,ORD,9.32,135,115,1395
9,28,2,UA,186,SFO,13.95,328,84,4057
6,8,2,B6,21,JFK,17.92,192,68,1617
9,16,4,UA,836,ORD,18.08,141,None,1180
5,13,5,HA,529,OGG,13,34,-4,161
1,19,2,WN,456,SFO,19,85,77,719
5,9,1,WN,2737,TUS,9.58,140,-16,1202
8,27,6,UA,1184,SFO,5.92,145,47,1556
5,13,5,B6,623,JFK,8,232,-12,2298
10,3,1,UA,365,ORD,9.8,276,-23,2778
2,23,0,UA,664,ORD,18.85,53,None,220
7,6,3,UA,88,SFO,12.87,345,69,4128
7,4,1,OO,6035,ORD,16.77,95,437,658
9,4,6,AA,2317,ORD,10.58,145,-4,1291
0,18,5,OO,6677,SFO,8.17,82,9,678
1,2,6,UA,72,SFO,15.25,86,64,599
8,16,2,HA,197,OGG,20.42,34,-17,161
6,25,5,US,961,SFO,8.25,327,-6,4057
5,11,3,UA,111,ORD,11.57,251,142,2808
10,28,5,B6,1051,JFK,8,110,-29,547
9,22,3,UA,755,ORD,8,275,-11,2770
10,28,5,AA,510,ORD,19.42,75,-18,378
1,14,4,OO,5810,ORD,14.3,121,25,1154
1,3,0,AA,1635,JFK,8.08,230,0,2570
5,23,1,WN,2006,SFO,17,80,86,542
5,7,6,US,2122,LGA,10,78,-2,298
11,6,6,UA,381,ORD,9.8,278,-18,2866
1,6,3,AA,2361,ORD,21,140,None,1291
3,20,0,AA,751,LGA,14.42,230,28,2235
3,18,5,OO,6761,ORD,20.82,94,-5,750
6,24,4,AA,2333,ORD,15.25,145,33,1291
5,7,6,UA,63,SFO,16.83,323,-12,3809
11,3,3,US,1881,ORD,18.5,112,22,964
4,5,1,AA,378,ORD,11.75,125,21,1180
9,20,1,OO,5494,SFO,10.37,69,-14,320
4,16,5,WN,3482,SFO,19.83,80,18,542
9,15,3,UA,681,LGA,12.98,156,-2,1180
6,22,2,UA,685,LGA,15,154,108,1180
7,24,0,WN,2233,SJC,17.75,125,-3,1122
4,12,1,US,2130,LGA,14,75,-16,298
9,16,4,UA,1163,SFO,13.87,92,65,542
11,2,2,B6,130,JFK,18.83,109,-39,484
3,7,1,US,912,SFO,13.33,331,-28,4057
11,23,2,OH,6779,LGA,15.75,175,40,1342
0,14,1,OO,5956,ORD,19.33,107,21,1015
1,22,5,OH,5543,LGA,13.42,147,None,941
9,25,6,HA,315,OGG,11.08,34,4,161
10,19,3,B6,369,LGA,21,167,30,1666
10,8,6,B6,916,ORD,16.08,147,None,1191
5,21,6,UA,119,SFO,16.03,87,-7,542
6,15,2,HA,115,OGG,7.5,34,-4,161
0,27,0,OO,5492,SFO,17.17,43,None,124
5,19,4,AA,392,ORD,7.5,125,-1,1180
8,5,5,UA,941,ORD,17.23,266,5,2808
6,30,3,WN,2549,SJC,16.83,60,-2,476
0,16,3,AA,701,LGA,6,240,10,2235
4,22,4,B6,606,JFK,17.58,100,-1,441
5,30,1,WN,1517,SJC,12.75,70,-2,536
4,12,1,AA,1247,ORD,11,255,19,2808
4,9,5,AA,18,SFO,22,325,19,4162
7,26,2,WN,1284,SFO,20.58,85,-3,719
7,29,5,AA,1917,JFK,15.92,165,41,1519
10,5,3,B6,173,JFK,18.5,422,-42,4134
1,21,4,AA,1690,ORD,17.08,180,38,1902
5,21,6,WN,1198,SJC,14.08,80,-7,671
11,30,2,B6,807,JFK,17.5,208,-24,1720
8,7,0,OH,6762,JFK,9.17,104,16,484
7,15,5,UA,4,SFO,6,328,None,4162
2,21,5,OO,5824,ORD,8.02,54,None,175
0,22,2,UA,536,SJC,6.33,250,22,2943
9,26,0,OO,5952,ORD,18.08,133,52,1188
1,29,5,HA,315,OGG,11.08,34,-9,161
4,11,0,UA,374,SFO,11.58,206,92,2420
7,2,6,US,178,SFO,8.92,92,-14,666
10,10,1,OO,5452,SFO,19.58,42,-7,124
2,31,1,OH,5364,JFK,18.33,102,None,343
1,24,0,WN,1478,SJC,20.83,75,10,550
10,6,4,OO,5886,ORD,19.3,100,123,764
7,13,3,OH,5081,LGA,11.75,181,32,1627
11,21,0,WN,199,SFO,14,100,125,666
1,11,1,OO,5474,SFO,8.67,79,-6,402
7,19,2,B6,629,JFK,20.08,247,-24,2298
0,18,5,OO,5817,ORD,7,55,-5,253
3,7,1,AA,2301,ORD,6,140,3,1291
3,20,0,HA,11,SFO,8.83,310,8,3859
11,22,1,UA,770,SFO,12.67,155,36,1556
2,20,4,UA,19,JFK,19.97,404,25,4162
6,27,0,AA,1297,LGA,19.25,150,87,1225
6,30,3,US,740,ORD,13.83,126,6,1091
8,2,2,OH,6383,LGA,11.25,116,3,694
5,5,4,UA,888,SFO,11.58,89,40,542
10,8,6,UA,456,ORD,8,123,49,1091
0,20,0,B6,904,ORD,9.42,130,66,1191
0,12,6,WN,2383,SJC,14.17,60,-8,476
11,24,3,WN,1963,SMF,19.58,85,16,650
5,20,5,UA,1220,SJC,7.67,156,-24,1526
9,24,5,UA,10,SFO,11.62,343,25,4162
3,21,1,UA,395,ORD,17.75,259,34,2773
7,27,3,AA,1559,LGA,17.42,190,84,1765
7,16,6,AA,1103,ORD,8.42,150,29,1429
5,19,4,AA,127,JFK,15.42,330,8,3936
0,22,2,WN,2283,SFO,18.25,85,6,666
7,8,5,OO,5497,SFO,22.72,80,33,402
2,17,1,UA,146,ORD,18.57,115,-4,1041
