CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Congo  Rep.,1961,94943000,64.213,
Egypt  Arab Rep.,1961,891451,52.412,
Hong Kong SAR  China,1961,10129861,44.746,
Iran  Islamic Rep.,1961,8361442,7.565,
Korea  Dem. Rep.,1961,42261,16.918,
Korea  Rep.,PRK,1961,11665593,41.162
Macao SAR  China,KOR,1961,25765673,28.531
Macedonia  FYR,1961,294639,75.787,
Micronesia  Fed. Sts.,1961,2255900,34.511,
Venezuela  RB,1961,2169287,8.02,
Yemen  Rep.,1961,2152681,53.663,
Congo  Dem. Rep.,1961,1864605,44.039,
Congo  Rep.,1961,866253,3.96,
Egypt  Arab Rep.,1961,1144896,19.291,
Hong Kong SAR  China,1961,1483856,28.197,
Iran  Islamic Rep.,1961,16894,20.315,
Korea  Dem. Rep.,1961,2823550,40.443,
Korea  Rep.,1961,316845,69.927,
Macao SAR  China,MAC,1961,175135,95.328
Macedonia  FYR,MKD,1961,1507653,35.214
Micronesia  Fed. Sts.,1961,5223621,10.971,
Venezuela  RB,1961,3700032,4.489,
Yemen  Rep.,1961,8429369,27.241,
Congo  Dem. Rep.,1961,92327,11.23,
Congo  Rep.,1961,5322267,11.361,
Egypt  Arab Rep.,1961,325250,90.069,
Hong Kong SAR  China,1961,15052,36.959,
Iran  Islamic Rep.,1961,883223,7.435,
Korea  Dem. Rep.,1961,680757,33.637,
Korea  Rep.,1961,39394125,51.59,
Macao SAR  China,FSM,1961,45956,22.553
Macedonia  FYR,1961,2605000,24.216,
Micronesia  Fed. Sts.,1961,22812,100,
Venezuela  RB,1961,982180,37.682,
Yemen  Rep.,1961,480359,19.502,
Congo  Dem. Rep.,1961,12713043,29.849,
Congo  Rep.,1961,7643290,4.949,
Egypt  Arab Rep.,1961,21961594,19.566,
Hong Kong SAR  China,1961,617282,18.334,
Iran  Islamic Rep.,1961,10215153,3.571,
Korea  Dem. Rep.,1961,11638712,60.02,
Korea  Rep.,1961,81200,38.781,
Macao SAR  China,1961,2419700,76.525,
Macedonia  FYR,1961,1830400,40.03,
Micronesia  Fed. Sts.,1961,3493636,5.896,
Venezuela  RB,1961,46144154,15.633,
Yemen  Rep.,1961,10340,52.741,
Congo  Dem. Rep.,1961,3609800,50.998,
Congo  Rep.,1961,564895,17.475,
Egypt  Arab Rep.,1961,45988447,22.501,
Hong Kong SAR  China,1961,9901,57.114,
Iran  Islamic Rep.,1961,1167041,41.853,
Korea  Dem. Rep.,1961,2001048,4.024,
Korea  Rep.,1961,1953331,35.67,
Macao SAR  China,1961,10350239,47.398,
Macedonia  FYR,1961,27164618,30.555,
Micronesia  Fed. Sts.,1961,29964000,48.527,
Venezuela  RB,1961,8929316,35.344,
Yemen  Rep.,1961,2399722,45.933,
Congo  Dem. Rep.,1961,51355,85.693,
Congo  Rep.,1961,18555250,34.894,
Egypt  Arab Rep.,1961,121236000,54.626,
Hong Kong SAR  China,1961,2996091,2.654,
Iran  Islamic Rep.,1961,112121,18.986,
Korea  Dem. Rep.,1961,15787,50.001,
Korea  Rep.,1961,64549,16.805,
Macao SAR  China,1961,4218879,32.373,
Macedonia  FYR,1961,3265558,23.645,
Micronesia  Fed. Sts.,1961,42889,28.717,
Venezuela  RB,1961,2210169,17.903,
Yemen  Rep.,1961,1702400,100,
Congo  Dem. Rep.,1961,4191667,33.953,
Congo  Rep.,1961,1594131,29.107,
Egypt  Arab Rep.,1961,121403,6.038,
Hong Kong SAR  China,1961,2814683,17.835,
Iran  Islamic Rep.,1961,17949962,46.793,
Korea  Dem. Rep.,1961,3011112,8.737,
Korea  Rep.,1961,30739250,57.303,
Macao SAR  China,1961,10168000,16.592,
Macedonia  FYR,1961,51195,28.269,
Micronesia  Fed. Sts.,1961,90913,21.696,
Venezuela  RB,1961,82144,26.394,
Yemen  Rep.,1961,7749884,11.232,
Congo  Dem. Rep.,1961,298190,47.297,
Congo  Rep.,1961,357522,4.335,
Egypt  Arab Rep.,1961,7519998,73.295,
Hong Kong SAR  China,1961,5434294,51.671,
Iran  Islamic Rep.,1961,4742596,37.399,
Korea  Dem. Rep.,1961,2140413,33.56,
Korea  Rep.,1961,10373380,5.394,
Macao SAR  China,1961,28224208,19.781,
Macedonia  FYR,1961,508311,10.243,
Micronesia  Fed. Sts.,1961,1597528,10.94,
Venezuela  RB,1961,63740,17.929,
Yemen  Rep.,1961,865356,16.712,
Congo  Dem. Rep.,1961,4277371,37.95,
Congo  Rep.,1961,28229291,32.064,
Egypt  Arab Rep.,1961,1649914,46.557,
Hong Kong SAR  China,1961,5760,48.021,
Iran  Islamic Rep.,1961,6242,16.444,
Korea  Dem. Rep.,1961,7006629,4.617,
Korea  Rep.,1961,43203635,47.542,
Macao SAR  China,1961,100985,74.383,
Macedonia  FYR,1961,52800000,78.374,
Micronesia  Fed. Sts.,1961,183691000,70.377,
Venezuela  RB,1961,2571691,80.462,
Yemen  Rep.,1961,9044671,34.238,
Congo  Dem. Rep.,1961,65708,10.583,
Congo  Rep.,VEN,1961,8461684,62.875
Egypt  Arab Rep.,1961,35428000,15.031,
Hong Kong SAR  China,1961,34100,57.864,
Iran  Islamic Rep.,YEM,1961,5251663,9.459
Korea  Dem. Rep.,1961,3142848,18.951,
Korea  Rep.,1961,3876638,12.821,
Macao SAR  China,1962,97691498,32.78032272,
Macedonia  FYR,1962,4353408,32.05786052,
Micronesia  Fed. Sts.,1962,93014890,45.8665647,
Venezuela  RB,1962,1059972418,23.65114533,
Yemen  Rep.,1962,907395358,17.86273603,
Congo  Dem. Rep.,1962,270324828,63.0685782,
Congo  Rep.,1962,683114331,56.44986278,
Egypt  Arab Rep.,1962,161168870,39.45312697,
Hong Kong SAR  China,1962,416670637,62.12602785,
Iran  Islamic Rep.,1962,126006115,18.90754076,
Korea  Dem. Rep.,1962,170332701,12.94174489,
Korea  Rep.,1962,933025406,63.81282869,
Macao SAR  China,1962,192729589,57.83840539,
Macedonia  FYR,1962,740295817,65.2758986,
Micronesia  Fed. Sts.,1962,233183206,50.87269514,
Venezuela  RB,1962,188416186,46.56671496,
Yemen  Rep.,1962,252585904,10.12944635,
Congo  Dem. Rep.,1962,2195966846,22.21795504,
Congo  Rep.,1962,164180179,12.05842281,
Egypt  Arab Rep.,1962,986301567,20.30878851,
Hong Kong SAR  China,1962,111418951,36.47676801,
Iran  Islamic Rep.,1962,103183668,35.31788397,
Korea  Dem. Rep.,1962,2031786667,23.03930615,
Korea  Rep.,1962,205198600,70.73978371,
Macao SAR  China,1962,809855392,63.46448957,
Macedonia  FYR,1962,6853517,15.26052673,
Micronesia  Fed. Sts.,1962,919276,22.9133753,
Venezuela  RB,1962,12126201,21.87106596,
Yemen  Rep.,1962,596701125,17.05441032,
Congo  Dem. Rep.,1962,239403621,15.26036203,
Congo  Rep.,1962,239101639,15.24584821,
Egypt  Arab Rep.,1962,1045485100,25.61265674,
Hong Kong SAR  China,1962,3128992252,34.51782046,
Iran  Islamic Rep.,1962,9343772,8.805,
Korea  Dem. Rep.,1962,1711319,31.015,
Korea  Rep.,1962,11690152,33.214,
Macao SAR  China,1962,21118,67.068,
Macedonia  FYR,1962,15376,63.462,
Micronesia  Fed. Sts.,1962,5465905,11.204,
Venezuela  RB,1962,56311,38.427,
Yemen  Rep.,1962,21287682,74.767,
Congo  Dem. Rep.,1962,2002170,53.019,
Congo  Rep.,1962,56226,50.746,
Egypt  Arab Rep.,1962,10742000,82.337,
Hong Kong SAR  China,1962,7129864,64.863,
Iran  Islamic Rep.,1962,4167558,52.064,
Korea  Dem. Rep.,1962,121083,61.193,
Korea  Rep.,1962,173107,82.355,
Macao SAR  China,1962,51030604,5.498,
Macedonia  FYR,1962,232584,36.922,
Micronesia  Fed. Sts.,1962,8351928,34.663,
Venezuela  RB,1962,9220578,92.679,
Yemen  Rep.,1962,97389,53.41,
Congo  Dem. Rep.,1962,2503232,10.47,
Congo  Rep.,1962,46600,100,
Egypt  Arab Rep.,1962,234703,3.999,
Hong Kong SAR  China,1962,3838096,37.357,
Iran  Islamic Rep.,1962,3341809,20.437,
Korea  Dem. Rep.,1962,549990,3.134,
Korea  Rep.,1962,77007549,48.099,
Macao SAR  China,1962,89603,47.07,
Macedonia  FYR,1962,8012946,40.494,
Micronesia  Fed. Sts.,1962,4960325,4.893,
Venezuela  RB,1962,2894510,2.154,
Yemen  Rep.,1962,210866,17.224,
Congo  Dem. Rep.,1962,6026696,10.333,
Congo  Rep.,1962,5593768,15.058,
Egypt  Arab Rep.,1962,18614000,70.494,
Hong Kong SAR  China,1962,8142,100,
Iran  Islamic Rep.,1962,1556656,21.418,
Korea  Dem. Rep.,1962,3122357,7.239,
Korea  Rep.,1962,111463,38.172,
Macao SAR  China,1962,8054166,69.435,
Macedonia  FYR,1962,665770000,17.226,
Micronesia  Fed. Sts.,1962,17500166,47.628,
Venezuela  RB,1962,194960,14.189,
Yemen  Rep.,ZAR,1962,16041247,22.749
Congo  Dem. Rep.,COG,1962,1067611,33.045
Congo  Rep.,1962,1432583,34.404,
Egypt  Arab Rep.,1962,3740503,20.21,
Hong Kong SAR  China,1962,4202104,32.001,
Iran  Islamic Rep.,1962,7450404,58.776,
Korea  Dem. Rep.,1962,128414,75.49,
Korea  Rep.,1962,577691,36.674,
Macao SAR  China,1962,9624660,60.555,
Macedonia  FYR,1962,4647727,75.093,
Micronesia  Fed. Sts.,1962,94200,52.619,
Venezuela  RB,1962,61984,37.979,
Yemen  Rep.,1962,3521276,32.094,
Congo  Dem. Rep.,1962,4812892,35.06,
Congo  Rep.,EGY,1962,28560741,38.624
Egypt  Arab Rep.,1962,2927861,38.614,
Hong Kong SAR  China,1962,257940,26.234,
Iran  Islamic Rep.,1962,1476321,10.377,
Korea  Dem. Rep.,1962,1241623,59.072,
Korea  Rep.,1962,23221331,6.874,
Macao SAR  China,1962,35153,22.962,
Macedonia  FYR,1962,421576,30.823,
Micronesia  Fed. Sts.,1962,4491443,57.162,
Venezuela  RB,1962,48119649,63.489,
Yemen  Rep.,1962,83654,44.16,
Congo  Dem. Rep.,1962,509806,19.594,
Congo  Rep.,1962,383525,12.535,
Egypt  Arab Rep.,1962,3760300,44.051,
Hong Kong SAR  China,1962,74025784,71.762,
Iran  Islamic Rep.,1962,7085463,24.352,
Korea  Dem. Rep.,1962,8448233,57.34,
Korea  Rep.,1962,35000,61.406,
Macao SAR  China,1962,92424,30.707,
Macedonia  FYR,1962,69607,52.314,
Micronesia  Fed. Sts.,1962,4356579,32.424,
Venezuela  RB,1962,3690960,11.418,
Yemen  Rep.,1962,629973,13.895,
Congo  Dem. Rep.,1962,600559,29.089,
Congo  Rep.,1962,4022596,16.365,
Egypt  Arab Rep.,1962,2139208,23.9,
Hong Kong SAR  China,HKG,1962,3305200,85.582
Iran  Islamic Rep.,1962,10061734,56.758,
Korea  Dem. Rep.,1962,182378,81.297,
Korea  Rep.,1962,468054145,18.218,
