stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.85,963.0,316.0,1908.0,1214.0,1253.0,295.0,197.0,1234.0,1372.0,1182.0,1616.0,959.0
1.737,897.0,202.0,1854.0,790.0,1147.0,284.0,210.0,1140.0,1263.0,981.0,1488.0,900.0
1.743,860.0,263.0,1769.0,1002.0,1209.0,275.0,196.0,1097.0,1261.0,1086.0,1484.0,931.0
1.744,900.0,187.0,1773.0,748.0,1012.0,250.0,184.0,1088.0,1311.0,865.0,1501.0,932.0
1.679,874.0,291.0,1749.0,1043.0,1233.0,258.0,189.0,1096.0,1246.0,1205.0,1440.0,857.0
1.836,912.0,210.0,1810.0,864.0,1150.0,293.0,206.0,1119.0,1374.0,1013.0,1583.0,992.0
1.73,893.0,226.0,1765.0,969.0,1244.0,269.0,190.0,1127.0,1249.0,1152.0,1501.0,913.0
1.7619999999999998,899.0,273.0,1810.0,1095.0,1167.0,272.0,198.0,1188.0,1279.0,1096.0,1522.0,927.0
1.669,805.0,193.0,1724.0,770.0,1086.0,256.0,190.0,1017.0,1190.0,957.0,1411.0,921.0
1.74,844.0,219.0,1766.0,840.0,1100.0,260.0,200.0,1131.0,1249.0,985.0,1490.0,940.0
1.709,908.0,270.0,1766.0,1028.0,1190.0,237.0,183.0,1113.0,1239.0,1063.0,1485.0,918.0
1.879,970.0,277.0,1876.0,1021.0,1195.0,295.0,212.0,1174.0,1392.0,1137.0,1601.0,999.0
1.6740000000000002,831.0,282.0,1716.0,1061.0,1123.0,255.0,184.0,1106.0,1220.0,1106.0,1440.0,890.0
1.779,911.0,288.0,1803.0,1139.0,1254.0,287.0,206.0,1168.0,1306.0,1166.0,1530.0,929.0
1.844,939.0,230.0,1929.0,922.0,1164.0,279.0,203.0,1161.0,1370.0,1081.0,1596.0,946.0
1.6369999999999998,847.0,265.0,1680.0,995.0,1073.0,255.0,187.0,1067.0,1229.0,1006.0,1426.0,867.0
1.754,907.0,281.0,1786.0,1047.0,1187.0,268.0,185.0,1163.0,1289.0,1153.0,1519.0,932.0
1.704,842.0,223.0,1709.0,885.0,1155.0,265.0,190.0,1076.0,1223.0,1037.0,1456.0,918.0
1.84,971.0,406.0,1993.0,1379.0,1309.0,283.0,213.0,1279.0,1349.0,1469.0,1600.0,954.0
1.783,973.0,192.0,1922.0,750.0,1093.0,282.0,196.0,1140.0,1343.0,901.0,1543.0,879.0
1.7480000000000002,882.0,248.0,1737.0,970.0,1184.0,253.0,187.0,1103.0,1268.0,1071.0,1501.0,939.0
1.703,898.0,288.0,1815.0,1068.0,1252.0,267.0,189.0,1090.0,1285.0,1263.0,1492.0,904.0
1.852,936.0,251.0,1902.0,1012.0,1234.0,286.0,205.0,1190.0,1365.0,1146.0,1597.0,965.0
1.609,841.0,193.0,1676.0,754.0,1035.0,249.0,178.0,1010.0,1208.0,858.0,1388.0,852.0
1.709,909.0,235.0,1797.0,926.0,1130.0,248.0,184.0,1122.0,1248.0,1044.0,1476.0,867.0
1.835,950.0,205.0,1879.0,827.0,1065.0,270.0,193.0,1153.0,1357.0,904.0,1577.0,966.0
1.679,883.0,239.0,1805.0,940.0,1141.0,264.0,191.0,1150.0,1217.0,1033.0,1457.0,882.0
1.742,912.0,312.0,1811.0,1133.0,1161.0,267.0,197.0,1155.0,1268.0,1160.0,1504.0,919.0
1.6980000000000002,885.0,207.0,1683.0,843.0,1037.0,264.0,178.0,1090.0,1251.0,971.0,1465.0,895.0
1.671,840.0,270.0,1764.0,1021.0,1112.0,248.0,180.0,1082.0,1192.0,1050.0,1443.0,899.0
1.85,969.0,291.0,1878.0,1061.0,1258.0,284.0,199.0,1243.0,1360.0,1213.0,1605.0,963.0
1.754,884.0,192.0,1830.0,786.0,1117.0,264.0,190.0,1114.0,1300.0,944.0,1509.0,915.0
1.619,842.0,217.0,1705.0,855.0,1143.0,255.0,184.0,1096.0,1179.0,989.0,1407.0,853.0
1.7719999999999998,917.0,196.0,1810.0,830.0,1116.0,274.0,196.0,1106.0,1304.0,975.0,1521.0,930.0
1.705,922.0,193.0,1832.0,743.0,1067.0,278.0,203.0,1147.0,1279.0,939.0,1460.0,834.0
1.619,815.0,246.0,1699.0,967.0,1143.0,256.0,180.0,1045.0,1191.0,1091.0,1381.0,868.0
1.726,870.0,226.0,1735.0,922.0,1156.0,256.0,181.0,1074.0,1253.0,983.0,1470.0,953.0
1.84,963.0,291.0,1846.0,1120.0,1192.0,273.0,195.0,1200.0,1361.0,1129.0,1587.0,943.0
1.743,894.0,284.0,1798.0,1060.0,1217.0,256.0,181.0,1155.0,1264.0,1205.0,1509.0,918.0
1.6740000000000002,845.0,277.0,1743.0,1030.0,1201.0,256.0,190.0,1147.0,1227.0,1123.0,1448.0,899.0
1.75,938.0,244.0,1876.0,974.0,1264.0,299.0,210.0,1150.0,1288.0,1129.0,1540.0,895.0
1.819,935.0,210.0,1886.0,844.0,1271.0,274.0,200.0,1174.0,1348.0,1048.0,1562.0,947.0
1.7990000000000002,957.0,254.0,1894.0,969.0,1189.0,297.0,208.0,1207.0,1326.0,1063.0,1551.0,910.0
1.75,932.0,260.0,1813.0,1010.0,1173.0,255.0,188.0,1189.0,1296.0,1098.0,1525.0,900.0
1.723,914.0,227.0,1830.0,892.0,1140.0,260.0,191.0,1123.0,1285.0,972.0,1493.0,884.0
1.809,948.0,281.0,1798.0,1032.0,1142.0,278.0,201.0,1168.0,1347.0,1127.0,1573.0,928.0
1.791,888.0,214.0,1807.0,851.0,1142.0,272.0,190.0,1123.0,1302.0,963.0,1532.0,967.0
1.723,879.0,253.0,1801.0,979.0,1193.0,260.0,191.0,1157.0,1276.0,1098.0,1479.0,901.0
1.578,746.0,217.0,1536.0,857.0,1013.0,233.0,165.0,1035.0,1116.0,953.0,1333.0,863.0
1.7180000000000002,882.0,245.0,1797.0,979.0,1116.0,273.0,192.0,1092.0,1270.0,1024.0,1481.0,898.0
1.7990000000000002,898.0,247.0,1785.0,984.0,1151.0,268.0,194.0,1144.0,1305.0,1043.0,1538.0,978.0
1.74,939.0,186.0,1819.0,721.0,1095.0,268.0,194.0,1146.0,1290.0,902.0,1495.0,875.0
1.702,870.0,227.0,1765.0,885.0,1137.0,268.0,204.0,1071.0,1235.0,1008.0,1459.0,914.0
1.737,898.0,237.0,1798.0,961.0,1187.0,269.0,197.0,1082.0,1288.0,1027.0,1510.0,921.0
1.73,874.0,257.0,1744.0,996.0,1142.0,266.0,187.0,1110.0,1314.0,1044.0,1502.0,913.0
1.785,901.0,209.0,1774.0,838.0,1064.0,268.0,192.0,1116.0,1307.0,917.0,1525.0,962.0
1.817,960.0,190.0,1954.0,752.0,1096.0,287.0,203.0,1151.0,1336.0,917.0,1567.0,927.0
1.843,955.0,198.0,1876.0,775.0,1128.0,277.0,202.0,1160.0,1364.0,924.0,1580.0,948.0
1.791,950.0,184.0,1875.0,809.0,1179.0,264.0,195.0,1154.0,1345.0,994.0,1546.0,919.0
1.6569999999999998,845.0,212.0,1663.0,862.0,1128.0,248.0,175.0,1099.0,1223.0,1001.0,1419.0,862.0
1.7009999999999998,895.0,267.0,1749.0,1027.0,1124.0,265.0,184.0,1131.0,1251.0,1069.0,1464.0,891.0
1.786,880.0,207.0,1855.0,797.0,1148.0,262.0,186.0,1107.0,1298.0,995.0,1533.0,955.0
1.755,894.0,289.0,1813.0,1082.0,1197.0,269.0,195.0,1135.0,1294.0,1104.0,1515.0,930.0
1.791,920.0,247.0,1883.0,942.0,1157.0,274.0,204.0,1152.0,1332.0,1045.0,1560.0,910.0
1.759,890.0,208.0,1778.0,871.0,1127.0,275.0,182.0,1124.0,1288.0,1015.0,1519.0,928.0
1.79,914.0,253.0,1862.0,912.0,1195.0,269.0,191.0,1196.0,1310.0,1109.0,1536.0,927.0
1.7819999999999998,896.0,218.0,1691.0,873.0,1123.0,260.0,183.0,1146.0,1297.0,991.0,1530.0,963.0
1.839,950.0,211.0,1826.0,785.0,961.0,282.0,201.0,1175.0,1377.0,844.0,1584.0,968.0
1.88,977.0,261.0,1909.0,1023.0,1154.0,280.0,197.0,1265.0,1407.0,1176.0,1651.0,931.0
1.7380000000000002,897.0,244.0,1828.0,924.0,1222.0,278.0,192.0,1088.0,1276.0,1085.0,1498.0,948.0
1.734,886.0,273.0,1816.0,1001.0,1194.0,270.0,196.0,1141.0,1272.0,1085.0,1498.0,919.0
1.819,998.0,241.0,1990.0,901.0,1220.0,284.0,204.0,1159.0,1341.0,1021.0,1588.0,921.0
1.683,884.0,245.0,1748.0,958.0,1162.0,265.0,194.0,1128.0,1257.0,1096.0,1446.0,890.0
1.815,953.0,234.0,1837.0,972.0,1156.0,275.0,192.0,1185.0,1340.0,1063.0,1587.0,945.0
1.815,906.0,238.0,1799.0,939.0,1154.0,279.0,199.0,1152.0,1329.0,1030.0,1573.0,974.0
1.673,845.0,279.0,1724.0,1003.0,1197.0,246.0,177.0,1051.0,1223.0,1106.0,1438.0,908.0
1.831,931.0,308.0,1880.0,1139.0,1243.0,285.0,209.0,1226.0,1353.0,1163.0,1579.0,967.0
1.795,959.0,319.0,1752.0,1162.0,1161.0,263.0,191.0,1156.0,1311.0,1089.0,1552.0,926.0
1.845,960.0,294.0,1918.0,1111.0,1228.0,275.0,197.0,1228.0,1352.0,1149.0,1595.0,961.0
1.6869999999999998,836.0,223.0,1727.0,900.0,1127.0,246.0,182.0,1009.0,1229.0,1041.0,1432.0,940.0
1.756,918.0,271.0,1786.0,998.0,1117.0,274.0,190.0,1137.0,1279.0,1056.0,1518.0,928.0
1.846,1011.0,373.0,1919.0,1330.0,1368.0,294.0,208.0,1275.0,1411.0,1358.0,1627.0,927.0
1.6569999999999998,836.0,228.0,1719.0,897.0,1219.0,254.0,180.0,1087.0,1196.0,1025.0,1431.0,897.0
1.632,841.0,222.0,1723.0,911.0,1105.0,257.0,174.0,1070.0,1186.0,1000.0,1400.0,857.0
1.735,895.0,230.0,1858.0,861.0,1186.0,267.0,192.0,1119.0,1280.0,1026.0,1494.0,916.0
1.726,889.0,229.0,1745.0,920.0,1064.0,269.0,185.0,1086.0,1252.0,989.0,1499.0,925.0
1.877,962.0,330.0,1914.0,1192.0,1258.0,283.0,207.0,1229.0,1432.0,1251.0,1642.0,986.0
1.887,959.0,251.0,1915.0,1012.0,1183.0,289.0,205.0,1184.0,1385.0,1030.0,1608.0,1007.0
1.765,987.0,224.0,1855.0,845.0,1060.0,284.0,200.0,1183.0,1322.0,970.0,1530.0,878.0
1.793,988.0,214.0,1917.0,843.0,1201.0,280.0,196.0,1142.0,1327.0,1035.0,1561.0,903.0
1.849,930.0,233.0,1916.0,910.0,1268.0,288.0,203.0,1196.0,1371.0,1076.0,1577.0,992.0
1.811,945.0,217.0,1892.0,879.0,1151.0,263.0,197.0,1149.0,1332.0,1038.0,1576.0,944.0
1.739,891.0,265.0,1786.0,1031.0,1210.0,276.0,191.0,1131.0,1292.0,1113.0,1524.0,930.0
1.668,872.0,228.0,1716.0,929.0,1085.0,275.0,185.0,1129.0,1227.0,1011.0,1443.0,843.0
1.788,926.0,241.0,1891.0,994.0,1144.0,270.0,196.0,1220.0,1297.0,1024.0,1548.0,941.0
1.746,962.0,214.0,1869.0,815.0,1182.0,281.0,208.0,1189.0,1297.0,997.0,1522.0,857.0
1.75,933.0,254.0,1812.0,983.0,1165.0,265.0,196.0,1112.0,1291.0,1057.0,1502.0,908.0
1.81,923.0,249.0,1883.0,1004.0,1242.0,285.0,206.0,1164.0,1355.0,1082.0,1558.0,951.0
1.71,853.0,204.0,1707.0,825.0,1115.0,260.0,188.0,1053.0,1250.0,1002.0,1477.0,930.0
1.847,971.0,273.0,1978.0,1077.0,1223.0,288.0,204.0,1219.0,1371.0,1132.0,1601.0,956.0
1.811,929.0,225.0,1780.0,952.0,1162.0,276.0,183.0,1145.0,1345.0,1123.0,1564.0,945.0
1.78,956.0,281.0,1977.0,1047.0,1286.0,296.0,222.0,1170.0,1311.0,1175.0,1558.0,906.0
1.74,898.0,212.0,1762.0,851.0,1170.0,259.0,188.0,1107.0,1273.0,1021.0,1499.0,943.0
1.797,919.0,221.0,1846.0,920.0,1224.0,278.0,197.0,1150.0,1333.0,1115.0,1535.0,944.0
1.755,927.0,240.0,1827.0,934.0,1241.0,282.0,189.0,1180.0,1294.0,1112.0,1526.0,896.0
1.842,972.0,281.0,1937.0,1114.0,1248.0,286.0,205.0,1255.0,1334.0,1165.0,1609.0,949.0
1.656,869.0,224.0,1733.0,967.0,1157.0,259.0,180.0,1089.0,1210.0,1056.0,1445.0,868.0
1.776,908.0,256.0,1827.0,1007.0,1183.0,272.0,190.0,1160.0,1293.0,1048.0,1536.0,940.0
1.859,989.0,301.0,1836.0,1109.0,1199.0,284.0,195.0,1208.0,1363.0,1137.0,1604.0,980.0
1.685,850.0,212.0,1732.0,827.0,1154.0,266.0,190.0,1036.0,1224.0,1041.0,1471.0,926.0
1.775,918.0,224.0,1811.0,947.0,1176.0,278.0,190.0,1158.0,1277.0,1027.0,1535.0,951.0
1.825,1014.0,225.0,2007.0,881.0,1162.0,290.0,211.0,1237.0,1356.0,1021.0,1598.0,892.0
1.931,1015.0,198.0,2012.0,833.0,1168.0,284.0,204.0,1254.0,1430.0,1001.0,1682.0,989.0
1.789,944.0,244.0,1857.0,963.0,1235.0,275.0,192.0,1160.0,1298.0,1126.0,1539.0,952.0
1.819,953.0,301.0,1875.0,1100.0,1295.0,281.0,195.0,1156.0,1365.0,1225.0,1575.0,955.0
1.7819999999999998,919.0,208.0,1824.0,852.0,1216.0,262.0,188.0,1132.0,1293.0,1070.0,1544.0,933.0
1.721,880.0,240.0,1740.0,941.0,1200.0,259.0,183.0,1123.0,1279.0,1102.0,1484.0,944.0
1.91,1004.0,250.0,1989.0,1026.0,1314.0,298.0,210.0,1290.0,1400.0,1194.0,1663.0,968.0
1.804,945.0,251.0,1890.0,978.0,1181.0,276.0,199.0,1185.0,1349.0,1097.0,1576.0,939.0
1.7819999999999998,950.0,306.0,1827.0,1150.0,1235.0,270.0,201.0,1197.0,1302.0,1208.0,1533.0,908.0
1.777,931.0,245.0,1809.0,935.0,1245.0,272.0,177.0,1206.0,1337.0,1116.0,1539.0,917.0
1.665,830.0,227.0,1769.0,923.0,1096.0,260.0,188.0,1072.0,1234.0,995.0,1415.0,909.0
1.803,950.0,255.0,1855.0,973.0,1183.0,263.0,185.0,1177.0,1357.0,1092.0,1555.0,940.0
1.879,1008.0,226.0,2022.0,908.0,1272.0,300.0,218.0,1252.0,1389.0,1079.0,1628.0,945.0
1.733,899.0,288.0,1776.0,1111.0,1226.0,249.0,183.0,1123.0,1275.0,1179.0,1512.0,902.0
1.835,978.0,276.0,1892.0,1031.0,1204.0,278.0,200.0,1213.0,1350.0,1084.0,1608.0,949.0
1.7919999999999998,939.0,278.0,1819.0,1164.0,1248.0,277.0,196.0,1176.0,1333.0,1150.0,1547.0,955.0
1.721,870.0,242.0,1749.0,1006.0,1149.0,272.0,187.0,1055.0,1244.0,1098.0,1482.0,938.0
1.711,888.0,268.0,1756.0,1018.0,1175.0,262.0,183.0,1138.0,1278.0,1142.0,1489.0,903.0
1.809,945.0,231.0,1817.0,992.0,1216.0,268.0,184.0,1137.0,1346.0,1071.0,1561.0,959.0
1.664,869.0,215.0,1706.0,908.0,1168.0,261.0,179.0,1117.0,1255.0,1021.0,1435.0,871.0
1.807,933.0,247.0,1893.0,1053.0,1212.0,279.0,207.0,1147.0,1336.0,1241.0,1561.0,970.0
1.705,887.0,222.0,1766.0,912.0,1128.0,270.0,185.0,1107.0,1261.0,1027.0,1473.0,906.0
1.955,1021.0,265.0,2076.0,1049.0,1291.0,299.0,222.0,1287.0,1458.0,1167.0,1698.0,1009.0
1.73,875.0,230.0,1771.0,917.0,1190.0,274.0,185.0,1154.0,1267.0,1082.0,1484.0,924.0
1.774,927.0,290.0,1812.0,1066.0,1184.0,278.0,194.0,1177.0,1278.0,1139.0,1531.0,931.0
1.724,912.0,199.0,1710.0,848.0,1080.0,260.0,177.0,1133.0,1268.0,947.0,1497.0,912.0
1.705,888.0,200.0,1762.0,759.0,1097.0,260.0,195.0,1070.0,1251.0,948.0,1458.0,904.0
1.838,950.0,251.0,1877.0,959.0,1151.0,274.0,196.0,1185.0,1363.0,1058.0,1601.0,945.0
1.706,892.0,242.0,1706.0,970.0,1203.0,245.0,185.0,1131.0,1260.0,1102.0,1463.0,902.0
1.809,960.0,292.0,1895.0,1068.0,1225.0,272.0,198.0,1214.0,1357.0,1179.0,1577.0,927.0
1.773,933.0,251.0,1823.0,972.0,1134.0,282.0,197.0,1134.0,1302.0,1028.0,1549.0,917.0
1.734,886.0,261.0,1746.0,993.0,1109.0,271.0,196.0,1137.0,1288.0,1048.0,1506.0,923.0
1.7480000000000002,898.0,228.0,1821.0,898.0,1134.0,268.0,187.0,1127.0,1267.0,969.0,1509.0,914.0
1.651,832.0,246.0,1689.0,964.0,1186.0,262.0,182.0,1047.0,1210.0,1125.0,1412.0,915.0
1.724,885.0,211.0,1873.0,881.0,1107.0,275.0,193.0,1165.0,1269.0,1049.0,1498.0,873.0
1.86,954.0,207.0,1912.0,821.0,1122.0,286.0,207.0,1231.0,1379.0,957.0,1615.0,960.0
1.715,875.0,200.0,1750.0,801.0,1085.0,266.0,185.0,1126.0,1267.0,913.0,1464.0,913.0
1.757,919.0,227.0,1807.0,845.0,1126.0,279.0,196.0,1132.0,1287.0,995.0,1521.0,932.0
1.916,979.0,271.0,1963.0,1134.0,1252.0,292.0,204.0,1245.0,1412.0,1237.0,1665.0,1001.0
1.847,992.0,217.0,1904.0,877.0,1173.0,280.0,198.0,1225.0,1379.0,1018.0,1594.0,913.0
1.855,990.0,222.0,1969.0,951.0,1270.0,289.0,203.0,1228.0,1372.0,1059.0,1610.0,937.0
1.7180000000000002,880.0,223.0,1757.0,867.0,1083.0,261.0,186.0,1094.0,1267.0,907.0,1467.0,930.0
1.641,806.0,275.0,1690.0,1029.0,1178.0,257.0,185.0,1059.0,1183.0,1063.0,1404.0,897.0
1.833,945.0,204.0,1891.0,879.0,1171.0,293.0,204.0,1183.0,1352.0,1017.0,1568.0,950.0
1.784,939.0,263.0,1835.0,1015.0,1254.0,292.0,195.0,1153.0,1354.0,1130.0,1570.0,947.0
1.77,892.0,263.0,1856.0,1034.0,1256.0,283.0,206.0,1193.0,1288.0,1156.0,1522.0,932.0
1.702,877.0,198.0,1721.0,844.0,1107.0,247.0,183.0,1089.0,1266.0,978.0,1456.0,918.0
1.8,933.0,189.0,1843.0,797.0,1151.0,255.0,189.0,1123.0,1307.0,963.0,1557.0,946.0
1.715,918.0,215.0,1801.0,892.0,1081.0,265.0,194.0,1117.0,1267.0,965.0,1480.0,897.0
1.842,944.0,214.0,1803.0,865.0,1153.0,277.0,189.0,1220.0,1366.0,956.0,1593.0,991.0
1.71,880.0,278.0,1759.0,1031.0,1158.0,276.0,188.0,1078.0,1271.0,1080.0,1475.0,917.0
1.753,951.0,235.0,1882.0,912.0,1215.0,283.0,201.0,1148.0,1310.0,1078.0,1542.0,905.0
1.935,1015.0,259.0,1934.0,1086.0,1243.0,278.0,200.0,1259.0,1421.0,1158.0,1677.0,1030.0
1.7380000000000002,909.0,236.0,1777.0,914.0,1105.0,258.0,195.0,1111.0,1268.0,1013.0,1505.0,911.0
1.77,926.0,223.0,1852.0,923.0,1189.0,256.0,190.0,1178.0,1309.0,1037.0,1530.0,899.0
1.72,917.0,223.0,1856.0,918.0,1193.0,277.0,193.0,1152.0,1287.0,1039.0,1503.0,887.0
1.673,831.0,217.0,1695.0,831.0,1082.0,240.0,175.0,1076.0,1235.0,985.0,1445.0,909.0
1.715,883.0,321.0,1684.0,1182.0,1293.0,266.0,183.0,1128.0,1274.0,1285.0,1490.0,949.0
1.822,947.0,276.0,1813.0,1054.0,1155.0,266.0,195.0,1199.0,1336.0,1082.0,1583.0,955.0
1.913,981.0,303.0,1908.0,1118.0,1243.0,286.0,195.0,1238.0,1402.0,1157.0,1661.0,1019.0
1.756,919.0,242.0,1799.0,963.0,1187.0,269.0,193.0,1155.0,1314.0,1049.0,1516.0,943.0
1.735,881.0,224.0,1776.0,877.0,1205.0,253.0,184.0,1092.0,1266.0,1063.0,1491.0,920.0
1.726,908.0,243.0,1929.0,912.0,1230.0,285.0,208.0,1162.0,1270.0,1061.0,1489.0,884.0
1.716,871.0,260.0,1778.0,973.0,1242.0,260.0,187.0,1065.0,1275.0,1120.0,1479.0,921.0
1.717,879.0,220.0,1754.0,818.0,1029.0,257.0,190.0,1090.0,1265.0,913.0,1488.0,917.0
1.7180000000000002,915.0,198.0,1764.0,783.0,1103.0,262.0,197.0,1112.0,1267.0,941.0,1483.0,884.0
1.747,923.0,250.0,1866.0,1015.0,1260.0,284.0,200.0,1136.0,1270.0,1151.0,1512.0,908.0
1.567,861.0,175.0,1647.0,694.0,995.0,243.0,172.0,991.0,1133.0,810.0,1351.0,801.0
1.894,972.0,303.0,1825.0,1121.0,1217.0,274.0,196.0,1194.0,1364.0,1163.0,1618.0,1030.0
1.7380000000000002,927.0,223.0,1780.0,870.0,1151.0,264.0,188.0,1110.0,1271.0,972.0,1495.0,910.0
1.862,1002.0,254.0,1950.0,1015.0,1218.0,294.0,203.0,1231.0,1391.0,1091.0,1618.0,954.0
1.654,858.0,181.0,1644.0,738.0,1012.0,241.0,165.0,1063.0,1196.0,846.0,1421.0,871.0
1.6369999999999998,845.0,287.0,1679.0,1032.0,1153.0,247.0,183.0,1059.0,1226.0,1092.0,1402.0,886.0
1.7380000000000002,884.0,228.0,1829.0,979.0,1231.0,272.0,190.0,1124.0,1264.0,1071.0,1507.0,921.0
1.813,1024.0,261.0,1959.0,1017.0,1261.0,287.0,205.0,1208.0,1347.0,1172.0,1585.0,906.0
1.7380000000000002,970.0,226.0,1884.0,883.0,1163.0,295.0,200.0,1170.0,1302.0,1035.0,1499.0,860.0
1.815,980.0,268.0,1949.0,1068.0,1288.0,300.0,217.0,1226.0,1323.0,1203.0,1595.0,933.0
1.736,860.0,308.0,1732.0,1179.0,1183.0,267.0,182.0,1149.0,1262.0,1212.0,1498.0,954.0
1.689,866.0,242.0,1719.0,993.0,1174.0,275.0,181.0,1138.0,1247.0,1047.0,1454.0,898.0
1.74,913.0,215.0,1790.0,880.0,1065.0,253.0,185.0,1150.0,1266.0,977.0,1527.0,921.0
1.7819999999999998,942.0,257.0,1832.0,977.0,1104.0,269.0,195.0,1138.0,1326.0,1014.0,1548.0,938.0
1.784,961.0,231.0,1842.0,925.0,1133.0,271.0,201.0,1135.0,1292.0,1041.0,1533.0,930.0
1.6469999999999998,861.0,260.0,1701.0,1010.0,1167.0,252.0,179.0,1127.0,1222.0,1082.0,1422.0,870.0
1.74,888.0,246.0,1776.0,1004.0,1197.0,268.0,187.0,1131.0,1276.0,1166.0,1498.0,930.0
1.664,857.0,186.0,1768.0,744.0,1083.0,273.0,193.0,1118.0,1226.0,967.0,1432.0,898.0
1.805,945.0,266.0,1913.0,1045.0,1235.0,290.0,201.0,1218.0,1342.0,1171.0,1569.0,925.0
1.745,932.0,240.0,1857.0,936.0,1206.0,267.0,187.0,1181.0,1303.0,1078.0,1519.0,883.0
