headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
148.0,552.0,193.0,120.0,100021.85575406531,0.1
155.0,575.0,195.0,130.0,99986.03503664512,0.1
155.0,570.0,201.0,138.0,99985.5588619457,0.1
154.0,574.0,200.0,125.0,99994.95534137051,0.1
154.0,580.0,198.0,139.0,100001.60037069448,0.1
152.0,592.0,211.0,140.0,100008.76168921115,0.1
161.0,583.0,200.0,130.0,100003.1563494724,0.1
148.0,569.0,204.0,128.0,99979.77798784176,0.1
158.0,557.0,185.0,132.0,99996.93795987371,0.1
153.0,585.0,207.0,126.0,100008.27974642608,0.1
147.0,563.0,200.0,141.0,100002.30094735364,0.1
168.0,628.0,218.0,149.0,100007.62011180312,0.1
148.0,587.0,212.0,131.0,99997.77671857388,0.1
154.0,583.0,206.0,136.0,99997.9924193107,0.1
144.0,567.0,202.0,132.0,100001.86561390987,0.1
159.0,600.0,208.0,144.0,100004.10051647208,0.1
154.0,584.0,203.0,133.0,100001.98299720128,0.1
150.0,541.0,185.0,136.0,100001.19008645808,0.1
153.0,570.0,196.0,125.0,99993.2933771371,0.1
157.0,566.0,195.0,135.0,100003.7756378632,0.1
149.0,555.0,197.0,125.0,100001.21821270992,0.1
159.0,570.0,194.0,134.0,100011.29483907911,0.1
155.0,574.0,198.0,130.0,100011.98917879902,0.1
157.0,568.0,194.0,131.0,100001.85156417484,0.1
153.0,580.0,203.0,129.0,99996.2471504991,0.1
143.0,552.0,193.0,125.0,99993.61269592546,0.1
151.0,573.0,205.0,133.0,100004.23494354064,0.1
143.0,564.0,198.0,132.0,100000.77340068348,0.1
153.0,560.0,191.0,129.0,99996.56146324427,0.1
151.0,530.0,178.0,122.0,100000.43596856834,0.1
158.0,592.0,205.0,138.0,99993.79999156052,0.1
152.0,585.0,209.0,130.0,100006.98032034072,0.1
147.0,553.0,193.0,130.0,99995.52871435214,0.1
165.0,563.0,180.0,138.0,100012.24507704804,0.1
152.0,593.0,208.0,133.0,100004.0349164179,0.1
158.0,575.0,196.0,135.0,100005.93578523236,0.1
146.0,565.0,201.0,129.0,99989.0508815426,0.1
158.0,582.0,198.0,128.0,100001.6938243306,0.1
151.0,577.0,203.0,128.0,100007.40556451096,0.1
153.0,585.0,207.0,133.0,99990.46299398191,0.1
151.0,580.0,204.0,135.0,99997.33781493997,0.1
154.0,601.0,211.0,144.0,100000.32614546693,0.1
153.0,571.0,203.0,123.0,99986.26882679752,0.1
163.0,565.0,192.0,142.0,100003.15159392044,0.1
157.0,562.0,192.0,140.0,100008.46160647584,0.1
158.0,594.0,206.0,140.0,99991.40484059168,0.1
149.0,574.0,200.0,127.0,100003.50545978664,0.1
155.0,600.0,209.0,137.0,99986.87716588762,0.1
154.0,567.0,199.0,130.0,99999.61304490734,0.1
147.0,566.0,195.0,132.0,99983.84227645295,0.1
160.0,594.0,207.0,130.0,100011.21417708237,0.1
158.0,563.0,189.0,131.0,100004.08900537936,0.1
162.0,571.0,194.0,134.0,99999.75383044124,0.1
153.0,577.0,201.0,133.0,99992.24838380831,0.1
154.0,575.0,195.0,128.0,100012.7375593016,0.1
155.0,600.0,209.0,133.0,100019.67101749255,0.1
160.0,585.0,200.0,132.0,99981.42018135553,0.1
147.0,548.0,191.0,123.0,100012.36164030452,0.1
147.0,557.0,193.0,122.0,100016.27650753148,0.1
164.0,625.0,215.0,138.0,100003.38011696574,0.1
158.0,556.0,192.0,126.0,99988.00731967665,0.1
163.0,578.0,200.0,131.0,100008.63345317544,0.1
153.0,565.0,198.0,131.0,99998.19079697922,0.1
156.0,581.0,201.0,127.0,99993.96079372209,0.1
153.0,591.0,203.0,128.0,99987.69941864331,0.1
151.0,563.0,197.0,132.0,100005.50537495976,0.1
153.0,596.0,212.0,132.0,100007.9280686592,0.1
156.0,553.0,188.0,134.0,99993.7646927032,0.1
148.0,560.0,200.0,132.0,100005.20576337072,0.1
145.0,561.0,197.0,127.0,99988.55658610378,0.1
150.0,570.0,198.0,130.0,100008.01861031872,0.1
153.0,595.0,212.0,138.0,100000.46567298424,0.1
161.0,582.0,206.0,137.0,99998.13430228092,0.1
154.0,560.0,194.0,131.0,99998.9825412747,0.1
161.0,595.0,208.0,142.0,100008.68886157006,0.1
154.0,580.0,198.0,121.0,100007.50411639865,0.1
158.0,582.0,204.0,138.0,100005.29465324352,0.1
164.0,603.0,203.0,143.0,100001.37701209995,0.1
163.0,555.0,190.0,135.0,100000.77821127912,0.1
154.0,565.0,197.0,137.0,100006.18380261998,0.1
151.0,580.0,205.0,131.0,100002.32494559178,0.1
150.0,584.0,212.0,137.0,100006.82551406864,0.1
148.0,576.0,203.0,138.0,99996.89883226482,0.1
152.0,584.0,204.0,133.0,99975.65162235891,0.1
160.0,577.0,199.0,135.0,100010.3882460186,0.1
147.0,560.0,194.0,132.0,100021.86979646976,0.1
161.0,606.0,212.0,132.0,100004.41364443568,0.1
153.0,557.0,190.0,131.0,99998.99844766717,0.1
164.0,602.0,208.0,145.0,99998.63555256104,0.1
158.0,570.0,198.0,133.0,99998.80945812224,0.1
152.0,570.0,200.0,136.0,100000.174094083,0.1
153.0,578.0,200.0,133.0,99988.77981271251,0.1
160.0,589.0,209.0,138.0,99994.8290554208,0.1
154.0,565.0,193.0,135.0,99990.0297317235,0.1
155.0,588.0,207.0,134.0,100002.48799161387,0.1
164.0,585.0,200.0,137.0,99997.03358847628,0.1
157.0,581.0,200.0,133.0,100004.95211323978,0.1
156.0,580.0,201.0,141.0,99998.25296840258,0.1
157.0,570.0,196.0,126.0,100009.86335187822,0.1
157.0,558.0,191.0,128.0,100002.13533901336,0.1
155.0,575.0,205.0,139.0,100021.9069972897,0.1
154.0,582.0,205.0,135.0,99981.03639077109,0.1
158.0,608.0,215.0,130.0,99993.53083311745,0.1
150.0,575.0,198.0,128.0,100009.01486891648,0.1
150.0,585.0,206.0,126.0,100025.28325706806,0.1
149.0,565.0,200.0,131.0,99997.51365222284,0.1
155.0,593.0,207.0,130.0,100000.43668993178,0.1
151.0,573.0,201.0,132.0,99997.73685757488,0.1
150.0,588.0,203.0,139.0,100013.31457112588,0.1
150.0,580.0,209.0,127.0,99997.12692136524,0.1
139.0,570.0,203.0,133.0,100006.8006983988,0.1
148.0,560.0,195.0,128.0,99996.801984011,0.1
153.0,572.0,201.0,134.0,99987.27441244754,0.1
153.0,577.0,201.0,133.0,100003.13547720465,0.1
151.0,556.0,198.0,131.0,100005.03184813436,0.1
153.0,577.0,206.0,138.0,100012.93225882533,0.1
151.0,580.0,205.0,125.0,99998.89552973583,0.1
145.0,575.0,200.0,123.0,99993.82637936289,0.1
152.0,577.0,205.0,135.0,100005.62761096618,0.1
150.0,565.0,199.0,127.0,100002.40737092236,0.1
156.0,588.0,206.0,133.0,100002.80665077122,0.1
150.0,567.0,194.0,118.0,99999.26887296252,0.1
152.0,571.0,201.0,132.0,100011.60338569994,0.1
145.0,550.0,193.0,125.0,100003.69492716376,0.1
156.0,577.0,201.0,132.0,100019.04658708342,0.1
163.0,595.0,200.0,143.0,100011.1105669856,0.1
157.0,555.0,191.0,134.0,100006.590497961,0.1
151.0,595.0,213.0,139.0,99983.72561659385,0.1
161.0,570.0,192.0,137.0,100006.02319280295,0.1
144.0,565.0,198.0,130.0,100004.20282203647,0.1
165.0,592.0,205.0,139.0,100008.10951672804,0.1
156.0,575.0,201.0,124.0,100010.44442094708,0.1
150.0,585.0,206.0,127.0,99995.99121808213,0.1
142.0,553.0,197.0,127.0,100008.2400561845,0.1
153.0,565.0,198.0,129.0,99994.37694568982,0.1
152.0,577.0,203.0,135.0,100019.54878075008,0.1
163.0,562.0,185.0,137.0,99986.68048333484,0.1
160.0,583.0,200.0,133.0,99982.393114396,0.1
150.0,578.0,204.0,128.0,99983.49278734176,0.1
148.0,560.0,196.0,133.0,99991.09444415836,0.1
156.0,582.0,203.0,127.0,99988.8088460144,0.1
155.0,590.0,205.0,127.0,100019.56078903704,0.1
156.0,566.0,193.0,135.0,99996.73500501922,0.1
154.0,557.0,188.0,130.0,99986.57324210624,0.1
151.0,553.0,190.0,140.0,100011.1438297678,0.1
144.0,562.0,206.0,125.0,99994.13476061178,0.1
177.0,613.0,202.0,140.0,99987.63146623458,0.1
136.0,518.0,182.0,124.0,100008.7583892765,0.1
163.0,621.0,218.0,148.0,100006.2336217658,0.1
145.0,546.0,193.0,124.0,99995.65043317043,0.1
160.0,603.0,210.0,136.0,100014.07540000242,0.1
148.0,535.0,183.0,136.0,100001.2910157971,0.1
148.0,556.0,192.0,127.0,100016.16949598858,0.1
161.0,583.0,195.0,136.0,100005.02740882,0.1
144.0,566.0,203.0,126.0,100015.5880554062,0.1
144.0,564.0,203.0,137.0,100001.09402696426,0.1
160.0,591.0,210.0,129.0,99987.8025560302,0.1
154.0,583.0,199.0,128.0,100024.49368649062,0.1
155.0,583.0,203.0,143.0,99994.54225832016,0.1
145.0,543.0,187.0,125.0,99998.01162137112,0.1
158.0,577.0,200.0,135.0,99992.99601495078,0.1
149.0,565.0,197.0,137.0,99997.96605551036,0.1
157.0,566.0,192.0,130.0,100002.42669441082,0.1
156.0,576.0,200.0,130.0,100002.01830178876,0.1
151.0,564.0,199.0,135.0,100006.610202876,0.1
158.0,590.0,206.0,137.0,100017.92158208977,0.1
154.0,588.0,206.0,140.0,99998.79535428212,0.1
138.0,530.0,185.0,118.0,99987.66879264552,0.1
159.0,584.0,202.0,143.0,99988.17681873492,0.1
156.0,566.0,195.0,137.0,99993.342454818,0.1
153.0,578.0,203.0,145.0,99983.2580419238,0.1
155.0,555.0,193.0,140.0,100008.25029824438,0.1
151.0,550.0,195.0,124.0,99995.01786436368,0.1
157.0,607.0,217.0,133.0,99996.89015021698,0.1
160.0,571.0,193.0,136.0,99999.98108517162,0.1
160.0,590.0,200.0,140.0,99986.03379575405,0.1
151.0,552.0,187.0,125.0,99991.38683639224,0.1
157.0,603.0,213.0,133.0,100006.74711525688,0.1
153.0,574.0,200.0,124.0,100006.18539130788,0.1
153.0,560.0,194.0,128.0,99995.568280693,0.1
162.0,600.0,207.0,140.0,100018.10534914126,0.1
162.0,543.0,176.0,131.0,99986.94273077442,0.1
160.0,602.0,206.0,140.0,99996.55012789844,0.1
160.0,562.0,184.0,136.0,99997.69160256864,0.1
155.0,583.0,202.0,130.0,99972.06914999854,0.1
153.0,568.0,196.0,130.0,100019.37528813616,0.1
151.0,516.0,172.0,125.0,100003.6633201454,0.1
149.0,530.0,176.0,126.0,99989.55410618092,0.1
158.0,577.0,193.0,132.0,100020.51173442855,0.1
150.0,567.0,192.0,137.0,100005.85662000172,0.1
177.0,597.0,201.0,131.0,100004.2952614002,0.1
157.0,582.0,198.0,140.0,99993.930016018,0.1
154.0,588.0,210.0,136.0,100001.06222724036,0.1
161.0,618.0,220.0,142.0,99984.7431968377,0.1
160.0,575.0,200.0,138.0,100007.95026094424,0.1
152.0,564.0,202.0,133.0,99996.25561681156,0.1
158.0,592.0,202.0,137.0,100001.34048196554,0.1
152.0,594.0,210.0,138.0,100012.020548622,0.1
144.0,570.0,198.0,131.0,100002.84748110847,0.1
147.0,555.0,196.0,128.0,100002.62467445464,0.1
163.0,584.0,195.0,141.0,100002.7649930482,0.1
163.0,593.0,206.0,142.0,99992.66728396104,0.1
158.0,577.0,201.0,136.0,100008.36004719434,0.1
153.0,583.0,201.0,127.0,100015.43359110804,0.1
150.0,563.0,194.0,140.0,100007.58805660096,0.1
147.0,544.0,190.0,125.0,100008.84908814463,0.1
150.0,578.0,205.0,136.0,99991.22718481082,0.1
149.0,560.0,195.0,140.0,99991.32212777127,0.1
150.0,577.0,202.0,133.0,99985.59123975708,0.1
152.0,543.0,188.0,127.0,100012.32253070828,0.1
161.0,563.0,192.0,134.0,99997.45820132393,0.1
142.0,576.0,215.0,140.0,100013.99843942482,0.1
159.0,555.0,183.0,132.0,99992.18088317312,0.1
156.0,594.0,210.0,126.0,99995.62491017173,0.1
153.0,584.0,204.0,130.0,100000.95425087192,0.1
150.0,573.0,200.0,127.0,100009.2145006866,0.1
166.0,604.0,210.0,140.0,100000.607501958,0.1
154.0,570.0,198.0,129.0,100002.11124755008,0.1
154.0,566.0,196.0,136.0,100000.16527567306,0.1
153.0,573.0,201.0,126.0,100001.77187720276,0.1
157.0,566.0,197.0,134.0,99988.83529982116,0.1
155.0,575.0,200.0,137.0,100000.80927100973,0.1
164.0,596.0,206.0,140.0,99998.13421006488,0.1
159.0,584.0,204.0,127.0,99999.43175519114,0.1
147.0,575.0,200.0,130.0,100004.92336555936,0.1
150.0,564.0,196.0,139.0,99993.1932185899,0.1
155.0,583.0,203.0,128.0,99999.15491972596,0.1
151.0,600.0,211.0,120.0,99997.02638117228,0.1
167.0,595.0,205.0,141.0,100004.17302004975,0.1
152.0,550.0,192.0,130.0,100007.84770651016,0.1
153.0,558.0,190.0,126.0,99990.44574737626,0.1
156.0,575.0,197.0,130.0,100005.85910431102,0.1
152.0,562.0,192.0,134.0,100020.6578332022,0.1
156.0,590.0,212.0,140.0,99985.28843074168,0.1
163.0,581.0,198.0,139.0,99991.69828104685,0.1
153.0,572.0,196.0,137.0,99991.19422400156,0.1
158.0,573.0,195.0,139.0,99997.20902278456,0.1
157.0,602.0,212.0,135.0,100016.22849085956,0.1
156.0,580.0,206.0,138.0,100000.13352676349,0.1
157.0,608.0,212.0,137.0,99993.05306404713,0.1
150.0,545.0,185.0,129.0,100006.21803504306,0.1
148.0,572.0,202.0,128.0,99994.00195468929,0.1
156.0,568.0,199.0,125.0,100011.23412162022,0.1
171.0,590.0,193.0,150.0,100003.05267040244,0.1
148.0,563.0,194.0,126.0,100013.8877939637,0.1
150.0,553.0,194.0,134.0,99993.38655756848,0.1
158.0,552.0,182.0,130.0,100030.30857112372,0.1
160.0,590.0,204.0,137.0,100008.24584625031,0.1
153.0,575.0,204.0,130.0,100006.54580152586,0.1
160.0,560.0,188.0,138.0,99999.48811552393,0.1
154.0,567.0,196.0,134.0,99992.74402880864,0.1
150.0,583.0,206.0,135.0,99991.32231322376,0.1
154.0,550.0,190.0,121.0,99998.640226739,0.1
148.0,580.0,204.0,130.0,99992.02730214508,0.1
154.0,555.0,194.0,135.0,100002.82675712249,0.1
150.0,573.0,202.0,136.0,99991.73902568153,0.1
150.0,572.0,196.0,141.0,100006.21082700838,0.1
150.0,562.0,197.0,125.0,100009.56121704124,0.1
156.0,580.0,202.0,126.0,99992.94159492596,0.1
161.0,615.0,217.0,147.0,100011.92686067754,0.1
151.0,570.0,198.0,130.0,99997.62058064248,0.1
158.0,602.0,209.0,139.0,100011.55287886088,0.1
153.0,586.0,206.0,135.0,100004.38166347292,0.1
160.0,605.0,212.0,132.0,100011.22328321658,0.1
153.0,555.0,190.0,128.0,99990.02980204472,0.1
150.0,563.0,197.0,126.0,99998.9320601322,0.1
159.0,583.0,201.0,140.0,100014.5142926059,0.1
151.0,558.0,197.0,128.0,99993.8196315232,0.1
141.0,556.0,199.0,132.0,99979.6279877432,0.1
157.0,577.0,200.0,140.0,99980.57410818525,0.1
155.0,571.0,200.0,135.0,99974.93559347324,0.1
148.0,536.0,182.0,126.0,99978.85836078084,0.1
155.0,566.0,200.0,133.0,99995.88360836812,0.1
161.0,580.0,198.0,140.0,100012.78528082842,0.1
152.0,555.0,193.0,128.0,99995.57770720488,0.1
146.0,550.0,193.0,129.0,100003.23527353602,0.1
163.0,588.0,207.0,130.0,99998.90008509836,0.1
150.0,547.0,194.0,122.0,100000.08548945436,0.1
161.0,598.0,206.0,142.0,99998.31801160256,0.1
162.0,587.0,204.0,134.0,99998.25819655693,0.1
154.0,548.0,187.0,128.0,100004.61164099976,0.1
149.0,550.0,199.0,122.0,99988.24017328558,0.1
147.0,553.0,198.0,135.0,100010.10127177335,0.1
153.0,568.0,200.0,128.0,100009.20017933247,0.1
156.0,599.0,210.0,132.0,99998.04942659124,0.1
157.0,587.0,205.0,136.0,100008.05393424231,0.1
164.0,595.0,205.0,139.0,99992.98655573744,0.1
146.0,566.0,195.0,130.0,99994.62776976124,0.1
156.0,578.0,198.0,142.0,100001.5626385027,0.1
153.0,578.0,197.0,131.0,99998.09778974915,0.1
145.0,560.0,194.0,141.0,99995.51261967327,0.1
150.0,563.0,196.0,133.0,99993.27551961211,0.1
154.0,563.0,198.0,134.0,99994.42505278214,0.1
148.0,567.0,197.0,136.0,100009.39168744197,0.1
150.0,547.0,189.0,134.0,99980.56676594332,0.1
160.0,563.0,192.0,132.0,100003.52494364369,0.1
165.0,578.0,201.0,143.0,99997.63563048188,0.1
160.0,573.0,194.0,127.0,100007.278135,0.1
147.0,584.0,204.0,143.0,100005.1507361364,0.1
155.0,588.0,205.0,129.0,99972.17465532348,0.1
150.0,560.0,196.0,125.0,100005.84646610478,0.1
165.0,589.0,199.0,146.0,100003.24274243448,0.1
154.0,602.0,206.0,145.0,100000.21862836626,0.1
166.0,590.0,206.0,143.0,99995.31326183722,0.1
158.0,570.0,199.0,133.0,100008.53281221956,0.1
160.0,603.0,213.0,134.0,99995.86970690289,0.1
150.0,568.0,193.0,133.0,100018.3471762665,0.1
145.0,550.0,186.0,124.0,100005.64382855494,0.1
159.0,595.0,210.0,140.0,100021.3782806744,0.1
156.0,586.0,204.0,140.0,99992.1446600308,0.1
155.0,575.0,201.0,130.0,99982.44074359768,0.1
150.0,580.0,205.0,145.0,100007.14789597486,0.1
162.0,578.0,197.0,144.0,100008.52704061723,0.1
155.0,600.0,211.0,137.0,100000.35360097054,0.1
160.0,599.0,207.0,129.0,99984.61206754256,0.1
156.0,588.0,204.0,136.0,99995.52104815283,0.1
156.0,590.0,201.0,131.0,100006.1798553392,0.1
157.0,572.0,195.0,142.0,99998.15823674346,0.1
153.0,579.0,201.0,132.0,99998.84014814527,0.1
162.0,570.0,189.0,140.0,99998.24541031338,0.1
161.0,608.0,215.0,130.0,99990.66085344374,0.1
158.0,577.0,193.0,135.0,99994.66979673917,0.1
154.0,554.0,189.0,132.0,99985.7344457948,0.1
151.0,578.0,199.0,136.0,100017.6795994831,0.1
152.0,573.0,196.0,136.0,99995.24627124862,0.1
154.0,582.0,203.0,126.0,100004.77610181818,0.1
157.0,585.0,198.0,131.0,99989.7811405536,0.1
156.0,570.0,196.0,133.0,100007.94528239602,0.1
153.0,575.0,203.0,133.0,99981.26839022365,0.1
152.0,590.0,204.0,133.0,100009.20615118057,0.1
155.0,568.0,190.0,135.0,99999.6463207512,0.1
149.0,570.0,198.0,143.0,100021.106050536,0.1
155.0,570.0,203.0,130.0,99986.93465927156,0.1
150.0,553.0,194.0,144.0,100000.7638048016,0.1
149.0,553.0,181.0,124.0,100003.67231813884,0.1
147.0,565.0,200.0,135.0,100012.32899192376,0.1
154.0,592.0,211.0,145.0,99995.7714303861,0.1
152.0,561.0,196.0,127.0,100000.86464406524,0.1
147.0,570.0,201.0,133.0,99978.57533270922,0.1
157.0,580.0,196.0,145.0,99991.69831135977,0.1
155.0,579.0,203.0,127.0,100004.51615950555,0.1
155.0,580.0,201.0,133.0,100011.04174326303,0.1
163.0,592.0,197.0,130.0,99997.18263730936,0.1
147.0,588.0,207.0,132.0,100020.563555232,0.1
162.0,574.0,195.0,130.0,100017.60249226449,0.1
161.0,596.0,209.0,134.0,99999.39347508224,0.1
159.0,594.0,209.0,146.0,99975.86496998828,0.1
153.0,558.0,186.0,131.0,99982.22433624194,0.1
148.0,578.0,203.0,135.0,99992.22141173371,0.1
150.0,576.0,199.0,134.0,100011.15841107925,0.1
157.0,588.0,210.0,134.0,100003.10272287784,0.1
153.0,556.0,196.0,136.0,99979.05752183778,0.1
150.0,555.0,198.0,131.0,99997.7123417113,0.1
157.0,573.0,200.0,132.0,100016.13361374564,0.1
161.0,577.0,200.0,133.0,99996.25195312698,0.1
158.0,561.0,187.0,126.0,99992.50030382724,0.1
154.0,593.0,206.0,133.0,100020.54624102518,0.1
154.0,570.0,193.0,142.0,100000.53409536798,0.1
150.0,558.0,192.0,129.0,99995.20842901214,0.1
157.0,576.0,201.0,135.0,100003.50167158828,0.1
150.0,563.0,196.0,134.0,100000.17164726372,0.1
158.0,545.0,182.0,124.0,99995.70857721764,0.1
159.0,590.0,200.0,139.0,100012.08456328552,0.1
153.0,566.0,198.0,137.0,100011.15701802784,0.1
149.0,558.0,193.0,128.0,100008.4086155814,0.1
154.0,565.0,195.0,141.0,99998.97112782426,0.1
152.0,558.0,195.0,131.0,100011.469003764,0.1
152.0,574.0,197.0,134.0,99999.50297420842,0.1
144.0,545.0,193.0,134.0,100004.66643267228,0.1
161.0,590.0,201.0,138.0,100010.3368686794,0.1
144.0,556.0,197.0,131.0,100008.08844360264,0.1
155.0,576.0,199.0,136.0,100017.89754683206,0.1
149.0,564.0,194.0,128.0,100004.5128401604,0.1
161.0,622.0,215.0,134.0,99983.15940014132,0.1
148.0,567.0,202.0,137.0,99988.39829895018,0.1
151.0,553.0,193.0,123.0,100013.50106818682,0.1
160.0,567.0,192.0,124.0,99996.68716830068,0.1
152.0,584.0,207.0,139.0,100003.86539145133,0.1
152.0,574.0,201.0,129.0,99991.48544343468,0.1
141.0,564.0,206.0,131.0,100010.0088142368,0.1
163.0,585.0,203.0,124.0,99996.15167751168,0.1
150.0,560.0,199.0,127.0,100014.5810823861,0.1
163.0,575.0,198.0,135.0,99994.67765979102,0.1
145.0,577.0,205.0,132.0,100011.18133396718,0.1
148.0,577.0,203.0,133.0,100006.7439610482,0.1
155.0,594.0,213.0,135.0,99992.77608094586,0.1
150.0,546.0,188.0,117.0,100010.98996332748,0.1
158.0,598.0,209.0,127.0,99990.98365509525,0.1
147.0,540.0,196.0,128.0,99991.77532811096,0.1
149.0,584.0,205.0,140.0,100007.21711292112,0.1
154.0,568.0,192.0,131.0,99993.74657998534,0.1
161.0,592.0,200.0,128.0,99994.06156932746,0.1
162.0,589.0,199.0,140.0,99996.5609929079,0.1
145.0,545.0,194.0,136.0,99989.99830810128,0.1
141.0,548.0,196.0,130.0,100010.44994409672,0.1
163.0,581.0,199.0,139.0,100006.08514698484,0.1
162.0,591.0,206.0,136.0,99999.30671303307,0.1
150.0,570.0,192.0,137.0,99998.91607932826,0.1
163.0,574.0,186.0,129.0,100004.50155512767,0.1
159.0,583.0,198.0,132.0,100017.6533510052,0.1
147.0,565.0,200.0,133.0,100008.70969802533,0.1
157.0,578.0,198.0,141.0,99994.91542865724,0.1
157.0,596.0,207.0,132.0,100007.77419205249,0.1
157.0,573.0,195.0,131.0,99998.81228827898,0.1
160.0,585.0,210.0,138.0,99998.01001816196,0.1
165.0,601.0,214.0,137.0,100018.66471375152,0.1
151.0,575.0,199.0,130.0,99995.81062102322,0.1
155.0,575.0,200.0,141.0,99995.20815084872,0.1
147.0,556.0,203.0,126.0,99980.47894712754,0.1
140.0,556.0,197.0,125.0,99985.97670854548,0.1
147.0,583.0,206.0,139.0,100004.51122938734,0.1
149.0,577.0,201.0,138.0,99993.05079098814,0.1
156.0,595.0,213.0,134.0,100005.15413801784,0.1
150.0,553.0,191.0,134.0,99988.85128947634,0.1
152.0,568.0,198.0,133.0,99992.32690173668,0.1
151.0,603.0,215.0,131.0,100006.74570706955,0.1
160.0,582.0,196.0,135.0,100014.60892380464,0.1
144.0,544.0,194.0,127.0,100005.92472801424,0.1
156.0,589.0,206.0,132.0,100011.9783084172,0.1
156.0,568.0,198.0,135.0,100017.04594171372,0.1
160.0,597.0,210.0,144.0,100010.40089153154,0.1
154.0,578.0,203.0,129.0,99990.815599617,0.1
151.0,581.0,200.0,125.0,99998.94655287491,0.1
155.0,575.0,198.0,144.0,100006.30195670684,0.1
168.0,577.0,199.0,135.0,99995.85153098711,0.1
157.0,568.0,193.0,127.0,100004.5194603732,0.1
156.0,562.0,200.0,128.0,99984.20843714604,0.1
153.0,558.0,198.0,129.0,99991.71372021144,0.1
151.0,543.0,184.0,121.0,100005.28879745584,0.1
154.0,579.0,203.0,128.0,99977.62913488888,0.1
