Elbow rest height,Wrist circumference,Ankle circumference,Buttock height,Crotch height
188,175,208,875,861
247,175,235,857,824
278,168,225,871,832
225,166,223,786,758
251,175,228,809,754
216,180,234,888,879
205,158,210,874,850
207,167,231,882,851
238,165,211,875,849
236,176,225,925,903
202,176,218,905,865
220,190,262,953,925
280,179,250,923,882
254,189,243,870,816
250,169,230,824,806
241,189,256,899,879
238,170,216,854,834
248,169,223,856,824
236,166,217,857,826
213,182,250,885,859
209,178,245,991,952
246,179,227,865,843
253,196,248,978,961
200,165,220,877,848
187,176,253,878,901
285,183,233,857,813
223,179,242,893,876
286,176,230,906,875
229,180,233,858,831
239,176,250,919,883
277,183,255,798,740
198,178,238,924,892
239,164,222,785,715
227,175,237,859,820
265,191,252,895,865
227,170,216,861,811
230,173,216,856,791
221,179,233,895,867
224,167,214,856,831
235,184,239,917,865
215,175,222,867,842
191,178,237,862,818
228,169,230,932,893
255,190,227,851,799
248,183,231,907,830
256,179,240,883,850
259,184,234,880,840
266,181,207,886,847
245,178,237,893,866
213,173,231,855,828
249,170,217,833,811
276,175,226,874,845
220,167,217,878,856
212,178,236,855,820
261,177,223,862,815
214,164,214,815,780
250,165,218,797,767
214,180,227,972,913
345,177,255,833,796
262,162,218,836,762
228,179,231,934,927
246,178,225,903,862
297,179,245,1005,944
254,184,248,919,882
265,166,217,823,772
267,179,234,877,804
260,173,240,837,774
230,179,224,855,802
257,185,262,943,888
236,171,212,938,895
255,168,210,841,802
208,172,210,864,842
255,175,227,838,771
243,169,222,857,800
259,190,268,898,836
241,172,229,854,819
228,187,247,877,844
209,172,219,941,906
216,168,214,879,841
250,173,226,810,770
218,170,223,856,809
208,166,207,890,887
267,180,242,856,801
201,170,217,891,841
228,173,217,882,842
213,180,215,915,867
243,184,252,858,842
263,174,220,836,802
262,177,227,876,815
243,175,223,864,827
257,173,220,817,765
221,175,231,931,898
213,180,233,852,838
223,177,229,923,881
211,172,205,861,819
233,160,211,798,754
215,176,223,886,841
308,187,258,858,790
297,177,245,886,831
277,176,226,848,797
239,188,237,905,875
253,177,233,871,826
243,179,220,849,820
243,170,221,909,850
249,180,252,835,816
282,169,226,912,887
274,183,224,817,771
231,183,221,877,830
240,171,221,833,807
251,180,215,934,906
207,190,259,885,866
221,161,228,892,811
290,181,236,845,809
256,179,244,887,865
188,178,206,915,889
305,193,256,845,799
303,181,242,833,794
215,173,216,874,821
249,190,240,900,859
263,181,244,983,944
278,186,243,842,818
240,168,214,790,757
192,175,216,896,868
250,164,239,871,818
254,178,222,905,856
251,183,241,890,897
243,181,234,854,822
230,160,196,840,793
206,185,233,959,945
239,177,217,847,812
240,187,244,990,945
274,186,223,868,835
261,184,221,881,830
265,172,225,881,855
286,175,211,821,778
273,186,242,873,804
271,187,237,873,836
269,166,212,871,824
271,180,221,884,850
234,175,232,876,852
265,181,249,812,780
258,181,242,866,802
271,182,251,808,768
244,177,234,881,812
272,185,220,900,873
249,167,224,826,802
228,169,215,797,785
237,181,246,871,841
255,188,247,862,851
209,174,233,889,846
240,170,222,923,863
328,185,265,917,870
263,179,222,820,780
309,186,224,843,805
205,176,208,865,795
264,177,238,843,822
232,189,244,900,890
208,179,227,895,867
208,175,223,903,869
272,174,236,857,805
267,165,212,819,831
259,177,214,931,875
286,192,240,866,825
266,192,238,908,882
241,183,224,852,813
203,173,227,862,845
267,184,232,936,861
234,169,242,842,822
178,173,227,923,897
250,180,240,864,829
235,202,256,934,908
242,182,217,882,855
237,174,231,863,813
215,174,242,870,859
257,180,232,853,802
253,174,218,901,898
295,190,244,922,851
201,175,228,823,822
205,179,221,924,884
252,176,221,820,830
274,188,240,866,819
279,182,223,925,870
243,178,222,933,870
241,182,257,889,872
255,180,238,943,901
225,171,226,801,757
252,176,230,788,718
231,174,229,837,798
186,178,235,825,782
256,185,224,865,798
217,164,212,844,812
263,182,226,847,820
237,179,233,866,815
256,167,222,801,765
210,167,219,865,832
239,171,219,914,869
244,181,220,937,897
236,176,223,840,822
258,183,234,859,837
276,182,242,779,758
269,183,247,890,826
220,183,226,882,845
258,173,225,815,750
278,194,254,894,863
252,186,247,852,789
237,178,237,851,820
207,179,217,877,855
221,178,227,924,841
209,172,214,959,927
255,170,232,860,826
300,194,253,961,905
270,181,242,834,765
214,185,237,906,873
259,172,227,829,778
243,168,222,840,813
291,179,234,873,825
269,187,230,820,734
267,181,243,874,837
219,183,232,924,868
286,171,230,920,880
284,173,224,793,759
221,188,247,972,916
252,179,233,898,850
282,174,228,841,804
239,183,223,850,807
236,171,230,899,859
280,182,224,851,800
292,171,227,852,819
196,174,236,822,788
256,180,222,849,823
197,184,214,877,870
275,189,235,897,845
185,166,202,832,780
265,179,242,852,813
268,171,218,866,827
203,169,227,911,865
231,177,217,873,853
192,200,273,902,907
266,172,220,850,804
256,175,214,878,857
259,183,223,864,834
284,175,220,825,789
284,181,235,826,785
225,177,209,947,906
202,171,220,897,850
222,188,241,999,974
302,186,250,872,809
275,177,223,897,879
236,189,235,963,942
196,193,247,956,931
264,182,245,875,863
154,173,223,960,893
225,179,227,887,852
209,163,215,853,822
232,190,233,921,864
258,186,241,808,771
264,186,257,842,790
284,177,234,897,842
208,163,218,789,760
198,163,208,832,795
234,178,225,912,877
206,180,220,908,869
216,173,233,839,795
250,177,214,854,826
265,192,243,898,851
201,159,203,840,766
249,174,213,820,770
272,181,242,845,786
211,164,227,943,921
191,169,220,876,848
270,176,224,846,783
270,180,240,888,847
276,179,222,1001,954
215,169,214,950,925
251,177,230,910,887
249,179,234,902,846
205,195,240,941,862
235,159,211,831,808
306,189,246,829,762
244,170,210,809,797
181,182,228,956,902
191,164,206,887,835
270,174,233,880,861
261,169,220,881,836
220,178,257,883,832
303,173,211,786,733
259,177,234,882,822
260,177,217,843,810
230,186,259,970,963
207,173,224,929,843
240,171,215,851,783
239,178,232,882,848
267,175,228,818,774
247,171,229,825,783
205,168,217,917,864
256,175,232,833,770
205,161,207,901,866
288,189,252,972,919
260,182,234,884,819
192,160,194,915,872
261,184,233,879,827
268,171,222,870,825
273,171,234,866,830
271,187,235,875,818
235,180,254,860,836
223,175,250,877,838
279,176,224,899,826
283,184,237,845,793
274,178,217,886,857
258,177,208,887,856
258,172,225,820,775
231,181,229,865,815
272,184,230,866,811
267,190,254,865,825
244,183,252,859,836
224,173,227,888,828
201,178,221,816,767
240,181,233,846,812
239,180,220,923,885
304,185,249,923,812
260,182,224,914,864
227,194,234,939,906
216,180,248,920,885
283,185,240,858,819
209,163,203,827,806
274,186,227,838,795
158,182,216,999,949
225,170,225,919,895
261,176,221,895,873
225,183,231,894,866
261,176,216,870,822
263,177,226,910,857
239,172,235,843,824
305,174,208,932,886
218,167,223,818,781
240,195,254,883,869
258,187,216,863,804
279,173,234,887,846
262,164,233,869,820
235,178,218,922,901
235,172,214,855,803
265,166,215,867,827
212,176,218,866,829
229,178,204,918,876
209,169,208,866,840
236,183,236,894,874
229,171,204,867,793
249,177,220,912,875
285,190,246,858,801
251,175,217,952,931
240,178,228,772,705
230,179,233,912,876
232,188,237,858,849
255,177,233,842,827
207,195,254,977,944
225,174,212,898,863
240,179,217,858,810
243,172,216,899,825
242,190,235,855,837
291,207,265,951,896
223,187,247,891,895
277,184,262,897,870
248,171,231,805,776
220,179,227,969,918
295,180,242,838,838
280,190,242,880,865
244,184,236,906,843
247,164,217,845,796
291,190,264,897,853
270,167,213,784,771
248,202,247,987,931
259,177,227,925,861
293,180,234,943,905
248,179,221,900,850
258,175,229,964,945
245,177,227,868,852
231,192,257,1015,988
262,172,212,878,815
257,189,232,921,863
221,172,218,870,828
237,173,227,807,804
274,181,223,888,834
271,175,228,848,806
272,178,226,904,863
268,179,223,950,899
259,177,227,915,867
243,179,232,881,830
200,188,235,879,825
242,183,215,886,853
197,185,206,907,868
250,165,214,891,836
234,178,219,849,801
243,173,208,861,819
246,183,249,966,943
253,171,223,816,811
231,178,230,883,881
221,187,230,920,874
260,185,227,945,902
205,179,216,893,850
272,189,230,977,945
183,177,243,856,817
254,172,222,823,786
264,181,224,922,852
239,185,233,924,879
235,171,223,909,874
251,167,206,834,811
243,177,224,837,804
212,169,211,881,858
205,176,212,929,869
270,175,246,835,791
278,187,249,912,881
254,171,225,883,857
263,171,235,723,720
253,178,233,917,869
171,176,243,887,842
208,185,240,919,889
228,172,212,857,824
265,183,228,892,853
272,189,232,876,807
248,185,238,870,829
258,181,233,887,849
197,175,225,886,874
267,180,226,922,898
226,185,220,967,948
253,178,222,902,851
250,178,213,915,890
238,178,225,916,856
293,180,226,902,836
260,173,224,867,812
224,173,224,842,834
214,194,226,873,827
267,188,235,941,863
239,187,227,837,832
219,182,225,876,863
244,175,219,932,869
277,177,225,882,836
254,188,237,919,882
233,169,220,879,836
272,176,215,831,801
290,184,231,936,867
269,170,230,887,858
253,180,220,874,834
206,188,237,909,854
281,184,240,897,857
231,177,215,886,883
228,178,217,987,939
245,177,211,874,832
246,183,241,906,889
260,178,245,857,808
240,173,215,796,763
260,175,218,831,802
285,172,228,852,842
267,177,217,844,819
210,175,230,905,887
242,178,243,916,868
188,181,233,903,875
238,176,211,836,827
218,182,228,896,874
244,169,193,811,771
261,194,238,887,857
256,180,230,866,861
266,186,241,945,907
258,181,234,809,796
231,187,215,884,862
238,189,243,934,874
239,177,212,952,900
251,172,212,801,759
192,173,237,840,827
271,178,228,923,893
251,180,207,869,862
222,172,217,866,838
265,183,243,832,797
229,185,233,908,856
287,173,227,871,849
194,180,213,929,877
259,178,220,863,808
232,166,206,780,743
268,170,202,851,813
204,167,230,903,871
187,168,220,856,813
179,192,238,914,892
225,170,224,889,860
162,172,237,880,872
218,189,246,832,801
238,173,236,805,764
271,184,237,826,753
259,174,218,814,794
232,180,223,894,867
210,169,201,823,810
267,178,243,834,792
223,180,222,901,856
242,171,226,833,819
316,181,255,907,892
235,174,236,833,793
202,170,228,899,876
234,169,225,888,827
207,181,253,808,789
248,185,231,919,853
253,169,218,859,814
291,187,242,849,825
257,182,230,834,803
319,191,234,923,872
237,175,237,864,821
279,172,208,872,834
216,177,223,878,828
271,178,238,867,827
227,172,229,882,850
252,161,227,790,781
227,162,209,816,772
240,176,224,891,857
225,182,246,870,839
234,176,225,853,842
242,165,204,833,813
263,172,217,837,784
261,192,256,910,867
278,160,230,801,775
231,168,235,873,862
243,177,218,850,819
227,165,206,803,786
257,175,217,862,811
266,167,217,866,863
272,186,250,868,841
277,170,231,826,774
229,171,227,886,865
267,163,211,802,781
280,178,241,838,776
262,193,227,1002,954
295,178,247,832,788
278,181,232,930,896
250,177,226,929,893
281,183,251,939,890
281,168,220,907,865
246,181,233,836,823
255,182,270,1022,973
208,179,220,857,806
285,178,242,918,861
215,179,228,823,813
240,171,237,800,767
262,181,246,775,720
252,172,213,844,800
282,174,223,806,797
234,167,210,828,792
255,177,208,864,837
311,173,240,848,813
285,184,230,884,854
245,176,217,864,812
300,191,259,945,897
251,188,239,868,829
283,173,227,986,942
282,185,233,899,858
269,188,245,948,914
253,177,237,947,901
302,185,232,945,872
250,163,227,818,815
233,189,232,870,829
191,173,206,889,855
180,170,217,893,865
280,185,230,864,843
268,178,225,846,817
259,177,232,917,874
216,170,228,890,861
264,182,237,905,869
291,188,270,906,871
241,177,241,907,878
215,164,211,809,803
279,183,240,905,859
228,165,221,881,836
292,193,248,901,868
226,158,207,829,804
280,175,225,887,831
274,173,236,848,812
220,194,254,906,865
250,194,235,889,852
237,174,217,955,928
240,168,203,895,887
284,168,222,828,779
207,169,212,904,841
186,179,207,964,917
291,182,221,886,843
263,188,233,887,871
264,185,237,955,894
216,168,206,815,795
268,202,227,963,899
243,168,220,840,807
260,177,232,900,885
208,169,211,957,945
260,185,233,884,823
274,179,237,827,801
256,169,216,829,820
273,192,239,964,933
266,177,240,908,880
261,182,235,923,884
248,173,230,834,796
250,175,240,842,823
254,189,252,809,790
279,189,247,836,793
216,178,237,853,823
245,174,234,821,784
281,183,238,896,840
265,187,240,920,892
240,179,247,883,833
205,191,256,929,897
260,171,247,836,816
259,175,222,912,880
259,186,253,938,906
221,170,230,908,860
283,180,235,977,927
252,192,258,934,910
234,176,240,860,838
290,178,224,872,845
221,190,245,929,858
218,173,220,819,792
232,169,222,921,898
233,176,235,865,825
228,173,206,834,817
268,176,234,849,799
234,172,213,899,883
266,182,233,847,806
220,179,230,831,783
248,176,238,881,835
238,186,242,984,964
293,195,252,919,872
240,180,232,903,857
252,183,243,1001,946
235,186,244,917,880
170,177,232,841,831
210,169,214,881,860
273,194,246,901,865
237,192,251,903,890
234,169,207,850,835
213,158,210,846,804
296,163,217,850,826
298,188,250,915,853
225,150,156,813,758
193,182,224,874,857
270,200,271,908,886
181,180,237,957,937
274,174,222,868,840
266,179,233,834,801
245,171,220,896,859
238,184,234,858,849
252,169,217,872,850
211,173,222,903,880
299,186,256,817,803
238,176,245,912,873
234,171,203,853,836
298,183,239,830,846
269,180,242,851,838
235,175,219,860,841
228,174,218,899,853
225,165,215,861,829
263,177,233,898,881
270,181,237,924,904
262,177,240,879,854
244,174,238,881,875
264,168,227,846,825
215,168,223,851,838
260,164,214,900,846
246,166,203,865,824
265,177,239,830,760
187,172,203,847,794
252,179,230,816,805
252,182,231,868,813
241,163,214,801,752
271,166,228,884,867
298,190,234,869,845
199,166,212,876,856
190,182,244,844,841
221,170,218,889,860
210,161,204,838,802
268,182,231,915,888
284,180,247,858,818
244,189,245,933,913
254,168,245,799,755
243,167,216,919,886
218,165,207,961,913
237,172,222,865,820
258,168,205,890,847
240,184,223,841,823
178,175,230,856,840
271,178,214,842,833
251,176,220,840,826
294,179,237,884,835
269,187,241,866,805
253,170,212,851,821
245,183,230,882,837
244,178,216,855,823
276,195,263,897,881
224,173,230,841,803
273,175,216,865,824
238,176,242,832,823
281,187,242,878,830
230,178,237,874,833
241,190,250,964,923
243,176,234,845,811
269,185,242,942,916
262,170,222,883,848
264,168,231,915,881
203,160,214,832,819
260,175,226,874,826
258,171,217,881,822
256,183,236,870,846
246,176,234,844,801
218,171,226,817,800
235,181,234,908,862
236,169,230,850,832
234,177,246,841,810
243,185,250,921,846
271,175,234,880,830
243,177,257,851,806
234,182,235,911,882
219,182,227,853,822
266,176,247,834,843
217,155,199,809,782
229,174,240,826,783
277,172,222,835,778
266,179,243,868,823
295,185,250,826,792
246,187,233,891,865
274,186,247,922,895
212,181,222,915,882
234,167,205,847,840
226,182,225,908,877
316,172,227,886,816
262,178,227,885,854
243,177,217,919,863
242,170,221,822,792
276,177,224,829,780
238,189,226,851,818
226,169,217,852,847
274,183,240,870,846
223,174,204,868,832
246,176,244,858,821
282,165,210,831,758
269,163,217,827,764
236,177,240,844,841
256,183,240,913,860
213,172,226,935,903
272,186,245,812,785
254,184,247,894,876
280,185,255,964,912
265,175,226,904,875
251,180,236,884,840
225,166,212,897,851
210,189,237,936,905
240,187,253,944,906
242,176,225,866,837
269,177,223,874,829
237,172,223,851,808
275,178,233,883,833
222,179,238,941,895
238,161,223,860,822
249,192,243,951,908
300,182,223,931,877
291,187,267,886,838
230,178,221,942,909
199,174,213,876,869
226,172,233,840,812
249,188,222,938,880
192,191,230,913,875
251,191,243,922,892
271,174,233,816,773
240,171,216,887,863
227,172,207,852,815
285,187,226,875,789
269,175,234,846,793
262,182,234,930,894
247,178,218,823,785
248,190,247,991,921
287,168,212,842,803
240,176,231,838,766
212,180,228,873,841
252,180,237,931,878
258,167,222,825,799
300,170,207,817,753
282,180,233,878,843
206,177,233,938,885
242,182,237,905,870
212,174,214,854,795
256,175,205,869,816
275,187,238,852,800
260,177,228,918,871
265,189,242,839,819
172,170,211,967,936
282,190,241,980,951
262,173,218,798,775
240,174,230,847,831
217,179,220,852,801
261,196,244,882,817
252,190,234,863,809
233,190,268,882,856
250,164,210,842,795
294,191,267,875,816
233,175,217,858,814
270,186,238,884,858
212,168,205,902,869
284,194,237,867,842
268,192,224,871,855
242,186,234,891,859
235,170,218,809,772
235,180,228,885,815
246,182,224,837,749
278,172,235,885,827
247,181,228,873,829
281,174,230,836,804
209,174,233,884,823
227,182,240,901,860
298,188,255,869,832
192,179,217,845,797
227,182,233,922,879
250,190,248,922,900
231,188,236,937,876
238,192,243,827,771
234,174,222,843,828
261,166,225,906,850
291,172,236,838,787
272,198,243,938,891
274,180,234,877,857
212,177,217,897,883
224,174,223,891,820
244,174,220,833,778
271,176,245,833,783
216,187,233,876,818
221,170,217,862,831
176,181,227,857,810
255,181,237,863,820
181,185,249,904,877
237,179,226,883,842
265,175,223,885,873
205,172,211,904,902
257,176,222,893,855
291,187,245,881,822
268,162,230,776,738
313,198,250,895,837
278,172,207,839,826
210,171,218,843,831
267,175,224,895,846
288,183,233,890,863
232,186,238,866,801
220,172,211,804,792
200,178,254,875,825
264,189,244,864,810
281,177,193,857,819
258,177,220,918,900
233,178,243,906,875
250,187,247,869,803
218,179,222,878,837
291,172,218,834,774
226,183,213,882,825
270,174,222,881,834
234,183,233,917,852
268,187,233,870,838
271,197,267,953,927
256,175,239,869,844
240,172,213,818,802
188,174,216,940,905
265,182,253,886,843
254,178,247,900,872
244,186,258,873,862
250,181,249,847,815
252,176,218,914,868
194,166,227,908,888
265,173,221,819,804
251,175,215,845,815
245,165,220,904,852
256,186,237,918,870
232,170,222,839,787
261,188,224,886,857
266,183,219,843,808
221,187,224,925,892
245,174,227,845,822
251,171,223,881,847
185,171,218,909,863
237,177,228,866,805
251,187,245,841,783
214,189,229,919,886
255,185,228,902,867
304,183,249,871,831
278,191,254,918,858
209,174,213,903,865
240,177,234,912,891
289,175,238,897,811
278,177,215,813,797
202,182,238,910,866
281,168,216,820,790
262,182,238,894,831
293,176,213,882,827
252,173,233,857,832
214,180,230,972,924
243,159,197,804,780
269,178,225,915,871
243,175,246,909,870
254,190,246,941,902
262,181,237,890,837
203,186,243,916,881
247,186,228,947,860
239,187,242,943,893
305,197,247,911,879
253,190,227,952,924
216,180,217,939,894
252,193,237,933,910
240,186,247,923,861
221,180,230,1016,940
221,162,197,788,770
216,171,232,960,902
230,177,205,877,817
223,175,214,933,908
253,189,225,849,805
236,175,213,866,841
294,184,235,874,805
224,177,235,916,909
227,175,224,891,825
252,173,225,843,829
285,205,254,935,861
223,171,223,898,833
243,180,238,826,815
243,178,227,947,908
270,178,229,904,846
266,191,253,896,849
247,174,228,843,803
256,174,224,802,769
216,179,232,929,853
272,174,224,844,799
216,188,245,920,872
225,179,228,863,831
291,181,245,815,798
250,176,237,830,800
217,186,249,881,821
273,178,233,869,833
282,178,225,868,811
253,167,222,829,793
264,178,237,861,820
276,183,235,881,811
235,162,207,861,827
203,167,231,948,911
241,168,227,831,763
223,178,234,841,793
316,185,237,916,850
300,180,222,792,749
254,182,237,895,843
215,180,219,910,851
273,187,244,914,883
253,181,237,872,834
269,170,243,804,788
270,189,240,985,936
265,176,214,843,838
232,170,240,855,825
214,177,226,938,905
264,182,231,899,853
184,174,217,937,886
239,204,255,892,841
282,167,213,823,790
280,191,264,884,861
241,185,226,891,816
234,180,255,852,863
210,171,220,975,928
185,160,210,882,860
222,173,228,877,861
223,167,218,824,802
237,160,207,859,817
274,172,229,842,811
227,177,217,937,855
229,182,227,907,866
255,176,255,875,829
