popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
52.0,0.0249,0.494,217649.25412541252,0.836,0.1372929254675467,0.2010285115303983,-4.327,0.0786420828905419,120.70183201047304,0.627,1.0
53.0,0.0541,0.6509999999999999,269613.0,0.875,0.00984,0.0254,-4.349,0.0409,92.022,0.83,1.0
76.0,0.386,0.49,145747.0,0.715,0.0,0.311,-5.549,0.0476,130.726,0.866,1.0
53.0,0.0133,0.2289999999999999,215653.0,0.871,2.18e-06,0.266,-4.558,0.103,86.965,0.395,1.0
53.0,0.222,0.474,352907.0,0.382,0.0195,0.149,-13.291,0.0252,80.8,0.69,1.0
29.0,0.916,0.23,664600.0,0.0408,0.222,0.0855,-23.741,0.0459,120.40649672489091,0.105,0.0
39.0,0.00351,0.534,287033.0,0.653,0.0205,0.254,-7.358,0.0314,155.69299999999998,0.434,0.0
37.0,0.0106,0.204,137350.0,0.104,0.828,0.136,-21.608,0.046,68.32300000000001,0.0323,0.0
40.0,0.7020000000000001,0.674,246693.0,0.528,1.63e-05,0.0799,-6.939,0.045,88.105,0.955,0.0
62.0,0.0234,0.628,210653.0,0.797,3.57e-06,0.1119999999999999,-6.103,0.0371,120.40649672489091,0.497,1.0
77.0,0.3229999999999999,0.606,182493.0,0.652,0.0,0.201,-6.982,0.0281,97.155,0.476,1.0
35.0,0.000612,0.292,301613.0,0.97,0.4029999999999999,0.308,-3.615,0.132,109.8,0.351,0.0
68.0,0.154,0.71,180675.0,0.47,0.0,0.643,-9.33,0.142,80.027,0.581,0.0
64.0,0.795,0.5463947491248541,188693.0,0.354,0.000107,0.0879,-11.112,0.0313,73.007,0.4759757292882147,0.0
62.0,0.2627541067,0.56,221000.0,0.6365506375,0.134,0.299,-4.481,0.032,132.009,0.807,1.0
41.0,0.0118,0.8540000000000001,217649.25412541252,0.493,0.1372929254675467,0.2010285115303983,-9.996,0.104,120.70183201047304,0.5820000000000001,0.0
53.0,0.746,0.561,225533.0,0.8909999999999999,0.0,0.109,-4.771,0.305,91.316,0.69,0.0
55.0,0.0056,0.5770000000000001,200707.0,0.934,0.0,0.0484,-3.999,0.128,137.003,0.54,1.0
69.0,0.013,0.649,208467.0,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,0.5529999999999999,0.0
62.0,0.326,0.515,286707.0,0.505,0.0,0.102,-5.606,0.0294,150.063,0.5379999999999999,0.0
40.0,0.2627541067,0.797,284067.0,0.6365506375,0.0001899999999999,0.0648,-12.692,0.0385,114.746,0.8809999999999999,0.0
56.0,0.00134,0.684,215880.0,0.992,0.0,0.878,-1.893,0.0748,133.963,0.757,1.0
33.0,0.1369999999999999,0.472,220187.0,0.815,5.06e-05,0.261,-9.725,0.0478,131.547,0.593,0.0
64.0,0.303,0.3989999999999999,445187.0,0.467,0.0186,0.124,-11.763,0.0284,120.40649672489091,0.525,1.0
51.0,0.0691,0.557,-1.0,0.61,0.0117,0.341,-9.899,0.111,155.966,0.128,1.0
68.0,0.2627541067,0.195,269107.0,0.6365506375,0.497,0.0686,-4.9910000000000005,0.03,84.71,0.173,1.0
35.0,0.2627541067,0.669,190119.0,0.6365506375,4.86e-05,0.142,-6.898,0.153,127.994,0.439,0.0
51.0,0.337,0.563,211573.0,0.497,0.00273,0.162,-7.595,0.0351,169.977,0.561,1.0
68.0,6.57e-05,0.532,-1.0,0.889,0.0070599999999999,0.0943,-5.474,0.0543,93.994,0.508,1.0
51.0,0.0028699999999999,0.5463947491248541,217649.25412541252,0.687,0.1372929254675467,0.2739999999999999,-7.792000000000001,0.0234,100.06,0.4759757292882147,1.0
48.0,0.174,0.843,305219.0,0.6679999999999999,6.659999999999999e-05,0.0963,-7.236000000000001,0.0371,125.028,0.3779999999999999,0.0
43.0,0.0129,0.616,207067.0,0.605,0.0,0.1119999999999999,-4.641,0.093,77.493,0.435,0.0
63.0,0.309,0.635,223480.0,0.562,2.01e-06,0.11,-8.92,0.168,181.014,0.288,0.0
58.0,0.2627541067,0.48,224947.0,0.6365506375,0.0,0.193,-6.202000000000001,0.0279999999999999,149.957,0.41,1.0
53.0,0.0054,0.556,207040.0,0.7020000000000001,0.0,0.218,-5.792000000000001,0.0786420828905419,132.33,0.452,1.0
42.0,1.46e-05,0.5463947491248541,230613.0,0.943,0.0314,0.222,-4.4830000000000005,0.0673,96.006,0.4759757292882147,0.0
66.0,0.000821,0.389,189707.0,0.748,0.00058,0.358,-4.461,0.0805,120.40649672489091,0.216,1.0
53.0,0.2627541067,0.608,168027.0,0.6365506375,0.352,0.166,-17.109,0.0264,84.78,0.401,1.0
28.0,0.00531,0.531,249600.0,0.964,0.0273,0.0832,-8.284353556485357,0.5329999999999999,150.237,0.198,0.0
70.0,0.00018,0.546,207213.0,0.959,0.00144,0.0584,-4.664,0.0819999999999999,127.831,0.416,1.0
67.0,0.0609,0.648,217649.25412541252,0.75,0.1372929254675467,0.2010285115303983,-3.248,0.0335,120.70183201047304,0.556,1.0
37.0,0.3329999999999999,0.7929999999999999,217649.25412541252,0.479,0.1372929254675467,0.0279,-10.759,0.0822,95.99,0.645,0.0
32.0,0.00058,0.664,-1.0,0.83,0.113,0.3389999999999999,-5.021,0.0463,94.812,0.906,0.0
25.0,0.973,0.0712,257280.0,0.0169,0.35,0.0731,-26.569000000000003,0.0496,77.78,0.0311,0.0
66.0,0.2627541067,0.579,217649.25412541252,0.6365506375,0.1372929254675467,0.172,-4.872,0.0786420828905419,170.593,0.885,1.0
54.0,0.181,0.799,252693.0,0.665,0.136,0.125,-6.31,0.0786420828905419,89.49799999999999,0.7829999999999999,1.0
49.0,0.0946,0.419,281000.0,0.748,0.000174,0.0916,-8.142000000000001,0.0521,85.02,0.417,1.0
15.0,0.2627541067,0.5463947491248541,177867.0,0.6365506375,0.941,0.125,-12.529000000000002,0.0416,62.838,0.4759757292882147,0.0
45.0,0.784,0.56,214945.0,0.204,0.0,0.109,-15.395,0.0448,120.138,0.282,0.0
21.0,0.2627541067,0.5463947491248541,-1.0,0.6365506375,0.0823,0.605,-8.284353556485357,0.0558,75.319,0.4759757292882147,0.0
56.0,0.2627541067,0.614,323600.0,0.6365506375,0.518,0.108,-8.317,0.0323,126.477,0.7170000000000001,1.0
66.0,0.132,0.615,251333.0,0.5820000000000001,3.81e-05,0.119,-10.323,0.0402,82.53200000000001,0.789,1.0
48.0,0.2627541067,0.507,182987.0,0.6365506375,0.0,0.147,-4.763,0.118,165.136,0.436,1.0
57.0,0.0025399999999999,0.306,232533.0,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,1.0
31.0,0.569,0.449,249600.0,0.871,1.93e-06,0.401,-2.365,0.0714,204.048,0.7859999999999999,0.0
78.0,0.371,0.5579999999999999,-1.0,0.5589999999999999,7.49e-06,0.109,-9.222,0.0959,78.558,0.62,0.0
33.0,0.00938,0.473,214213.0,0.802,0.00141,0.392,-4.966,0.0322,120.40649672489091,0.6609999999999999,1.0
42.0,0.205,0.496,177000.0,0.895,0.0,0.0626,-4.027,0.147,120.40649672489091,0.654,0.0
62.0,0.0175,0.409,221093.0,0.7609999999999999,0.0,0.114,-4.513999999999999,0.031,155.901,0.271,1.0
16.0,0.000286,0.5463947491248541,92573.0,0.752,0.785,0.152,-5.76,0.0406,95.018,0.4759757292882147,0.0
58.0,0.0073,0.491,249067.0,0.738,0.0,0.295,-6.73,0.0571,162.003,0.524,1.0
30.0,0.0021899999999999,0.5463947491248541,128787.0,0.92,0.8140000000000001,0.16,-3.0980000000000003,0.0491,82.87,0.4759757292882147,0.0
54.0,0.00229,0.547,226200.0,0.932,0.0,0.335,-5.237,0.0968,134.981,0.513,1.0
50.0,0.875,0.653,524093.0,0.368,0.00305,0.0972,-11.567,0.0439,117.161,0.249,0.0
55.0,0.349,0.446,245693.0,0.519,0.00599,0.249,-8.284353556485357,0.0274,151.267,0.3829999999999999,0.0
44.0,0.2627541067,0.425,-1.0,0.6365506375,0.0124,0.129,-9.072,0.0312,73.69,0.311,0.0
51.0,0.497,0.74,220427.0,0.816,0.0,0.195,-4.763999999999999,0.0765,91.91,0.963,1.0
53.0,0.7440000000000001,0.366,498147.0,0.357,1.97e-05,0.11,-6.227,0.0342,118.901,0.1169999999999999,1.0
25.0,0.00873,0.465,243020.0,0.981,0.0,0.354,-2.366,0.203,128.093,0.534,0.0
55.0,0.2627541067,0.5463947491248541,-1.0,0.6365506375,7.929999999999999e-05,0.12,-5.855,0.283,207.852,0.4759757292882147,0.0
54.0,0.0161,0.7390000000000001,238339.0,0.539,0.0,0.235,-9.735,0.337,85.08200000000001,0.835,0.0
61.0,0.314,0.687,204333.0,0.648,1.37e-06,0.289,-8.284353556485357,0.027,121.341,0.6,1.0
43.0,0.61,0.5463947491248541,-1.0,0.225,0.0577,0.0596,-16.413,0.0498,120.40649672489091,0.4759757292882147,0.0
25.0,0.2627541067,0.584,253467.0,0.6365506375,0.0857,0.581,-4.09,0.1639999999999999,127.984,0.0534,0.0
55.0,0.178,0.687,242347.0,0.6509999999999999,0.00879,0.149,-6.696000000000001,0.0255,119.937,0.514,1.0
52.0,0.2627541067,0.42,351678.0,0.6365506375,0.000423,0.096,-9.828,0.0341,147.94899999999998,0.3779999999999999,1.0
12.0,0.991,0.254,106933.0,0.203,0.8859999999999999,0.313,-19.116,0.04,109.666,0.172,0.0
62.0,0.0855,0.6859999999999999,154373.0,0.67,0.0,0.12,-7.626,0.225,173.915,0.636,0.0
62.0,0.0409999999999999,0.5463947491248541,266040.0,0.659,0.0,0.0587,-5.617000000000001,0.0383,94.853,0.4759757292882147,1.0
55.0,0.271,0.421,263253.0,0.633,0.0,0.113,-6.837000000000001,0.0433,155.715,0.161,1.0
70.0,0.00735,0.7559999999999999,170539.0,0.8140000000000001,0.0,0.143,-5.398,0.0416,146.99,0.7090000000000001,0.0
28.0,0.422,0.585,232400.0,0.726,0.0235,0.332,-12.614,0.0549,126.105,0.884,0.0
52.0,0.2627541067,0.5463947491248541,180720.0,0.6365506375,0.0,0.156,-5.81,0.0449,116.03,0.4759757292882147,1.0
56.0,0.392,0.482,323707.0,0.55,0.0208,0.111,-4.485,0.0267,114.435,0.353,1.0
60.0,0.0688,0.626,-1.0,0.527,0.000214,0.372,-9.371,0.109,151.657,0.2269999999999999,0.0
51.6687306501548,0.0513,0.395,217649.25412541252,0.8959999999999999,0.1372929254675467,0.2010285115303983,-4.262,0.0351,120.70183201047304,0.35,1.0
71.0,0.5379999999999999,0.4039999999999999,148053.0,0.43,0.0,0.0802,-12.327,0.2239999999999999,180.06099999999998,0.6409999999999999,1.0
64.0,0.0263,0.54,188333.0,0.78,7.12e-06,0.35,-5.872000000000001,0.0418,144.011,0.514,1.0
66.0,0.318,0.695,217649.25412541252,0.731,0.1372929254675467,0.143,-2.15,0.034,122.522,0.497,1.0
54.0,0.2627541067,0.565,217649.25412541252,0.6365506375,0.1372929254675467,0.2010285115303983,-10.793,0.0384,120.70183201047304,0.591,1.0
35.0,0.0153,0.55,217649.25412541252,0.7340000000000001,0.1372929254675467,0.2010285115303983,-5.72,0.031,120.70183201047304,0.5920000000000001,0.0
50.0,0.00199,0.612,206107.0,0.794,0.0,0.0776,-5.857,0.0377,130.025,0.482,1.0
64.0,0.263,0.4429999999999999,-1.0,0.727,0.0001409999999999,0.1689999999999999,-7.951,0.145,160.82,0.5660000000000001,0.0
68.0,0.2627541067,0.497,187896.0,0.6365506375,1.98e-05,0.2739999999999999,-4.308,0.0455,148.893,0.385,1.0
22.0,0.0978,0.1889999999999999,139400.0,0.812,0.875,0.181,-10.686,0.0436,123.597,0.276,0.0
70.0,0.201,0.5463947491248541,225800.0,0.779,0.0,0.1169999999999999,-5.084,0.287,83.33200000000001,0.4759757292882147,0.0
72.0,0.564,0.492,164083.0,0.7120000000000001,9.1e-05,0.357,-7.278,0.691,137.453,0.23,0.0
52.0,0.059,0.625,158108.0,0.6990000000000001,0.0,0.231,-10.665,0.478,147.95600000000002,0.381,0.0
31.0,0.2627541067,0.299,-1.0,0.6365506375,0.939,0.429,-17.152,0.039,136.472,0.127,0.0
50.0,0.011,0.5463947491248541,173933.0,0.5,0.012,0.287,-18.39,0.0445,105.357,0.4759757292882147,0.0
0.0,0.928,0.382,588400.0,0.161,0.5589999999999999,0.12,-19.09,0.0535,93.319,0.266,0.0
56.0,0.955,0.465,284867.0,0.242,0.0223,0.126,-10.46,0.0298,102.812,0.315,1.0
52.0,0.2627541067,0.433,254867.0,0.6365506375,0.293,0.159,-6.702000000000001,0.0337,137.268,0.184,0.0
57.0,0.0424,0.629,244360.0,0.69,0.0,0.363,-4.894,0.0357,102.036,0.307,1.0
55.0,0.00394,0.507,207724.0,0.6629999999999999,0.0001889999999999,0.13,-9.163,0.139,94.884,0.327,1.0
66.0,0.2189999999999999,0.701,144333.0,0.261,0.0,0.0821,-19.846,0.0938,97.042,0.89,0.0
43.0,0.989,0.198,-1.0,0.0382,0.969,0.17,-29.885,0.0443,136.392,0.127,0.0
11.0,0.929,0.563,142573.0,0.252,6.11e-05,0.126,-10.691,0.0786420828905419,111.721,0.0792,0.0
60.0,0.27,0.546,217649.25412541252,0.838,0.1372929254675467,0.2010285115303983,-3.51,0.0319,120.70183201047304,0.7190000000000001,1.0
54.0,0.8640000000000001,0.736,182027.0,0.297,1.49e-05,0.0609,-9.648,0.0349,120.40649672489091,0.186,1.0
50.0,0.0028699999999999,0.517,260094.0,0.561,0.0,0.556,-8.284353556485357,0.0351,139.959,0.149,0.0
53.0,0.2627541067,0.138,257520.0,0.6365506375,0.7859999999999999,0.0895,-7.976,0.0443,170.342,0.36,1.0
47.0,0.52,0.561,184632.0,0.715,0.0,0.119,-6.343999999999999,0.0417,153.95600000000002,0.4529999999999999,1.0
61.0,0.351,0.541,199490.0,0.483,0.4,0.111,-10.675,0.0514,80.73,0.6409999999999999,1.0
57.0,0.312,0.605,-1.0,0.605,0.00511,0.0601,-7.722,0.0837,147.736,0.418,1.0
74.0,0.2627541067,0.655,-1.0,0.6365506375,0.0,0.409,-3.451,0.059,91.035,0.165,0.0
65.0,0.431,0.5660000000000001,233467.0,0.7659999999999999,0.0,0.1009999999999999,-5.0360000000000005,0.0399,120.40649672489091,0.547,1.0
36.0,0.865,0.124,179453.0,0.309,0.8,0.103,-8.284353556485357,0.0346,63.827,0.0796,0.0
63.0,5.91e-06,0.382,298253.0,0.867,0.581,0.196,-7.426,0.0399,87.309,0.4529999999999999,1.0
51.0,0.2627541067,0.606,197160.0,0.6365506375,7.140000000000001e-05,0.111,-5.726,0.0361,132.004,0.49,0.0
57.0,0.735,0.7170000000000001,146400.0,0.373,0.0,0.303,-8.284353556485357,0.061,138.513,0.5379999999999999,1.0
65.0,0.0006309999999999,0.246,212733.0,0.768,0.301,0.102,-7.48,0.0387,169.873,0.35,0.0
38.0,0.637,0.752,553500.0,0.7909999999999999,0.7509999999999999,0.1,-12.4,0.0554,116.004,0.11,0.0
52.0,0.0271,0.691,222000.0,0.754,0.0719,0.8809999999999999,-8.136000000000001,0.0372,144.085,0.924,1.0
55.0,0.0226,0.5463947491248541,224550.0,0.55,0.205,0.0425,-7.427,0.026,81.814,0.4759757292882147,1.0
50.0,0.0749,0.7909999999999999,308373.0,0.535,1.96e-06,0.156,-13.261,0.0355,127.488,0.963,0.0
44.0,0.263,0.841,294040.0,0.835,0.0,0.108,-6.191,0.308,133.024,0.7020000000000001,0.0
54.0,0.0523,0.6940000000000001,215307.0,0.951,0.0033799999999999,0.293,-5.4,0.0786420828905419,120.014,0.74,1.0
47.0,0.23,0.622,196227.0,0.4479999999999999,0.0,0.102,-10.709,0.0265,120.40649672489091,0.5529999999999999,0.0
41.0,0.0873,0.364,187853.0,0.845,1.4e-06,0.0843,-4.115,0.0786420828905419,130.02200000000002,0.428,0.0
41.0,0.2627541067,0.5463947491248541,224341.0,0.6365506375,0.0,0.111,-5.159,0.0289,82.993,0.4759757292882147,0.0
36.0,0.9,0.6779999999999999,143320.0,0.327,0.158,0.111,-9.072,0.0288,113.803,0.557,0.0
66.0,0.2627541067,0.733,227027.0,0.6365506375,0.0,0.151,-6.87,0.0436,138.034,0.259,0.0
30.0,0.0145,0.519,234573.0,0.5760000000000001,0.392,0.201,-7.705,0.0289,139.981,0.1159999999999999,0.0
66.0,0.106,0.66,200227.0,0.799,0.0,0.154,-4.644,0.0995,125.966,0.475,1.0
76.0,0.2627541067,0.657,266893.0,0.6365506375,0.0,0.254,-4.938,0.0782,93.985,0.726,0.0
64.0,0.664,0.4029999999999999,212640.0,0.45,7.57e-06,0.0946,-6.314,0.0786420828905419,147.694,0.1159999999999999,1.0
52.0,0.0175,0.672,505093.0,0.792,0.0119,0.313,-6.436,0.0333,146.907,0.649,1.0
42.0,0.6659999999999999,0.6559999999999999,187053.0,0.7070000000000001,0.0,0.17,-3.841,0.0293,126.057,0.473,0.0
60.0,0.103,0.401,60000.0,0.532,0.0,0.478,-11.554,0.508,84.777,0.413,0.0
62.0,0.0198,0.6,277533.0,0.912,6.52e-05,0.0883,-3.449,0.0724,110.339,0.506,1.0
70.0,0.4039999999999999,0.629,-1.0,0.601,0.0,0.0582,-7.507999999999999,0.309,199.921,0.612,0.0
66.0,0.00941,0.5463947491248541,208280.0,0.8370000000000001,0.0,0.372,-5.608,0.0452,140.495,0.4759757292882147,1.0
69.0,0.00197,0.352,-1.0,0.912,0.0,0.193,-4.253,0.0725,166.795,0.351,1.0
66.0,0.173,0.68,190720.0,0.738,0.00036,0.37,-4.881,0.0786420828905419,105.015,0.675,1.0
37.0,0.988,0.6679999999999999,217649.25412541252,0.243,0.1372929254675467,0.2010285115303983,-11.664,0.0541,120.70183201047304,0.6679999999999999,0.0
42.0,0.633,0.606,218293.0,0.342,6.840000000000001e-05,0.297,-13.197,0.0301,78.01899999999999,0.432,0.0
48.0,0.00806,0.52,259231.0,0.963,0.000151,0.175,-2.662,0.0498,155.934,0.5670000000000001,0.0
54.0,5.45e-05,0.483,250128.0,0.962,9.61e-06,0.273,-2.93,0.107,88.00299999999999,0.4589999999999999,0.0
50.0,0.000225,0.5463947491248541,281147.0,0.905,0.00199,0.0724,-6.513999999999999,0.0486,126.793,0.4759757292882147,0.0
49.0,0.2627541067,0.486,-1.0,0.6365506375,0.000298,0.674,-3.611,0.0636,117.26,0.142,0.0
61.0,5.870000000000001e-05,0.248,311200.0,0.988,0.84,0.3229999999999999,-3.74,0.144,120.40649672489091,0.149,1.0
58.0,0.2627541067,0.518,303307.0,0.6365506375,7.63e-06,0.109,-7.106,0.0786420828905419,98.022,0.161,1.0
51.0,0.2627541067,0.498,227400.0,0.6365506375,0.0,0.1689999999999999,-5.34,0.0332,160.043,0.695,1.0
68.0,0.221,0.588,278441.0,0.301,0.00236,0.128,-14.979,0.0786420828905419,112.458,0.19,1.0
47.0,0.111,0.69,268138.0,0.74,0.807,0.0899,-5.509,0.0741,144.935,0.363,0.0
38.0,0.0306,0.4429999999999999,251320.0,0.7559999999999999,0.00121,0.33,-9.216,0.0443,83.79700000000001,0.346,0.0
55.0,0.122,0.5,173773.0,0.8540000000000001,0.0,0.0794,-5.151,0.0945,94.96,0.4039999999999999,1.0
52.0,0.00297,0.3989999999999999,217649.25412541252,0.925,0.1372929254675467,0.2010285115303983,-5.45,0.0382,120.70183201047304,0.145,0.0
27.0,0.0011,0.327,308080.0,0.972,0.0034799999999999,0.0817,-3.489,0.469,120.40649672489091,0.103,0.0
30.0,0.1119999999999999,0.3939999999999999,325733.0,0.348,0.0257,0.294,-10.197,0.036,127.543,0.5379999999999999,0.0
56.0,0.2627541067,0.517,187267.0,0.6365506375,0.0,0.166,-6.152,0.0807,150.134,0.371,1.0
67.0,0.0213,0.5463947491248541,245000.0,0.614,0.165,0.31,-7.528,0.0426,119.837,0.4759757292882147,1.0
68.0,0.129,0.5463947491248541,209693.0,0.65,0.0,0.113,-5.981,0.0383,117.992,0.4759757292882147,1.0
53.0,0.0355,0.327,207640.0,0.948,0.515,0.126,-8.284353556485357,0.0711,177.328,0.469,1.0
58.0,0.2627541067,0.8390000000000001,-1.0,0.6365506375,0.000376,0.1159999999999999,-4.181,0.1159999999999999,115.005,0.6,0.0
62.0,0.000198,0.39,177048.0,0.91,0.0,0.156,-3.268,0.133,162.253,0.644,1.0
55.0,0.126,0.779,217440.0,0.902,0.0,0.242,-2.975,0.1689999999999999,95.321,0.82,0.0
62.0,0.472,0.757,200865.0,0.614,0.0,0.161,-8.284353556485357,0.0786420828905419,90.523,0.616,0.0
29.0,0.2627541067,0.847,183573.0,0.6365506375,0.0352,0.115,-15.243,0.0786420828905419,126.902,0.741,0.0
72.0,0.2627541067,0.562,375050.0,0.6365506375,0.0,0.17,-5.065,0.369,159.517,0.231,0.0
33.0,0.2627541067,0.615,264840.0,0.6365506375,0.0128,0.127,-7.502999999999999,0.0284,155.972,0.3829999999999999,0.0
72.0,0.411,0.6729999999999999,215067.0,0.395,0.00546,0.122,-8.284353556485357,0.123,170.074,0.1369999999999999,0.0
56.0,0.0832,0.5463947491248541,268467.0,0.835,0.00982,0.0769,-6.553,0.0596,144.641,0.4759757292882147,1.0
40.0,0.000303,0.711,284093.0,0.954,0.8340000000000001,0.07,-7.914,0.0707,124.982,0.897,0.0
30.0,0.2627541067,0.442,398333.0,0.6365506375,0.149,0.129,-10.696,0.0616,97.643,0.51,0.0
60.0,0.316,0.68,-1.0,0.701,4.72e-06,0.111,-10.36,0.036,108.287,0.933,1.0
58.0,0.0091,0.6679999999999999,299640.0,0.8029999999999999,0.00182,0.5710000000000001,-11.282,0.0459,115.386,0.423,1.0
48.0,0.951,0.498,193787.0,0.0969,0.0,0.105,-16.482,0.0435,144.077,0.39,0.0
53.0,0.2627541067,0.6729999999999999,240899.0,0.6365506375,0.0,0.2,-6.464,0.0638,95.997,0.379,1.0
68.0,0.2627541067,0.487,160886.0,0.6365506375,0.00104,0.405,-4.736000000000001,0.0887,137.939,0.563,1.0
59.0,0.000386,0.542,183480.0,0.939,3.85e-06,0.0931,-4.166,0.0822,129.983,0.256,1.0
55.0,0.4589999999999999,0.657,210747.0,0.69,0.0,0.122,-6.8660000000000005,0.0298,112.014,0.573,1.0
28.0,0.2627541067,0.455,226027.0,0.6365506375,0.000614,0.389,-2.365,0.109,131.814,0.3829999999999999,0.0
55.0,0.2627541067,0.551,295067.0,0.6365506375,9.84e-06,0.276,-3.446,0.161,147.001,0.436,0.0
16.0,0.868,0.5770000000000001,343467.0,0.491,0.931,0.0842,-7.412000000000001,0.063,124.557,0.389,0.0
53.0,0.7440000000000001,0.257,233901.0,0.452,0.0996,0.38,-12.365,0.0349,120.40649672489091,0.271,1.0
72.0,0.198,0.5463947491248541,206360.0,0.498,0.0,0.132,-6.901,0.0277,116.271,0.4759757292882147,1.0
46.0,0.0217,0.57,232880.0,0.6,0.0,0.0957,-11.618,0.039,143.861,0.611,0.0
56.0,0.1689999999999999,0.5463947491248541,329187.0,0.662,0.0,0.345,-8.284353556485357,0.0446,94.531,0.4759757292882147,0.0
53.0,0.00351,0.422,205427.0,0.953,1.03e-06,0.575,-5.9270000000000005,0.123,152.009,0.2,1.0
55.0,0.2627541067,0.602,248000.0,0.6365506375,0.00251,0.28,-17.899,0.0786420828905419,101.941,0.505,1.0
57.0,0.2627541067,0.407,307263.0,0.6365506375,0.935,0.0956,-11.733,0.0347,100.01,0.0723,1.0
53.0,0.373,0.5463947491248541,213528.0,0.7879999999999999,0.0,0.108,-7.029,0.0532,120.40649672489091,0.4759757292882147,1.0
41.0,0.2627541067,0.358,255400.0,0.6365506375,1.34e-06,0.0867,-8.217,0.0347,120.40649672489091,0.487,0.0
68.0,6.06e-05,0.451,194227.0,0.815,0.0,0.27,-5.55,0.0786420828905419,147.974,0.618,0.0
50.0,0.366,0.542,-1.0,0.5660000000000001,5.14e-06,0.0979,-5.99,0.0561,153.47899999999998,0.408,0.0
65.0,0.135,0.7559999999999999,246893.0,0.415,0.0,0.144,-14.429,0.0555,96.99,0.68,1.0
13.0,0.2627541067,0.5463947491248541,229720.0,0.6365506375,0.000559,0.132,-3.988,0.0328,120.40649672489091,0.4759757292882147,0.0
73.0,0.2627541067,0.431,-1.0,0.6365506375,0.0096,0.502,-4.243,0.0616,147.108,0.534,1.0
46.0,0.000534,0.374,478428.0,0.926,0.0117,0.341,-4.947,0.0832,106.315,0.619,0.0
39.0,0.152,0.5720000000000001,235416.0,0.826,0.0,0.113,-5.167000000000001,0.132,167.988,0.408,0.0
34.0,0.5660000000000001,0.57,467760.0,0.291,0.0283,0.0453,-13.953,0.0425,106.247,0.423,0.0
51.0,0.316,0.474,233853.0,0.508,0.0,0.166,-6.845,0.0235,77.31,0.358,0.0
71.0,0.0029,0.736,-1.0,0.711,0.000275,0.0948,-5.502999999999999,0.0352,112.309,0.7190000000000001,1.0
62.0,0.0129,0.595,341533.0,0.804,1.97e-05,0.299,-7.911,0.0326,89.846,0.586,1.0
54.0,0.2627541067,0.6659999999999999,220462.0,0.6365506375,0.000233,0.1159999999999999,-8.369,0.0361,96.982,0.4379999999999999,1.0
42.0,0.292,0.594,217649.25412541252,0.718,0.1372929254675467,0.2010285115303983,-5.755,0.0289,120.70183201047304,0.5489999999999999,0.0
56.0,0.2627541067,0.752,228907.0,0.6365506375,0.0,0.107,-8.156,0.0864,120.40649672489091,0.386,0.0
